datetimeUTC,California,Texas,North Dakota,Wyoming,Pennsylvania,West Virginia,Oklahoma,Florida,New York,Ohio
2000-01-31 00:00:00+00:00,8.317204301075268,7.569588213974959,7.641935483870968,,6.2700268817204305,,7.820645161290322,,,7.318536349174645
2000-02-29 00:00:00+00:00,8.116379310344827,7.588296760710554,7.647321428571429,,6.217853037766831,,7.863448275862068,,,7.383686753355537
2000-03-31 00:00:00+00:00,8.110940860215054,7.6870392127383536,8.077499999999999,,6.352822580645161,,7.634838709677419,,,7.008531319998288
2000-04-30 00:00:00+00:00,7.831666666666666,7.6738644575453785,8.320833333333333,,6.6223184578872205,,7.812666666666667,,,7.169826305402544
2000-05-31 00:00:00+00:00,7.815430107526882,7.569981211208804,8.37258064516129,,6.770356541511048,,7.461505376344086,,,7.275331998471917
2000-06-30 00:00:00+00:00,7.878333333333333,7.5539305010609565,8.345,,6.78848073372819,,7.474666666666667,,,7.4426188197767145
2000-07-31 00:00:00+00:00,7.911209677419355,7.687291589870769,8.408064516129032,,6.922230203140697,,7.5367741935483865,,,7.528803115390552
2000-08-31 00:00:00+00:00,7.936854838709678,7.8014170288302624,8.57741935483871,,6.766374514997852,,7.676774193548387,,,7.389777230160232
2000-09-30 00:00:00+00:00,7.900722222222223,7.688281950966959,8.681666666666667,,6.746312056737589,,7.622833333333333,,,7.509192848044629
2000-10-31 00:00:00+00:00,7.751612903225806,7.646565295468412,8.636290322580646,,6.95492961152376,,7.608870967741935,,,7.457214693625559
2000-11-30 00:00:00+00:00,7.802277777777777,7.475790930674264,8.359166666666667,,7.027388316207908,,7.51125,,,7.325679619998613
2000-12-31 00:00:00+00:00,7.752150537634408,7.561151087752064,7.694354838709677,,6.084731182795699,,7.733145161290322,,,7.2768210164199125
2001-01-31 00:00:00+00:00,7.930107526881721,7.472331291020807,7.571774193548387,,6.047379032258065,,7.739112903225807,,,7.450682382133995
2001-02-28 00:00:00+00:00,8.039285714285715,7.511366361243209,7.5249999999999995,,5.895461309523809,,7.6499999999999995,7.78,,7.390994545591516
2001-03-31 00:00:00+00:00,8.144086021505377,7.439436848375947,7.608064516129032,8.18,6.939856950844854,,7.5562903225806455,7.735714285714286,,7.660789147185581
2001-04-30 00:00:00+00:00,8.012555555555556,7.541860288139125,8.214166666666666,8.154347826086957,6.9688185795685795,,7.827916666666667,7.65,,7.485655747761011
2001-05-31 00:00:00+00:00,7.953763440860215,7.648075071614227,8.337096774193547,7.686111111111111,6.922132159728068,,7.588817204301075,7.953333333333333,,7.387820960024695
2001-06-30 00:00:00+00:00,8.023055555555555,7.468686834810616,8.469166666666666,7.72,6.8919445520579865,7.243333333333334,7.556666666666667,7.755,,7.384412121212121
2001-07-31 00:00:00+00:00,7.858172043010753,7.612116435568171,8.845161290322581,7.790322580645161,7.1232253614297205,6.963440860215054,7.7938709677419356,7.448387096774193,,7.38539095539435
2001-08-31 00:00:00+00:00,7.960376344086021,7.593482180410309,8.721774193548388,8.13225806451613,7.12330471437033,7.155913978494624,7.774596774193548,7.259677419354839,,7.474266707825281
2001-09-30 00:00:00+00:00,7.781333333333333,7.441853880751932,8.697499999999998,8.21,7.320179466963591,7.4366666666666665,7.74736111111111,7.183333333333334,,7.320440248348143
2001-10-31 00:00:00+00:00,7.727688172043011,7.508802815052538,8.754838709677419,6.95,7.2550901703072945,,7.868238213399504,7.5249999999999995,,7.201684286410941
2001-11-30 00:00:00+00:00,7.7266666666666675,7.575952451124865,8.489166666666668,,7.361533796587343,,7.795314685314685,7.671666666666667,,7.382480952380953
2001-12-31 00:00:00+00:00,7.875645161290323,7.377401922729461,7.924193548387097,,6.997842747549878,,7.857816377171216,7.764516129032257,,7.183483768503543
2002-01-31 00:00:00+00:00,7.853844086021505,7.5013753898431315,7.456451612903226,,6.55371361872423,,7.995781637717122,7.851612903225806,,7.262377987038429
2002-02-28 00:00:00+00:00,7.947066326530612,7.492608801183309,7.452678571428571,,6.449195158428028,,7.975274725274725,8.196428571428571,,7.5128517600820235
2002-03-31 00:00:00+00:00,7.933870967741936,7.5948170029383455,7.453225806451614,7.85,6.885680166607586,,8.096898263027295,7.9,,7.6057777875774475
2002-04-30 00:00:00+00:00,7.885327380952381,7.578025319925434,8.055,8.134166666666667,6.880223891376571,,7.861282051282051,7.596666666666667,,7.554649532923217
2002-05-31 00:00:00+00:00,7.868548387096775,7.6352022935714,8.346774193548388,8.07983870967742,6.521036990016735,,7.7646063613805545,7.837096774193548,,7.502554386412289
2002-06-30 00:00:00+00:00,7.877466422466423,7.530874309548523,8.02,7.740833333333333,6.811717062288347,,7.728526288526289,7.278333333333333,,7.5765153582609726
2002-07-31 00:00:00+00:00,8.16001976431477,7.451704901271449,8.333870967741936,7.774193548387097,6.956735457156214,,7.74467177983307,7.329032258064516,,7.3399410308926445
2002-08-31 00:00:00+00:00,8.219294411147299,7.53824778795761,8.666666666666666,7.933064516129033,6.8841759611745585,,7.778208887886307,7.525806451612904,,7.140021761392728
2002-09-30 00:00:00+00:00,8.1321063824323,7.43708833505256,9.285,8.2475,6.79845397792353,,7.755967365967366,7.288333333333333,,6.951097578347578
2002-10-31 00:00:00+00:00,8.049838675205212,7.419915387557744,9.412903225806453,8.770967741935483,6.5634496583013515,,7.773065644033386,7.666129032258064,,7.219081051775549
2002-11-30 00:00:00+00:00,7.826076007326007,7.433467577108882,8.954166666666667,9.013461538461538,6.565045513482046,,7.7064335664335655,7.948333333333333,,7.355036231884058
