"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/01/2001","55","PM2.5","","54-009-0005","AQS","3","17","55"
"01/02/2001","12","PM10","","54-009-0011","AQS","6","12","."
"01/03/2001","15","PM10","","54-009-0011","AQS","6","15","."
"01/04/2001","59","PM2.5","","54-009-0005","AQS","3","21","59"
"01/05/2001","14","PM10","","54-009-0011","AQS","5","14","."
"01/06/2001","8","PM10","","54-009-0011","AQS","3","8","."
"01/07/2001","56","PM2.5","","54-009-0005","AQS","5","19","56"
"01/08/2001","11","PM10","","54-009-0011","AQS","5","11","."
"01/09/2001","10","PM10","","54-009-0011","AQS","9","10","."
"01/10/2001","55","PM2.5","","54-009-0005","AQS","3","18","55"
"01/11/2001","26","PM10","","54-009-0011","AQS","14","26","."
"01/12/2001","60","PM10","","54-009-0011","AQS","28","60","."
"01/13/2001","137","PM2.5","","54-009-0011","AQS","28","58","137"
"01/14/2001","52","PM10","","54-009-0011","AQS","16","52","."
"01/15/2001","25","PM10","","54-009-0011","AQS","18","25","."
"01/16/2001","58","PM2.5","","54-009-0005","AQS","5","18","58"
"01/17/2001","12","PM10","","54-009-0011","AQS","5","12","."
"01/18/2001","29","PM10","","54-009-0011","AQS","6","29","."
"01/19/2001","81","PM2.5","","54-009-0005","AQS","7","27","81"
"01/20/2001","10","PM10","","54-009-0011","AQS","7","10","."
"01/21/2001","9","PM10","","54-009-0011","AQS","7","9","."
"01/22/2001","68","PM2.5","","54-009-0011","AQS","7","25","68"
"01/23/2001","43","PM10","","54-009-0011","AQS","26","43","."
"01/24/2001","22","PM10","","54-009-0011","AQS","10","22","."
"01/25/2001","52","PM2.5","","54-009-0005","AQS","6","17","52"
"01/26/2001","40","PM10","","54-009-0011","AQS","22","40","."
"01/27/2001","7","PM10","","54-009-0011","AQS","3","7","."
"01/28/2001","56","PM2.5","","54-009-0005","AQS","8","15","56"
"01/29/2001","31","PM10","","54-009-0011","AQS","17","31","."
"01/30/2001","12","PM10","","54-009-0011","AQS","7","12","."
"01/31/2001","32","PM2.5","","54-009-0005","AQS","5","8","32"
"02/01/2001","13","PM10","","54-009-0011","AQS","6","13","."
"02/02/2001","12","PM10","","54-009-0011","AQS","7","12","."
"02/03/2001","56","PM2.5","","54-009-0005","AQS","7","19","56"
"02/04/2001","29","PM10","","54-009-0011","AQS","7","29","."
"02/05/2001","17","PM10","","54-009-0011","AQS","5","17","."
"02/06/2001","60","PM2.5","","54-009-0005","AQS","6","17","60"
"02/07/2001","17","PM10","","54-009-0011","AQS","5","17","."
"02/08/2001","33","PM10","","54-009-0011","AQS","11","33","."
"02/09/2001","69","PM2.5","","54-009-0005","AQS","9","53","69"
"02/10/2001","11","PM10","","54-009-0011","AQS","5","11","."
"02/11/2001","9","PM10","","54-009-0011","AQS","7","9","."
"02/12/2001","49","PM2.5","","54-009-0005","AQS","6","21","49"
"02/13/2001","26","PM10","","54-009-0011","AQS","5","26","."
"02/14/2001","17","PM10","","54-009-0011","AQS","5","17","."
"02/15/2001","62","PM2.5","","54-009-0005","AQS","7","22","62"
"02/16/2001","17","PM10","","54-009-0011","AQS","6","17","."
"02/17/2001","12","PM10","","54-009-0011","AQS","5","12","."
"02/18/2001","41","PM2.5","","54-009-0005","AQS","5","14","41"
"02/19/2001","24","PM10","","54-009-0011","AQS","11","24","."
"02/20/2001","18","PM10","","54-009-0011","AQS","6","18","."
"02/21/2001","52","PM2.5","","54-009-0005","AQS","7","19","52"
"02/22/2001","14","PM10","","54-009-0011","AQS","7","14","."
"02/23/2001","19","PM10","","54-009-0011","AQS","5","19","."
"02/24/2001","68","PM2.5","","54-009-0005","AQS","8","20","68"
"02/25/2001","28","PM10","","54-009-0011","AQS","7","28","."
"02/26/2001","20","PM10","","54-009-0011","AQS","8","20","."
"02/27/2001","83","PM2.5","","54-009-0011","AQS","15","37","83"
"02/28/2001","12","PM10","","54-009-0011","AQS","7","12","."
"03/01/2001","12","PM10","","54-009-0011","AQS","7","12","."
"03/02/2001","55","PM2.5","","54-009-0005","AQS","5","19","55"
"03/03/2001","19","PM10","","54-009-0011","AQS","3","19","."
"03/04/2001","18","PM10","","54-009-0011","AQS","3","18","."
"03/05/2001","35","PM2.5","","54-009-0005","AQS","5","18","35"
"03/06/2001","8","PM10","","54-009-0011","AQS","5","8","."
"03/07/2001","7","PM10","","54-009-0011","AQS","5","7","."
"03/08/2001","59","PM2.5","","54-009-0011","AQS","6","20","59"
"03/09/2001","11","PM10","","54-009-0011","AQS","5","11","."
"03/10/2001","16","PM10","","54-009-0011","AQS","8","16","."
"03/11/2001","70","PM2.5","","54-009-0011","AQS","16","27","70"
"03/12/2001","16","PM10","","54-009-0011","AQS","7","16","."
"03/13/2001","13","PM10","","54-009-0011","AQS","3","13","."
"03/14/2001","57","PM2.5","","54-009-0005","AQS","7","18","57"
"03/15/2001","32","PM10","","54-009-0011","AQS","19","32","."
"03/16/2001","13","PM10","","54-009-0011","AQS","3","13","."
"03/17/2001","56","PM2.5","","54-009-0005","AQS","3","17","56"
"03/18/2001","8","PM10","","54-009-0011","AQS","5","8","."
"03/19/2001","14","PM10","","54-009-0011","AQS","7","14","."
"03/20/2001","42","PM2.5","","54-009-0005","AQS","6","19","42"
"03/21/2001","12","PM10","","54-009-0011","AQS","3","12","."
"03/22/2001","14","PM10","","54-009-0011","AQS","3","14","."
"03/23/2001","67","PM2.5","","54-009-0011","AQS","8","27","67"
"03/24/2001","17","PM10","","54-009-0011","AQS","5","17","."
"03/25/2001","11","PM10","","54-009-0011","AQS","6","11","."
"03/26/2001","49","PM2.5","","54-009-0005","AQS","9","15","49"
"03/27/2001","11","PM10","","54-009-0011","AQS","6","11","."
"03/28/2001","38","PM10","","54-009-0011","AQS","13","38","."
"03/29/2001","65","PM2.5","","54-009-0005","AQS","6","28","65"
"03/30/2001","12","PM10","","54-009-0011","AQS","3","12","."
"03/31/2001","22","PM10","","54-009-0011","AQS","5","22","."
"04/01/2001","86","PM2.5","","54-009-0005","AQS","8","31","86"
"04/02/2001","17","PM10","","54-009-0011","AQS","9","17","."
"04/03/2001","41","PM10","","54-009-0011","AQS","14","41","."
"04/04/2001","57","PM2.5","","54-009-0011","AQS","6","20","57"
"04/05/2001","30","PM10","","54-009-0011","AQS","7","30","."
"04/06/2001","45","PM10","","54-009-0011","AQS","34","45","."
"04/07/2001","76","PM2.5","","54-009-0011","AQS","3","31","76"
"04/08/2001","44","PM10","","54-009-0011","AQS","3","44","."
"04/09/2001","42","PM10","","54-009-0011","AQS","7","42","."
"04/10/2001","55","PM2.5","","54-009-0011","AQS","7","20","55"
"04/11/2001","20","PM10","","54-009-0011","AQS","5","20","."
"04/12/2001","31","PM10","","54-009-0011","AQS","5","31","."
"04/13/2001","37","PM2.5","","54-009-0005","AQS","3","20","37"
"04/14/2001","19","PM10","","54-009-0011","AQS","8","19","."
"04/15/2001","21","PM10","","54-009-0011","AQS","7","21","."
"04/16/2001","55","PM2.5","","54-009-0005","AQS","5","18","55"
"04/17/2001","11","PM10","","54-009-0011","AQS","7","11","."
"04/18/2001","20","PM10","","54-009-0011","AQS","5","20","."
"04/19/2001","68","PM2.5","","54-009-0011","AQS","13","52","68"
"04/20/2001","56","PM10","","54-009-0011","AQS","32","56","."
"04/21/2001","52","PM10","","54-009-0011","AQS","9","52","."
"04/22/2001","67","PM2.5","","54-009-0011","AQS","3","36","67"
"04/23/2001","63","PM10","","54-009-0011","AQS","30","63","."
"04/24/2001","12","PM10","","54-009-0011","AQS","3","12","."
"04/25/2001","32","PM2.5","","54-009-0011","AQS","6","18","32"
"04/26/2001","32","PM10","","54-009-0011","AQS","16","32","."
"04/27/2001","48","PM10","","54-009-0011","AQS","25","48","."
"04/28/2001","30","PM2.5","","54-009-0005","AQS","5","19","30"
"04/29/2001","19","PM10","","54-009-0011","AQS","7","19","."
"04/30/2001","46","PM10","","54-009-0011","AQS","13","46","."
"05/01/2001","91","PM2.5","","54-009-0011","AQS","16","46","91"
"05/02/2001","15","CO","","54-009-0011","AQS","15",".","."
"05/03/2001","56","PM10","","54-009-0011","AQS","18","56","."
"05/04/2001","115","PM2.5","","54-009-0005","AQS","13","64","115"
"05/05/2001","34","PM10","","54-009-0011","AQS","7","34","."
"05/06/2001","24","PM10","","54-009-0011","AQS","6","24","."
"05/07/2001","64","PM2.5","","54-009-0005","AQS","3","31","64"
"05/08/2001","24","PM10","","54-009-0011","AQS","6","24","."
"05/09/2001","35","PM10","","54-009-0011","AQS","7","35","."
"05/10/2001","89","PM2.5","","54-009-0011","AQS","14","56","89"
"05/11/2001","54","PM10","","54-009-0011","AQS","15","54","."
"05/12/2001","17","PM10","","54-009-0011","AQS","3","17","."
"05/13/2001","27","PM2.5","","54-009-0005","AQS","5","13","27"
"05/14/2001","20","PM10","","54-009-0011","AQS","7","20","."
"05/15/2001","34","PM10","","54-009-0011","AQS","6","34","."
"05/16/2001","73","PM2.5","","54-009-0011","AQS","3","25","73"
"05/17/2001","31","PM10","","54-009-0011","AQS","3","31","."
"05/18/2001","20","PM10","","54-009-0011","AQS","3","20","."
"05/19/2001","45","PM2.5","","54-009-0005","AQS","5","21","45"
"05/20/2001","23","PM10","","54-009-0011","AQS","5","23","."
"05/21/2001","16","PM10","","54-009-0011","AQS","3","16","."
"05/22/2001","44","PM2.5","","54-009-0011","AQS","3","18","44"
"05/23/2001","21","PM10","","54-009-0011","AQS","6","21","."
"05/24/2001","17","PM10","","54-009-0011","AQS","5","17","."
"05/25/2001","50","PM2.5","","54-009-0005","AQS","5","18","50"
"05/26/2001","21","PM10","","54-009-0011","AQS","5","21","."
"05/27/2001","16","PM10","","54-009-0011","AQS","5","16","."
"05/28/2001","44","PM2.5","","54-009-0005","AQS","5","17","44"
"05/29/2001","19","PM10","","54-009-0011","AQS","11","19","."
"05/30/2001","10","PM10","","54-009-0011","AQS","5","10","."
"05/31/2001","46","PM2.5","","54-009-0011","AQS","13","21","46"
"06/01/2001","20","PM10","","54-009-0011","AQS","3","20","."
"06/02/2001","19","PM10","","54-009-0011","AQS","7","19","."
"06/03/2001","35","PM2.5","","54-009-0005","AQS","5","13","35"
"06/04/2001","20","PM10","","54-009-0011","AQS","11","20","."
"06/05/2001","27","PM10","","54-009-0011","AQS","6","27","."
"06/06/2001","77","PM2.5","","54-009-0005","AQS","5","28","77"
"06/07/2001","20","PM10","","54-009-0011","AQS","3","20","."
"06/08/2001","20","PM10","","54-009-0011","AQS","6","20","."
"06/09/2001","67","PM2.5","","54-009-0005","AQS","6","31","67"
"06/10/2001","45","PM10","","54-009-0011","AQS","16","45","."
"06/11/2001","55","PM10","","54-009-0011","AQS","15","55","."
"06/12/2001","89","PM2.5","","54-009-0011","AQS","13","43","89"
"06/13/2001","34","PM10","","54-009-0011","AQS","6","34","."
"06/14/2001","55","PM10","","54-009-0011","AQS","5","55","."
"06/15/2001","122","PM2.5","","54-009-0005","AQS","5","52","122"
"06/16/2001","16","PM10","","54-009-0011","AQS","3","16","."
"06/17/2001","25","PM10","","54-009-0011","AQS","9","25","."
"06/18/2001","76","PM2.5","","54-009-0005","AQS","14","40","76"
"06/19/2001","49","PM10","","54-009-0011","AQS","14","49","."
"06/20/2001","41","PM10","","54-009-0011","AQS","7","41","."
"06/21/2001","82","PM2.5","","54-009-0011","AQS","5","33","82"
"06/22/2001","15","PM10","","54-009-0011","AQS","5","15","."
"06/23/2001","19","PM10","","54-009-0011","AQS","3","19","."
"06/24/2001","64","PM2.5","","54-009-0005","AQS","8","24","64"
"06/25/2001","33","PM10","","54-009-0011","AQS","5","33","."
"06/26/2001","46","PM10","","54-009-0011","AQS","5","46","."
"06/27/2001","114","PM2.5","","54-009-0011","AQS","8","54","114"
"06/28/2001","54","PM10","","54-009-0011","AQS","8","54","."
"06/29/2001","51","PM10","","54-009-0011","AQS","16","51","."
"06/30/2001","87","PM2.5","","54-009-0005","AQS","5","41","87"
"07/01/2001","21","PM10","","54-009-0011","AQS","3","21","."
"07/02/2001","12","PM10","","54-009-0011","AQS","5","12","."
"07/03/2001","72","PM2.5","","54-009-0011","AQS","13","30","72"
"07/04/2001","23","PM10","","54-009-0011","AQS","5","23","."
"07/05/2001","20","PM10","","54-009-0011","AQS","3","20","."
"07/06/2001","36","PM2.5","","54-009-0005","AQS","7","17","36"
"07/07/2001","34","PM10","","54-009-0011","AQS","15","34","."
"07/08/2001","32","PM10","","54-009-0011","AQS","3","32","."
"07/09/2001","73","PM2.5","","54-009-0011","AQS","10","35","73"
"07/10/2001","36","PM10","","54-009-0011","AQS","11","36","."
"07/11/2001","14","PM10","","54-009-0011","AQS","3","14","."
"07/12/2001","46","PM2.5","","54-009-0011","AQS","7","19","46"
"07/13/2001","16","PM10","","54-009-0011","AQS","15","16","."
"07/14/2001","23","PM10","","54-009-0011","AQS","14","23","."
"07/15/2001","62","PM2.5","","54-009-0011","AQS","10","27","62"
"07/16/2001","42","PM10","","54-009-0011","AQS","13","42","."
"07/17/2001","54","PM10","","54-009-0011","AQS","10","54","."
"07/18/2001","131","PM2.5","","54-009-0011","AQS","5","52","131"
"07/19/2001","44","PM10","","54-009-0011","AQS","6","44","."
"07/20/2001","34","PM10","","54-009-0011","AQS","7","34","."
"07/21/2001","81","PM2.5","","54-009-0011","AQS","5","35","81"
"07/22/2001","54","PM10","","54-009-0011","AQS","8","54","."
"07/23/2001","57","PM10","","54-009-0011","AQS","9","57","."
"07/24/2001","99","PM2.5","","54-009-0011","AQS","11","52","99"
"07/25/2001","29","PM10","","54-009-0011","AQS","7","29","."
"07/26/2001","19","PM10","","54-009-0011","AQS","3","19","."
"07/27/2001","45","PM2.5","","54-009-0011","AQS","6","19","45"
"07/28/2001","21","PM10","","54-009-0011","AQS","3","21","."
"07/29/2001","11","PM10","","54-009-0011","AQS","3","11","."
"07/30/2001","65","PM2.5","","54-009-0005","AQS","3","26","65"
"07/31/2001","6","CO","","54-009-0011","AQS","6",".","."
"08/01/2001","56","PM10","","54-009-0011","AQS","5","56","."
"08/02/2001","142","PM2.5","","54-009-0011","AQS","7","61","142"
"08/03/2001","52","PM10","","54-009-0011","AQS","3","52","."
"08/04/2001","26","PM10","","54-009-0011","AQS","3","26","."
"08/05/2001","103","PM2.5","","54-009-0005","AQS","6","47","103"
"08/06/2001","57","PM10","","54-009-0011","AQS","16","57","."
"08/07/2001","46","PM10","","54-009-0011","AQS","9","46","."
"08/08/2001","92","PM2.5","","54-009-0011","AQS","5","39","92"
"08/09/2001","52","PM10","","54-009-0011","AQS","5","52","."
"08/10/2001","30","PM10","","54-009-0011","AQS","5","30","."
"08/11/2001","65","PM2.5","","54-009-0005","AQS","5","28","65"
"08/12/2001","32","PM10","","54-009-0011","AQS","5","32","."
"08/13/2001","31","PM10","","54-009-0011","AQS","3","31","."
"08/14/2001","33","PM2.5","","54-009-0005","AQS","3","13","33"
"08/15/2001","32","PM10","","54-009-0011","AQS","5","32","."
"08/16/2001","45","PM10","","54-009-0011","AQS","6","45","."
"08/17/2001","61","PM2.5","","54-009-0011","AQS","5","23","61"
"08/18/2001","32","PM10","","54-009-0011","AQS","7","32","."
"08/19/2001","22","PM10","","54-009-0011","AQS","5","22","."
"08/20/2001","46","PM2.5","","54-009-0005","AQS","3","17","46"
"08/21/2001","15","PM10","","54-009-0011","AQS","3","15","."
"08/22/2001","39","PM10","","54-009-0011","AQS","11","39","."
"08/23/2001","62","PM2.5","","54-009-0005","AQS","3","23","62"
"08/24/2001","34","PM10","","54-009-0011","AQS","3","34","."
"08/25/2001","44","PM10","","54-009-0011","AQS","10","44","."
"08/26/2001","82","PM2.5","","54-009-0011","AQS","6","37","82"
"08/27/2001","22","PM10","","54-009-0011","AQS","3","22","."
"08/28/2001","32","PM10","","54-009-0011","AQS","5","32","."
"08/29/2001","52","PM2.5","","54-009-0011","AQS","3","19","52"
"08/30/2001","49","PM10","","54-009-0011","AQS","6","49","."
"08/31/2001","27","PM10","","54-009-0011","AQS","6","27","."
"09/01/2001","43","PM2.5","","54-009-0005","AQS","3","19","43"
"09/02/2001","21","PM10","","54-009-0011","AQS","6","21","."
"09/03/2001","31","PM10","","54-009-0011","AQS","10","31","."
"09/04/2001","63","PM2.5","","54-009-0011","AQS","3","26","63"
"09/05/2001","17","PM10","","54-009-0011","AQS","3","17","."
"09/06/2001","25","PM10","","54-009-0011","AQS","5","25","."
"09/07/2001","101","PM2.5","","54-009-0011","AQS","7","52","101"
"09/08/2001","51","PM10","","54-009-0011","AQS","5","51","."
"09/09/2001","31","PM10","","54-009-0011","AQS","6","31","."
"09/10/2001","33","PM2.5","","54-009-0005","AQS","3","14","33"
"09/11/2001","20","PM10","","54-009-0011","AQS","3","20","."
"09/12/2001","34","PM10","","54-009-0011","AQS","8","34","."
"09/13/2001","68","PM2.5","","54-009-0005","AQS","15","34","68"
"09/14/2001","11","PM10","","54-009-0011","AQS","3","11","."
"09/15/2001","11","PM10","","54-009-0011","AQS","5","11","."
"09/16/2001","48","PM2.5","","54-009-0011","AQS","5","16","48"
"09/17/2001","40","PM10","","54-009-0011","AQS","9","40","."
"09/18/2001","53","PM10","","54-009-0011","AQS","14","53","."
"09/19/2001","81","PM2.5","","54-009-0011","AQS","5","39","81"
"09/20/2001","21","PM10","","54-009-0011","AQS","6","21","."
"09/21/2001","31","PM10","","54-009-0011","AQS","11","31","."
"09/22/2001","53","PM2.5","","54-009-0011","AQS","3","24","53"
"09/23/2001","26","PM10","","54-009-0011","AQS","7","26","."
"09/24/2001","20","PM10","","54-009-0011","AQS","7","20","."
"09/25/2001","24","PM2.5","","54-009-0005","AQS","3","10","24"
"09/26/2001","10","PM10","","54-009-0011","AQS","3","10","."
"09/27/2001","9","PM10","","54-009-0011","AQS","3","9","."
"09/28/2001","27","PM2.5","","54-009-0005","AQS","3","12","27"
"09/29/2001","13","PM10","","54-009-0011","AQS","3","13","."
"09/30/2001","13","PM10","","54-009-0011","AQS","3","13","."
"10/01/2001","58","PM2.5","","54-009-0011","AQS","8","32","58"
"10/02/2001","48","PM10","","54-009-0011","AQS","16","48","."
"10/03/2001","44","PM10","","54-009-0011","AQS","8","44","."
"10/04/2001","85","PM2.5","","54-009-0011","AQS","7","46","85"
