"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2017","43","PM2.5","","54-009-0005","AQS","11","43"
"01/02/2017","9","PM10","","54-009-0011","AQS","9","."
"01/03/2017","4","PM10","","54-009-0011","AQS","4","."
"01/04/2017","32","PM2.5","","54-009-0005","AQS","5","32"
"01/05/2017","8","PM10","","54-009-0011","AQS","8","."
"01/06/2017","13","PM10","","54-009-0011","AQS","13","."
"01/07/2017","66","PM2.5","","54-009-0005","AQS","15","66"
"01/08/2017","12","PM10","","54-009-0011","AQS","12","."
"01/09/2017","18","PM10","","54-009-0011","AQS","18","."
"01/10/2017","31","PM2.5","","54-009-0011","AQS","9","31"
"01/11/2017","9","PM10","","54-009-0011","AQS","9","."
"01/12/2017","8","PM10","","54-009-0011","AQS","8","."
"01/13/2017","21","PM2.5","","54-009-0011","AQS","7","21"
"01/14/2017","11","PM10","","54-009-0011","AQS","11","."
"01/15/2017","16","PM10","","54-009-0011","AQS","16","."
"01/16/2017","70","PM2.5","","54-009-0011","AQS","22","70"
"01/17/2017","12","PM10","","54-009-0011","AQS","12","."
"01/18/2017","5","PM10","","54-009-0011","AQS","5","."
"01/19/2017","34","PM2.5","","54-009-0011","AQS","9","34"
"01/20/2017","17","PM10","","54-009-0011","AQS","17","."
"01/21/2017","19","PM10","","54-009-0011","AQS","19","."
"01/22/2017","39","PM2.5","","54-009-0005","AQS","11","39"
"01/23/2017","3","PM10","","54-009-0011","AQS","3","."
"01/24/2017","6","PM10","","54-009-0011","AQS","6","."
"01/25/2017","28","PM2.5","","54-009-0011","AQS","10","28"
"01/26/2017","5","PM10","","54-009-0011","AQS","5","."
"01/27/2017","5","PM10","","54-009-0011","AQS","5","."
"01/28/2017","38","PM2.5","","54-009-0005","AQS","8","38"
"01/29/2017","7","PM10","","54-009-0011","AQS","7","."
"01/30/2017","6","PM10","","54-009-0011","AQS","6","."
"01/31/2017","22","PM2.5","","54-009-0005","AQS","6","22"
"02/01/2017","7","PM10","","54-009-0011","AQS","7","."
"02/02/2017","7","PM10","","54-009-0011","AQS","7","."
"02/03/2017","49","PM2.5","","54-009-0005","AQS","10","49"
"02/04/2017","7","PM10","","54-009-0011","AQS","7","."
"02/05/2017","19","PM10","","54-009-0011","AQS","19","."
"02/06/2017","68","PM2.5","","54-009-0011","AQS","27","68"
"02/07/2017","11","PM10","","54-009-0011","AQS","11","."
"02/08/2017","6","PM10","","54-009-0011","AQS","6","."
"02/09/2017","24","PM2.5","","54-009-0005","AQS","6","24"
"02/10/2017","11","PM10","","54-009-0011","AQS","11","."
"02/11/2017","19","PM10","","54-009-0011","AQS","19","."
"02/12/2017","47","PM2.5","","54-009-0005","AQS","16","47"
"02/13/2017","8","PM10","","54-009-0011","AQS","8","."
"02/14/2017","15","PM10","","54-009-0011","AQS","15","."
"02/15/2017","23","PM2.5","","54-009-0005","AQS","7","23"
"02/16/2017","7","PM10","","54-009-0011","AQS","7","."
"02/17/2017","22","PM10","","54-009-0011","AQS","22","."
"02/18/2017","51","PM2.5","","54-009-0005","AQS","23","51"
"02/19/2017","18","PM10","","54-009-0011","AQS","18","."
"02/20/2017","27","PM10","","54-009-0011","AQS","27","."
"02/21/2017","56","PM2.5","","54-009-0005","AQS","30","56"
"02/22/2017","35","PM10","","54-009-0011","AQS","35","."
"02/23/2017","19","PM10","","54-009-0011","AQS","19","."
"02/24/2017","41","PM2.5","","54-009-0011","AQS","24","41"
"02/25/2017","9","PM10","","54-009-0011","AQS","9","."
"02/26/2017","8","PM10","","54-009-0011","AQS","8","."
"02/27/2017","34","PM2.5","","54-009-0011","AQS","17","34"
