"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/01/2002","15","PM10","","54-009-0011","AQS","3","15","."
"01/02/2002","69","PM2.5","","54-009-0005","AQS","9","31","69"
"01/03/2002","18","PM10","","54-009-0011","AQS","8","18","."
"01/04/2002","17","PM10","","54-009-0011","AQS","3","17","."
"01/05/2002","56","PM2.5","","54-009-0005","AQS","6","23","56"
"01/06/2002","19","PM10","","54-009-0011","AQS","9","19","."
"01/07/2002","8","PM10","","54-009-0011","AQS","5","8","."
"01/08/2002","40","PM2.5","","54-009-0005","AQS","3","12","40"
"01/09/2002","12","PM10","","54-009-0011","AQS","3","12","."
"01/10/2002","18","PM10","","54-009-0011","AQS","3","18","."
"01/11/2002","71","PM2.5","","54-009-0005","AQS","5","26","71"
"01/12/2002","9","PM10","","54-009-0011","AQS","5","9","."
"01/13/2002","8","PM10","","54-009-0011","AQS","5","8","."
"01/14/2002","45","PM2.5","","54-009-0005","AQS","8","29","45"
"01/15/2002","11","PM10","","54-009-0011","AQS","3","11","."
"01/16/2002","10","PM10","","54-009-0011","AQS","5","10","."
"01/17/2002","60","PM2.5","","54-009-0005","AQS","5","21","60"
"01/18/2002","12","PM10","","54-009-0011","AQS","3","12","."
"01/19/2002","15","PM10","","54-009-0011","AQS","6","15","."
"01/20/2002","63","PM2.5","","54-009-0005","AQS","3","19","63"
"01/21/2002","17","PM10","","54-009-0011","AQS","7","17","."
"01/22/2002","19","PM10","","54-009-0011","AQS","6","19","."
"01/23/2002","53","PM2.5","","54-009-0005","AQS","10","21","53"
"01/24/2002","14","PM10","","54-009-0011","AQS","5","14","."
"01/25/2002","11","PM10","","54-009-0011","AQS","3","11","."
"01/26/2002","38","PM2.5","","54-009-0005","AQS","10","15","38"
"01/27/2002","41","PM10","","54-009-0011","AQS","28","41","."
"01/28/2002","42","PM10","","54-009-0011","AQS","33","42","."
"01/29/2002","64","PM2.5","","54-009-0005","AQS","13","29","64"
"01/30/2002","9","PM10","","54-009-0011","AQS","5","9","."
"01/31/2002","16","PM10","","54-009-0011","AQS","6","16","."
"02/01/2002","38","PM2.5","","54-009-0005","AQS","9","18","38"
"02/02/2002","8","PM10","","54-009-0011","AQS","6","8","."
"02/03/2002","15","PM10","","54-009-0011","AQS","9","15","."
"02/04/2002","35","PM2.5","","54-009-0005","AQS","3","27","35"
"02/05/2002","11","PM10","","54-009-0011","AQS","3","11","."
"02/06/2002","18","PM10","","54-009-0011","AQS","6","18","."
"02/07/2002","47","PM2.5","","54-009-0005","AQS","16","28","47"
"02/08/2002","34","PM10","","54-009-0011","AQS","10","34","."
"02/09/2002","49","PM10","","54-009-0011","AQS","32","49","."
"02/10/2002","44","PM2.5","","54-009-0011","AQS","6","19","44"
"02/11/2002","7","PM10","","54-009-0011","AQS","5","7","."
"02/12/2002","14","PM10","","54-009-0011","AQS","6","14","."
"02/13/2002","31","PM10","","54-009-0005","AQS","5","31","23"
"02/14/2002","29","PM10","","54-009-0011","AQS","13","29","."
"02/15/2002","37","PM10","","54-009-0011","AQS","30","37","."
"02/16/2002","51","PM2.5","","54-009-0005","AQS","3","26","51"
"02/17/2002","9","PM10","","54-009-0011","AQS","3","9","."
"02/18/2002","22","PM10","","54-009-0011","AQS","9","22","."
"02/19/2002","98","PM2.5","","54-009-0011","AQS","26","51","98"
"02/20/2002","25","PM10","","54-009-0011","AQS","15","25","."
"02/21/2002","10","PM10","","54-009-0011","AQS","3","10","."
"02/22/2002","45","PM2.5","","54-009-0005","AQS","3","11","45"
"02/23/2002","16","PM10","","54-009-0011","AQS","8","16","."
"02/24/2002","39","PM10","","54-009-0011","AQS","17","39","."
"02/25/2002","85","PM2.5","","54-009-0011","AQS","34","44","85"
"02/26/2002","40","CO","","54-009-0011","AQS","40","36","."
"02/27/2002","10","PM10","","54-009-0011","AQS","5","10","."
"02/28/2002","52","PM2.5","","54-009-0005","AQS","5","19","52"
"03/01/2002","18","PM10","","54-009-0011","AQS","6","18","."
"03/02/2002","13","PM10","","54-009-0011","AQS","5","13","."
"03/03/2002","24","PM2.5","","54-009-0011","AQS","3","21","24"
"03/04/2002","11","PM10","","54-009-0011","AQS","5","11","."
"03/05/2002","17","PM10","","54-009-0011","AQS","5","17","."
"03/06/2002","56","PM2.5","","54-009-0005","AQS","15","51","56"
"03/07/2002","53","PM10","","54-009-0011","AQS","42","53","."
"03/08/2002","61","PM10","","54-009-0011","AQS","60","61","."
"03/09/2002","50","PM2.5","","54-009-0005","AQS","6","34","50"
"03/10/2002","18","PM10","","54-009-0011","AQS","3","18","."
"03/11/2002","17","PM10","","54-009-0011","AQS","8","17","."
"03/12/2002","63","PM2.5","","54-009-0011","AQS","11","30","63"
"03/13/2002","30","PM10","","54-009-0011","AQS","9","30","."
"03/14/2002","52","PM10","","54-009-0011","AQS","33","52","."
"03/15/2002","68","PM2.5","","54-009-0011","AQS","27","38","68"
"03/16/2002","12","PM10","","54-009-0011","AQS","5","12","."
"03/17/2002","11","PM10","","54-009-0011","AQS","6","11","."
"03/18/2002","54","PM2.5","","54-009-0005","AQS","5","18","54"
"03/19/2002","20","PM10","","54-009-0011","AQS","6","20","."
"03/20/2002","11","PM10","","54-009-0011","AQS","5","11","."
"03/21/2002","54","PM2.5","","54-009-0005","AQS","3","24","54"
"03/22/2002","10","PM10","","54-009-0011","AQS","3","10","."
"03/23/2002","13","PM10","","54-009-0011","AQS","3","13","."
"03/24/2002","54","PM2.5","","54-009-0011","AQS","8","19","54"
"03/25/2002","14","PM10","","54-009-0011","AQS","5","14","."
"03/26/2002","16","PM10","","54-009-0011","AQS","5","16","."
"03/27/2002","66","PM2.5","","54-009-0005","AQS","5","22","66"
"03/28/2002","22","PM10","","54-009-0011","AQS","13","22","."
"03/29/2002","25","PM10","","54-009-0011","AQS","6","25","."
"03/30/2002","44","PM2.5","","54-009-0005","AQS","5","18","44"
"03/31/2002","24","PM10","","54-009-0011","AQS","17","24","."
"04/01/2002","13","PM10","","54-009-0011","AQS","3","13","."
"04/02/2002","48","PM2.5","","54-009-0005","AQS","6","27","48"
"04/03/2002","9","PM10","","54-009-0011","AQS","5","9","."
"04/04/2002","15","PM10","","54-009-0011","AQS","8","15","."
"04/05/2002","45","PM2.5","","54-009-0005","AQS","5","18","45"
"04/06/2002","12","PM10","","54-009-0011","AQS","3","12","."
"04/07/2002","21","PM10","","54-009-0011","AQS","7","21","."
"04/08/2002","78","PM2.5","","54-009-0011","AQS","20","44","78"
"04/09/2002","19","PM10","","54-009-0011","AQS","5","19","."
"04/10/2002","14","PM10","","54-009-0011","AQS","6","14","."
"04/11/2002","47","PM2.5","","54-009-0005","AQS","10","24","47"
"04/12/2002","23","PM10","","54-009-0011","AQS","3","23","."
"04/13/2002","16","PM10","","54-009-0011","AQS","6","16","."
"04/14/2002","64","PM2.5","","54-009-0011","AQS","22","29","64"
"04/15/2002","22","PM10","","54-009-0011","AQS","7","22","."
"04/16/2002","56","PM10","","54-009-0011","AQS","27","56","."
"04/17/2002","84","PM2.5","","54-009-0011","AQS","51","55","84"
"04/18/2002","44","PM10","","54-009-0011","AQS","19","44","."
"04/19/2002","39","PM10","","54-009-0011","AQS","24","39","."
"04/20/2002","40","PM2.5","","54-009-0005","AQS","5","19","40"
"04/21/2002","12","PM10","","54-009-0011","AQS","5","12","."
"04/22/2002","10","PM10","","54-009-0011","AQS","3","10","."
"04/23/2002","46","PM2.5","","54-009-0005","AQS","5","16","46"
"04/24/2002","20","PM10","","54-009-0011","AQS","8","20","."
