"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2019","6","PM10","","54-009-0011","AQS","6","."
"01/02/2019","7","PM10","","54-009-0011","AQS","7","."
"01/03/2019","40","PM2.5","","54-009-0005","AQS","8","40"
"01/04/2019","23","PM10","","54-009-0011","AQS","23","."
"01/05/2019","14","PM10","","54-009-0011","AQS","14","."
"01/06/2019","32","PM2.5","","54-009-0005","AQS","7","32"
"01/07/2019","8","PM10","","54-009-0011","AQS","8","."
"01/08/2019","9","PM10","","54-009-0011","AQS","9","."
"01/09/2019","48","PM2.5","","54-009-0005","AQS","6","48"
"01/12/2019","51","PM2.5","","54-009-0005","AQS",".","51"
"01/15/2019","59","PM2.5","","54-009-0005","AQS","12","59"
"01/16/2019","6","PM10","","54-009-0011","AQS","6","."
"01/17/2019","9","PM10","","54-009-0011","AQS","9","."
"01/18/2019","55","PM2.5","","54-009-0005","AQS","9","55"
"01/19/2019","9","PM10","","54-009-0011","AQS","9","."
"01/20/2019","6","PM10","","54-009-0011","AQS","6","."
"01/21/2019","43","PM2.5","","54-009-0005","AQS","7","43"
"01/22/2019","18","PM10","","54-009-0011","AQS","18","."
"01/23/2019","17","PM10","","54-009-0011","AQS","17","."
"01/24/2019","33","PM2.5","","54-009-0005","AQS","6","33"
"01/25/2019","10","PM10","","54-009-0011","AQS","10","."
"01/26/2019","9","PM10","","54-009-0011","AQS","9","."
"01/27/2019","47","PM2.5","","54-009-0005","AQS","9","47"
"01/28/2019","12","PM10","","54-009-0011","AQS","12","."
"01/29/2019","11","PM10","","54-009-0011","AQS","11","."
"01/30/2019","33","PM2.5","","54-009-0005","AQS","11","33"
"01/31/2019","12","PM10","","54-009-0011","AQS","12","."
"02/01/2019","16","PM10","","54-009-0011","AQS","16","."
"02/02/2019","112","PM2.5","","54-009-0011","AQS","45","112"
"02/03/2019","48","PM10","","54-009-0011","AQS","48","."
"02/04/2019","33","PM10","","54-009-0011","AQS","33","."
"02/05/2019","42","PM2.5","","54-009-0005","AQS","9","42"
"02/06/2019","19","PM10","","54-009-0011","AQS","19","."
"02/07/2019","8","PM10","","54-009-0011","AQS","8","."
"02/08/2019","41","PM2.5","","54-009-0005","AQS","6","41"
"02/09/2019","8","PM10","","54-009-0011","AQS","8","."
"02/10/2019","14","PM10","","54-009-0011","AQS","14","."
"02/11/2019","55","PM2.5","","54-009-0011","AQS","12","55"
"02/12/2019","3","PM10","","54-009-0011","AQS","3","."
"02/13/2019","7","PM10","","54-009-0011","AQS","7","."
"02/14/2019","39","PM2.5","","54-009-0011","AQS","17","39"
"02/15/2019","11","PM10","","54-009-0011","AQS","11","."
"02/16/2019","6","PM10","","54-009-0011","AQS","6","."
"02/17/2019","37","PM2.5","","54-009-0005","AQS","8","37"
"02/18/2019","11","PM10","","54-009-0011","AQS","11","."
"02/19/2019","14","PM10","","54-009-0011","AQS","14","."
"02/20/2019","34","PM2.5","","54-009-0011","AQS","10","34"
"02/21/2019","7","PM10","","54-009-0011","AQS","7","."
"02/22/2019","19","PM10","","54-009-0011","AQS","19","."
"02/23/2019","54","PM2.5","","54-009-0005","AQS","12","54"
"02/24/2019","8","PM10","","54-009-0011","AQS","8","."
"02/25/2019","9","PM10","","54-009-0011","AQS","9","."
"02/26/2019","32","PM2.5","","54-009-0005","AQS","10","32"
"02/27/2019","17","PM10","","54-009-0011","AQS","17","."
"02/28/2019","11","PM10","","54-009-0011","AQS","11","."
"03/01/2019","49","PM2.5","","54-009-0005","AQS","12","49"
"03/02/2019","16","PM10","","54-009-0011","AQS","16","."
"03/03/2019","14","PM10","","54-009-0011","AQS","14","."
"03/04/2019","38","PM2.5","","54-009-0005","AQS","7","38"
"03/05/2019","13","PM10","","54-009-0011","AQS","13","."
"03/06/2019","12","PM10","","54-009-0011","AQS","12","."
"03/07/2019","58","PM2.5","","54-009-0005","AQS","16","58"
"03/08/2019","22","PM10","","54-009-0011","AQS","22","."
"03/09/2019","24","PM10","","54-009-0011","AQS","24","."
"03/10/2019","40","PM2.5","","54-009-0005","AQS","8","40"
"03/11/2019","7","PM10","","54-009-0011","AQS","7","."
"03/12/2019","12","PM10","","54-009-0011","AQS","12","."
"03/13/2019","47","PM2.5","","54-009-0011","AQS","27","47"
"03/14/2019","37","PM10","","54-009-0011","AQS","37","."
"03/15/2019","9","PM10","","54-009-0011","AQS","9","."
"03/16/2019","34","PM2.5","","54-009-0005","AQS","6","34"
