"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"06/06/2021","66","PM2.5","","54-009-0011","AQS","34","66"
"06/07/2021","34","PM10","","54-009-0011","AQS","34","."
"06/08/2021","16","PM10","","54-009-0011","AQS","16","."
"06/09/2021","38","PM2.5","","54-009-0005","AQS","14","38"
"06/10/2021","13","PM10","","54-009-0011","AQS","13","."
"06/11/2021","15","PM10","","54-009-0011","AQS","15","."
"06/12/2021","54","PM2.5","","54-009-0005","AQS","19","54"
"06/13/2021","26","PM10","","54-009-0011","AQS","26","."
"06/14/2021","18","PM10","","54-009-0011","AQS","18","."
"06/15/2021","19","PM2.5","","54-009-0011","AQS","6","19"
"06/16/2021","8","PM10","","54-009-0011","AQS","8","."
"06/17/2021","25","PM10","","54-009-0011","AQS","25","."
"06/18/2021","56","PM2.5","","54-009-0011","AQS","34","56"
"06/19/2021","10","PM10","","54-009-0011","AQS","10","."
"06/20/2021","24","PM10","","54-009-0011","AQS","24","."
"06/21/2021","43","PM2.5","","54-009-0005","AQS","20","43"
"06/22/2021","6","PM10","","54-009-0011","AQS","6","."
"06/23/2021","19","PM10","","54-009-0011","AQS","19","."
"06/24/2021","35","PM2.5","","54-009-0011","AQS","17","35"
"06/25/2021","22","PM10","","54-009-0011","AQS","22","."
"06/26/2021","22","PM10","","54-009-0011","AQS","22","."
"06/27/2021","52","PM2.5","","54-009-0011","AQS","22","52"
"06/28/2021","25","PM10","","54-009-0011","AQS","25","."
"06/29/2021","32","PM10","","54-009-0011","AQS","32","."
"06/30/2021","40","PM2.5","","54-009-0011","AQS","22","40"
"07/01/2021","12","PM10","","54-009-0011","AQS","12","."
"07/02/2021","6","PM10","","54-009-0011","AQS","6","."
"07/03/2021","34","PM2.5","","54-009-0005","AQS","8","34"
"07/04/2021","22","PM10","","54-009-0011","AQS","22","."
"07/05/2021","39","PM10","","54-009-0011","AQS","39","."
"07/06/2021","78","PM2.5","","54-009-0005","AQS","37","78"
"07/07/2021","37","PM10","","54-009-0011","AQS","37","."
"07/08/2021","15","PM10","","54-009-0011","AQS","15","."
"07/09/2021","31","PM2.5","","54-009-0011","AQS","11","31"
"07/10/2021","14","PM10","","54-009-0011","AQS","14","."
"07/11/2021","17","PM10","","54-009-0011","AQS","17","."
"07/12/2021","38","PM2.5","","54-009-0005","AQS","17","38"
"07/13/2021","18","PM10","","54-009-0011","AQS","18","."
"07/14/2021","14","PM10","","54-009-0011","AQS","14","."
"07/15/2021","48","PM2.5","","54-009-0011","AQS","25","48"
"07/16/2021","25","PM10","","54-009-0011","AQS","25","."
"07/17/2021","12","PM10","","54-009-0011","AQS","12","."
"07/18/2021","43","PM2.5","","54-009-0011","AQS","15","43"
"07/19/2021","36","PM10","","54-009-0011","AQS","36","."
"07/20/2021","46","PM10","","54-009-0011","AQS","46","."
"07/21/2021","66","PM2.5","","54-009-0011","AQS","24","66"
"07/22/2021","13","PM10","","54-009-0011","AQS","13","."
"07/23/2021","17","PM10","","54-009-0011","AQS","17","."
"07/24/2021","60","PM2.5","","54-009-0011","AQS","33","60"
"07/25/2021","23","PM10","","54-009-0011","AQS","23","."
"07/26/2021","22","PM10","","54-009-0011","AQS","22","."
"07/27/2021","59","PM2.5","","54-009-0005","AQS","33","59"
"07/28/2021","33","PM10","","54-009-0011","AQS","33","."
"07/29/2021","32","PM10","","54-009-0011","AQS","32","."
"07/30/2021","55","PM2.5","","54-009-0005","AQS","13","55"
"07/31/2021","14","PM10","","54-009-0011","AQS","14","."
