"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/01/2016","38","PM2.5","","54-009-0005","AQS","3","9","38"
"01/02/2016","5","PM10","","54-009-0011","AQS","5","5","."
"01/03/2016","5","PM10","","54-009-0011","AQS","5","5","."
"01/04/2016","13","PM2.5","","54-009-0005","AQS","5","3","13"
"01/05/2016","13","PM10","","54-009-0011","AQS","6","13","."
"01/06/2016","30","PM10","","54-009-0011","AQS","8","30","."
"01/07/2016","75","PM2.5","","54-009-0005","AQS","7","39","75"
"01/08/2016","29","PM10","","54-009-0011","AQS","8","29","."
"01/09/2016","8","PM10","","54-009-0011","AQS","5","8","."
"01/10/2016","17","PM2.5","","54-009-0005","AQS","2","2","17"
"01/11/2016","6","PM10","","54-009-0011","AQS","3","6","."
"01/12/2016","7","PM10","","54-009-0011","AQS","3","7","."
"01/13/2016","51","PM2.5","","54-009-0005","AQS","5","16","51"
"01/14/2016","10","PM10","","54-009-0011","AQS","3","10","."
"01/15/2016","15","PM10","","54-009-0011","AQS","3","15","."
"01/16/2016","46","PM2.5","","54-009-0005","AQS","3","4","46"
"01/17/2016","4","PM10","","54-009-0011","AQS","3","4","."
"01/18/2016","6","PM10","","54-009-0011","AQS","3","6","."
"01/19/2016","48","PM2.5","","54-009-0005","AQS","5","17","48"
"01/20/2016","18","PM10","","54-009-0011","AQS","6","18","."
"01/21/2016","13","PM10","","54-009-0011","AQS","3","13","."
"01/22/2016","53","PM2.5","","54-009-0011","AQS","6","11","53"
"01/23/2016","2","PM10","","54-009-0011","AQS","2","2","."
"01/24/2016","18","PM10","","54-009-0011","AQS","3","18","."
"01/25/2016","67","PM2.5","","54-009-0011","AQS","5","22","67"
"01/26/2016","6","PM10","","54-009-0011","AQS","0","6","."
"01/27/2016","6","PM10","","54-009-0011","AQS","0","6","."
"01/28/2016","42","PM2.5","","54-009-0011","AQS","1","13","42"
"01/29/2016","8","PM10","","54-009-0011","AQS","1","8","."
"01/30/2016","16","PM10","","54-009-0011","AQS","2","16","."
"01/31/2016","39","PM2.5","","54-009-0005","AQS","0","28","39"
"02/01/2016","8","PM10","","54-009-0011","AQS","1","8","."
"02/02/2016","13","PM10","","54-009-0011","AQS","3","13","."
"02/03/2016","24","PM2.5","","54-009-0005","AQS","3","8","24"
"02/04/2016","6","PM10","","54-009-0011","AQS","3","6","."
"02/05/2016","10","PM10","","54-009-0011","AQS","5","10","."
"02/06/2016","36","PM2.5","","54-009-0011","AQS","5","16","36"
"02/07/2016","21","PM10","","54-009-0011","AQS","7","21","."
"02/08/2016","19","PM10","","54-009-0011","AQS","6","19","."
"02/09/2016","48","PM2.5","","54-009-0011","AQS","3","11","48"
"02/10/2016","7","PM10","","54-009-0011","AQS","3","7","."
"02/11/2016","7","PM10","","54-009-0011","AQS","5","7","."
"02/12/2016","60","PM2.5","","54-009-0011","AQS","7","24","60"
"02/13/2016","6","PM10","","54-009-0011","AQS","5","6","."
"02/14/2016","15","PM10","","54-009-0011","AQS","6","15","."
"02/15/2016","45","PM2.5","","54-009-0005","AQS","7","11","45"
"02/16/2016","8","PM10","","54-009-0011","AQS","7","8","."
"02/17/2016","12","PM10","","54-009-0011","AQS","3","12","."
"02/18/2016","18","PM2.5","","54-009-0005","AQS","5","12","18"
"02/19/2016","14","PM10","","54-009-0011","AQS","3","14","."
"02/20/2016","14","PM10","","54-009-0011","AQS","3","14","."
"02/21/2016","26","PM2.5","","54-009-0005","AQS","5","13","26"
"02/22/2016","9","PM10","","54-009-0011","AQS","5","9","."
"02/23/2016","12","PM10","","54-009-0011","AQS","5","12","."
"02/24/2016","7","PM2.5","","54-009-0011","AQS","3","5","7"
"02/25/2016","6","PM10","","54-009-0011","AQS","3","6","."
"02/26/2016","6","PM10","","54-009-0011","AQS","3","6","."
