"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"09/11/2022","25","PM2.5","","54-009-0005","AQS","11","25"
"09/12/2022","14","PM10","","54-009-0011","AQS","14","."
"09/13/2022","12","PM10","","54-009-0011","AQS","12","."
"09/14/2022","25","PM2.5","","54-009-0011","AQS","14","25"
"09/15/2022","14","PM10","","54-009-0011","AQS","14","."
"09/16/2022","20","PM10","","54-009-0011","AQS","20","."
"09/17/2022","73","PM2.5","","54-009-0005","AQS","22","73"
"09/18/2022","19","PM10","","54-009-0011","AQS","19","."
"09/19/2022","21","PM10","","54-009-0011","AQS","21","."
"09/20/2022","38","PM2.5","","54-009-0005","AQS","17","38"
"09/21/2022","22","PM10","","54-009-0011","AQS","22","."
"09/22/2022","9","PM10","","54-009-0011","AQS","9","."
"09/23/2022","11","PM2.5","","54-009-0011","AQS","6","11"
"09/24/2022","11","PM10","","54-009-0011","AQS","11","."
"09/25/2022","11","PM10","","54-009-0011","AQS","11","."
"09/26/2022","13","PM2.5","","54-009-0005","AQS","8","13"
"09/27/2022","7","PM10","","54-009-0011","AQS","7","."
"09/28/2022","6","PM10","","54-009-0011","AQS","6","."
"09/29/2022","18","PM2.5","","54-009-0011","AQS","9","18"
"09/30/2022","8","PM10","","54-009-0011","AQS","8","."
"10/01/2022","6","PM10","","54-009-0011","AQS","6","."
"10/02/2022","15","PM2.5","","54-009-0005","AQS","9","15"
"10/03/2022","8","PM10","","54-009-0011","AQS","8","."
"10/04/2022","11","PM10","","54-009-0011","AQS","11","."
"10/05/2022","24","PM2.5","","54-009-0005","AQS","13","24"
"10/06/2022","25","PM10","","54-009-0011","AQS","25","."
"10/07/2022","12","PM10","","54-009-0011","AQS","12","."
"10/08/2022","14","PM2.5","","54-009-0011","AQS","8","14"
"10/09/2022","17","PM10","","54-009-0011","AQS","17","."
"10/10/2022","23","PM10","","54-009-0011","AQS","23","."
"10/11/2022","34","PM2.5","","54-009-0011","AQS","22","34"
"10/12/2022","20","PM10","","54-009-0011","AQS","20","."
"10/13/2022","13","PM10","","54-009-0011","AQS","13","."
"10/14/2022","24","PM2.5","","54-009-0005","AQS","21","24"
"10/15/2022","18","PM10","","54-009-0011","AQS","18","."
"10/16/2022","19","PM10","","54-009-0011","AQS","19","."
"10/17/2022","17","PM10","","54-009-0011","AQS","17","15"
"10/18/2022","6","PM10","","54-009-0011","AQS","6","."
"10/19/2022","5","PM10","","54-009-0011","AQS","5","."
"10/20/2022","23","PM10","","54-009-0011","AQS","23","17"
"10/21/2022","29","PM10","","54-009-0011","AQS","29","."
"10/22/2022","23","PM10","","54-009-0011","AQS","23","."
"10/23/2022","46","PM2.5","","54-009-0011","AQS","21","46"
"10/24/2022","22","PM10","","54-009-0011","AQS","22","."
"10/25/2022","21","PM10","","54-009-0011","AQS","21","."
"10/26/2022","24","PM2.5","","54-009-0005","AQS","12","24"
"10/27/2022","7","PM10","","54-009-0011","AQS","7","."
"10/28/2022","10","PM10","","54-009-0011","AQS","10","."
"10/29/2022","31","PM2.5","","54-009-0011","AQS","13","31"
"10/30/2022","15","PM10","","54-009-0011","AQS","15","."
"10/31/2022","13","PM10","","54-009-0011","AQS","13","."
"11/01/2022","28","PM2.5","","54-009-0011","AQS","13","28"
"11/02/2022","13","PM10","","54-009-0011","AQS","13","."
"11/03/2022","14","PM10","","54-009-0011","AQS","14","."
"11/04/2022","34","PM2.5","","54-009-0005","AQS","16","34"
"11/05/2022","10","PM10","","54-009-0011","AQS","10","."
"11/06/2022","11","PM10","","54-009-0011","AQS","11","."
"11/07/2022","19","PM2.5","","54-009-0005","AQS","12","19"
"11/08/2022","13","PM10","","54-009-0011","AQS","13","."
"11/09/2022","13","PM10","","54-009-0011","AQS","13","."
"11/10/2022","22","PM2.5","","54-009-0005","AQS","17","22"
"11/11/2022","7","PM10","","54-009-0011","AQS","7","."
"11/12/2022","14","PM10","","54-009-0011","AQS","14","."
"11/13/2022","10","PM2.5","","54-009-0005","AQS","6","10"
"11/14/2022","7","PM10","","54-009-0011","AQS","7","."
"11/15/2022","10","PM10","","54-009-0011","AQS","10","."
"11/16/2022","40","PM2.5","","54-009-0011","AQS","14","40"
"11/19/2022","20","PM2.5","","54-009-0011","AQS","12","20"
"11/20/2022","10","PM10","","54-009-0011","AQS","10","."
"11/21/2022","15","PM10","","54-009-0011","AQS","15","."
"11/22/2022","35","PM2.5","","54-009-0005","AQS","18","35"
"11/23/2022","23","PM10","","54-009-0011","AQS","23","."
"11/24/2022","19","PM10","","54-009-0011","AQS","19","."
"11/25/2022","38","PM2.5","","54-009-0005","AQS","16","38"
"11/26/2022","16","PM10","","54-009-0011","AQS","16","."
"11/27/2022","8","PM10","","54-009-0011","AQS","8","."
"11/28/2022","33","PM2.5","","54-009-0005","AQS","11","33"
"11/29/2022","16","PM10","","54-009-0011","AQS","16","."
"11/30/2022","7","PM10","","54-009-0011","AQS","7","."
"12/01/2022","26","PM2.5","","54-009-0011","AQS","15","26"
"12/02/2022","15","PM10","","54-009-0011","AQS","15","."
"12/03/2022","9","PM10","","54-009-0011","AQS","9","."
"12/04/2022","37","PM2.5","","54-009-0011","AQS","13","37"
"12/05/2022","16","PM10","","54-009-0011","AQS","16","."
"12/06/2022","14","PM10","","54-009-0011","AQS","14","."
"12/07/2022","40","PM2.5","","54-009-0005","AQS","11","40"
"12/08/2022","17","PM10","","54-009-0011","AQS","17","."
"12/09/2022","12","PM10","","54-009-0011","AQS","12","."
"12/10/2022","51","PM2.5","","54-009-0005","AQS","19","51"
"12/11/2022","15","PM10","","54-009-0011","AQS","15","."
"12/12/2022","11","PM10","","54-009-0011","AQS","11","."
"12/13/2022","25","PM2.5","","54-009-0005","AQS","11","25"
"12/14/2022","11","PM10","","54-009-0011","AQS","11","."
"12/15/2022","5","PM10","","54-009-0011","AQS","5","."
"12/16/2022","30","PM2.5","","54-009-0005","AQS","11","30"
"12/17/2022","11","PM10","","54-009-0011","AQS","11","."
"12/18/2022","9","PM10","","54-009-0011","AQS","9","."
"12/19/2022","29","PM2.5","","54-009-0005","AQS","11","29"
"12/20/2022","19","PM10","","54-009-0011","AQS","19","."
"12/21/2022","23","PM10","","54-009-0011","AQS","23","."
"12/22/2022","24","PM2.5","","54-009-0005","AQS","8","24"
"12/23/2022","16","PM10","","54-009-0011","AQS","16","."
"12/24/2022","14","PM10","","54-009-0011","AQS","14","."
"12/25/2022","22","PM2.5","","54-009-0005","AQS","10","22"
"12/26/2022","9","PM10","","54-009-0011","AQS","9","."
"12/27/2022","12","PM10","","54-009-0011","AQS","12","."
"12/28/2022","45","PM2.5","","54-009-0005","AQS","16","45"
"12/29/2022","14","PM10","","54-009-0011","AQS","14","."
"12/30/2022","11","PM10","","54-009-0011","AQS","11","."
"12/31/2022","19","PM2.5","","54-009-0005","AQS","6","19"
