"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2022","10","PM10","","54-009-0011","AQS","10","."
"01/02/2022","6","PM2.5","","54-009-0005","AQS","4","6"
"01/03/2022","6","PM10","","54-009-0011","AQS","6","."
"01/04/2022","13","PM10","","54-009-0011","AQS","13","."
"01/05/2022","28","PM2.5","","54-009-0005","AQS","11","28"
"01/06/2022","16","PM10","","54-009-0011","AQS","16","."
"01/07/2022","13","PM10","","54-009-0011","AQS","13","."
"01/08/2022","58","PM2.5","","54-009-0005","AQS","17","58"
"01/09/2022","7","PM10","","54-009-0011","AQS","7","."
"01/10/2022","9","PM10","","54-009-0011","AQS","9","."
"01/11/2022","31","PM2.5","","54-009-0005","AQS","11","31"
"01/12/2022","14","PM10","","54-009-0011","AQS","14","."
"01/13/2022","17","PM10","","54-009-0011","AQS","17","."
"01/14/2022","40","PM2.5","","54-009-0005","AQS","13","40"
"01/15/2022","10","PM10","","54-009-0011","AQS","10","."
"01/16/2022","10","PM10","","54-009-0011","AQS","10","."
"01/17/2022","48","PM2.5","","54-009-0005","AQS","10","48"
"01/18/2022","12","PM10","","54-009-0011","AQS","12","."
"01/19/2022","11","PM10","","54-009-0011","AQS","11","."
"01/20/2022","17","PM2.5","","54-009-0005","AQS","7","17"
"01/21/2022","10","PM10","","54-009-0011","AQS","10","."
"01/22/2022","18","PM10","","54-009-0011","AQS","18","."
"01/23/2022","40","PM2.5","","54-009-0005","AQS","13","40"
"01/24/2022","11","PM10","","54-009-0011","AQS","11","."
"01/25/2022","11","PM10","","54-009-0011","AQS","11","."
"01/26/2022","56","PM2.5","","54-009-0011","AQS","17","56"
"01/27/2022","23","PM10","","54-009-0011","AQS","23","."
"01/28/2022","14","PM10","","54-009-0011","AQS","14","."
"01/29/2022","41","PM2.5","","54-009-0005","AQS","11","41"
"01/30/2022","21","PM10","","54-009-0011","AQS","21","."
"01/31/2022","29","PM10","","54-009-0011","AQS","29","."
"02/01/2022","65","PM2.5","","54-009-0005","AQS","21","65"
"02/02/2022","17","PM10","","54-009-0011","AQS","17","."
"02/03/2022","6","PM10","","54-009-0011","AQS","6","."
"02/04/2022","20","PM2.5","","54-009-0005","AQS","6","20"
"02/05/2022","12","PM10","","54-009-0011","AQS","12","."
"02/06/2022","18","PM10","","54-009-0011","AQS","18","."
"02/07/2022","66","PM2.5","","54-009-0011","AQS","24","66"
"02/08/2022","18","PM10","","54-009-0011","AQS","18","."
"02/09/2022","13","PM10","","54-009-0011","AQS","13","."
"02/10/2022","20","PM2.5","","54-009-0005","AQS","8","20"
"02/11/2022","17","PM10","","54-009-0011","AQS","17","."
"02/12/2022","7","PM10","","54-009-0011","AQS","7","."
"02/13/2022","31","PM2.5","","54-009-0005","AQS","9","31"
"02/14/2022","13","PM10","","54-009-0011","AQS","13","."
"02/15/2022","25","PM10","","54-009-0011","AQS","25","."
"02/16/2022","44","PM2.5","","54-009-0011","AQS","19","44"
"02/17/2022","11","PM10","","54-009-0011","AQS","11","."
"02/18/2022","6","PM10","","54-009-0011","AQS","6","."
"02/19/2022","23","PM2.5","","54-009-0005","AQS","9","23"
"02/20/2022","14","PM10","","54-009-0011","AQS","14","."
"02/21/2022","15","PM10","","54-009-0011","AQS","15","."
"02/22/2022","43","PM2.5","","54-009-0005","AQS","14","43"
"02/23/2022","13","PM10","","54-009-0011","AQS","13","."
"02/24/2022","11","PM10","","54-009-0011","AQS","11","."
"02/25/2022","32","PM2.5","","54-009-0005","AQS","7","32"
"02/26/2022","10","PM10","","54-009-0011","AQS","10","."
"02/27/2022","14","PM10","","54-009-0011","AQS","14","."
"02/28/2022","43","PM2.5","","54-009-0005","AQS","15","43"
"03/01/2022","18","PM10","","54-009-0011","AQS","18","."
"03/02/2022","19","PM10","","54-009-0011","AQS","19","."
"03/03/2022","13","PM2.5","","54-009-0005","AQS","6","13"
"03/04/2022","10","PM10","","54-009-0011","AQS","10","."
"03/05/2022","25","PM10","","54-009-0011","AQS","25","."
"03/06/2022","58","PM2.5","","54-009-0005","AQS","23","58"
"03/07/2022","8","PM10","","54-009-0011","AQS","8","."
"03/08/2022","7","PM10","","54-009-0011","AQS","7","."
"03/09/2022","40","PM2.5","","54-009-0005","AQS","13","40"
"03/10/2022","20","PM10","","54-009-0011","AQS","20","."
"03/11/2022","19","PM10","","54-009-0011","AQS","19","."
"03/12/2022","29","PM2.5","","54-009-0005","AQS","9","29"
"03/13/2022","9","PM10","","54-009-0011","AQS","9","."
"03/14/2022","13","PM10","","54-009-0011","AQS","13","."
"03/15/2022","39","PM2.5","","54-009-0011","AQS","18","39"
"03/16/2022","24","PM10","","54-009-0011","AQS","24","."
"03/17/2022","36","PM10","","54-009-0011","AQS","36","."
"03/18/2022","54","PM2.5","","54-009-0011","AQS","27","54"
"03/19/2022","11","PM10","","54-009-0011","AQS","11","."
"03/20/2022","5","PM10","","54-009-0011","AQS","5","."
"03/21/2022","40","PM2.5","","54-009-0011","AQS","18","40"
"03/22/2022","13","PM10","","54-009-0011","AQS","13","."
"03/23/2022","11","PM10","","54-009-0011","AQS","11","."
"03/24/2022","20","PM2.5","","54-009-0005","AQS","7","20"
"03/25/2022","7","PM10","","54-009-0011","AQS","7","."
"03/26/2022","4","PM10","","54-009-0011","AQS","4","."
"03/27/2022","28","PM2.5","","54-009-0005","AQS","5","28"
"03/28/2022","6","PM10","","54-009-0011","AQS","6","."
"03/29/2022","14","PM10","","54-009-0011","AQS","14","."
"03/30/2022","37","PM2.5","","54-009-0005","AQS","18","37"
"03/31/2022","19","PM10","","54-009-0011","AQS","19","."
"04/01/2022","4","PM10","","54-009-0011","AQS","4","."
"04/02/2022","21","PM2.5","","54-009-0005","AQS","11","21"
"04/03/2022","9","PM10","","54-009-0011","AQS","9","."
"04/04/2022","15","PM10","","54-009-0011","AQS","15","."
"04/05/2022","31","PM2.5","","54-009-0005","AQS","15","31"
"04/06/2022","10","PM10","","54-009-0011","AQS","10","."
"04/07/2022","12","PM10","","54-009-0011","AQS","12","."
"04/08/2022","21","PM2.5","","54-009-0005","AQS","10","21"
"04/09/2022","4","PM10","","54-009-0011","AQS","4","."
"04/10/2022","5","PM10","","54-009-0011","AQS","5","."
"04/11/2022","41","PM2.5","","54-009-0005","AQS","13","41"
"04/12/2022","11","PM10","","54-009-0011","AQS","11","."
"04/13/2022","17","PM10","","54-009-0011","AQS","17","."
"04/14/2022","13","PM2.5","","54-009-0005","AQS","8","13"
"04/15/2022","16","PM10","","54-009-0011","AQS","16","."
"04/16/2022","10","PM10","","54-009-0011","AQS","10","."
"04/17/2022","12","PM2.5","","54-009-0005","AQS","6","12"
"04/18/2022","6","PM10","","54-009-0011","AQS","6","."
"04/19/2022","7","PM10","","54-009-0011","AQS","7","."
"04/20/2022","23","PM2.5","","54-009-0005","AQS","10","23"
"04/21/2022","16","PM10","","54-009-0011","AQS","16","."
"04/22/2022","13","PM10","","54-009-0011","AQS","13","."
"04/23/2022","48","PM2.5","","54-009-0005","AQS","23","48"
"04/24/2022","31","PM10","","54-009-0011","AQS","31","."
"04/25/2022","27","PM10","","54-009-0011","AQS","27","."
"04/26/2022","21","PM2.5","","54-009-0011","AQS","12","21"
"04/27/2022","11","PM10","","54-009-0011","AQS","11","."
"04/28/2022","10","PM10","","54-009-0011","AQS","10","."
"04/29/2022","23","PM2.5","","54-009-0005","AQS","18","23"
"04/30/2022","18","PM10","","54-009-0011","AQS","18","."
"05/01/2022","19","PM10","","54-009-0011","AQS","19","."
"05/02/2022","17","PM2.5","","54-009-0005","AQS","9","17"
"05/03/2022","18","PM10","","54-009-0011","AQS","18","."
"05/04/2022","10","PM10","","54-009-0011","AQS","10","."
"05/05/2022","17","PM2.5","","54-009-0011","AQS","10","17"
"05/06/2022","6","PM10","","54-009-0011","AQS","6","."
"05/07/2022","4","PM10","","54-009-0011","AQS","4","."
"05/08/2022","20","PM2.5","","54-009-0005","AQS","9","20"
"05/09/2022","13","PM10","","54-009-0011","AQS","13","."
"05/10/2022","16","PM10","","54-009-0011","AQS","16","."
"05/11/2022","29","PM2.5","","54-009-0005","AQS","19","29"
"05/12/2022","18","PM10","","54-009-0011","AQS","18","."
"05/13/2022","11","PM10","","54-009-0011","AQS","11","."
"05/14/2022","19","PM2.5","","54-009-0011","AQS","10","19"
"05/15/2022","14","PM10","","54-009-0011","AQS","14","."
"05/16/2022","19","PM10","","54-009-0011","AQS","19","."
"05/17/2022","21","PM2.5","","54-009-0011","AQS","13","21"
"05/18/2022","12","PM10","","54-009-0011","AQS","12","."
"05/19/2022","18","PM10","","54-009-0011","AQS","18","."
"05/20/2022","43","PM2.5","","54-009-0005","AQS","21","43"
"05/21/2022","25","PM10","","54-009-0011","AQS","25","."
"05/22/2022","17","PM10","","54-009-0011","AQS","17","."
"05/23/2022","26","PM2.5","","54-009-0005","AQS","12","26"
"05/24/2022","11","PM10","","54-009-0011","AQS","11","."
"05/25/2022","10","PM10","","54-009-0011","AQS","10","."
"05/26/2022","25","PM2.5","","54-009-0005","AQS","15","25"
"05/27/2022","14","PM10","","54-009-0011","AQS","14","."
"05/28/2022","13","PM10","","54-009-0011","AQS","13","."
"05/29/2022","47","PM2.5","","54-009-0005","AQS","18","47"
"05/30/2022","19","PM10","","54-009-0011","AQS","19","."
"05/31/2022","24","PM10","","54-009-0011","AQS","24","."
"06/01/2022","48","PM2.5","","54-009-0005","AQS","26","48"
"06/02/2022","14","PM10","","54-009-0011","AQS","14","."
"06/03/2022","15","PM10","","54-009-0011","AQS","15","."
"06/04/2022","32","PM2.5","","54-009-0005","AQS","16","32"
"06/05/2022","13","PM10","","54-009-0011","AQS","13","."
"06/06/2022","23","PM10","","54-009-0011","AQS","23","."
"06/07/2022","34","PM2.5","","54-009-0005","AQS","15","34"
"06/08/2022","12","PM10","","54-009-0011","AQS","12","."
"06/09/2022","10","PM10","","54-009-0011","AQS","10","."
"06/10/2022","29","PM2.5","","54-009-0005","AQS","17","29"
"06/11/2022","15","PM10","","54-009-0011","AQS","15","."
"06/12/2022","19","PM10","","54-009-0011","AQS","19","."
"06/13/2022","54","PM2.5","","54-009-0011","AQS","23","54"
"06/14/2022","18","PM10","","54-009-0011","AQS","18","."
"06/15/2022","50","PM10","","54-009-0011","AQS","50","."
"06/16/2022","70","PM2.5","","54-009-0011","AQS","53","70"
"06/17/2022","24","PM10","","54-009-0011","AQS","24","."
"06/18/2022","13","PM10","","54-009-0011","AQS","13","."
"06/19/2022","17","PM2.5","","54-009-0005","AQS","10","17"
"06/20/2022","22","PM10","","54-009-0011","AQS","22","."
"06/21/2022","24","PM10","","54-009-0011","AQS","24","."
"06/22/2022","54","PM2.5","","54-009-0011","AQS","28","54"
"06/23/2022","15","PM10","","54-009-0011","AQS","15","."
"06/24/2022","13","PM10","","54-009-0011","AQS","13","."
"06/25/2022","43","PM2.5","","54-009-0005","AQS","19","43"
"06/26/2022","17","PM10","","54-009-0011","AQS","17","."
"06/27/2022","13","PM10","","54-009-0011","AQS","13","."
"06/28/2022","21","PM2.5","","54-009-0011","AQS","12","21"
"06/29/2022","19","PM10","","54-009-0011","AQS","19","."
"06/30/2022","26","PM10","","54-009-0011","AQS","26","."
"07/01/2022","49","PM2.5","","54-009-0005","AQS","22","49"
"07/02/2022","18","PM10","","54-009-0011","AQS","18","."
"07/03/2022","21","PM10","","54-009-0011","AQS","21","."
"07/04/2022","58","PM2.5","","54-009-0011","AQS","24","58"
"07/05/2022","18","PM10","","54-009-0011","AQS","18","."
"07/06/2022","10","PM10","","54-009-0011","AQS","10","."
"07/07/2022","27","PM2.5","","54-009-0011","AQS","14","27"
"07/08/2022","15","PM10","","54-009-0011","AQS","15","."
"07/09/2022","16","PM10","","54-009-0011","AQS","16","."
"07/10/2022","37","PM2.5","","54-009-0011","AQS","17","37"
"07/11/2022","19","PM10","","54-009-0011","AQS","19","."
"07/12/2022","17","PM10","","54-009-0011","AQS","17","."
"07/13/2022","32","PM2.5","","54-009-0005","AQS","17","32"
"07/14/2022","13","PM10","","54-009-0011","AQS","13","."
"07/15/2022","15","PM10","","54-009-0011","AQS","15","."
"07/16/2022","39","PM2.5","","54-009-0005","AQS","15","39"
"07/17/2022","14","PM10","","54-009-0011","AQS","14","."
"07/18/2022","11","PM10","","54-009-0011","AQS","11","."
"07/19/2022","40","PM2.5","","54-009-0011","AQS","17","40"
"07/20/2022","26","PM10","","54-009-0011","AQS","26","."
"07/21/2022","19","PM10","","54-009-0011","AQS","19","."
"07/22/2022","50","PM2.5","","54-009-0011","AQS","28","50"
"07/23/2022","19","PM10","","54-009-0011","AQS","19","."
"07/24/2022","19","PM10","","54-009-0011","AQS","19","."
"07/25/2022","38","PM2.5","","54-009-0005","AQS","15","38"
"07/26/2022","18","PM10","","54-009-0011","AQS","18","."
"07/27/2022","12","PM10","","54-009-0011","AQS","12","."
"07/28/2022","28","PM2.5","","54-009-0011","AQS","15","28"
"07/29/2022","19","PM10","","54-009-0011","AQS","19","."
"07/30/2022","14","PM10","","54-009-0011","AQS","14","."
"07/31/2022","40","PM2.5","","54-009-0011","AQS","15","40"
"08/01/2022","15","PM10","","54-009-0011","AQS","15","."
"08/02/2022","14","PM10","","54-009-0011","AQS","14","."
"08/03/2022","36","PM2.5","","54-009-0005","AQS","18","36"
"08/04/2022","19","PM10","","54-009-0011","AQS","19","."
"08/05/2022","15","PM10","","54-009-0011","AQS","15","."
"08/06/2022","25","PM2.5","","54-009-0011","AQS","12","25"
"08/07/2022","15","PM10","","54-009-0011","AQS","15","."
"08/08/2022","17","PM10","","54-009-0011","AQS","17","."
"08/09/2022","23","PM2.5","","54-009-0005","AQS","11","23"
"08/10/2022","13","PM10","","54-009-0011","AQS","13","."
"08/11/2022","14","PM10","","54-009-0011","AQS","14","."
"08/12/2022","15","PM2.5","","54-009-0005","AQS","10","15"
"08/13/2022","12","PM10","","54-009-0011","AQS","12","."
"08/14/2022","14","PM10","","54-009-0011","AQS","14","."
"08/15/2022","35","PM2.5","","54-009-0011","AQS","12","35"
"08/16/2022","11","PM10","","54-009-0011","AQS","11","."
"08/17/2022","11","PM10","","54-009-0011","AQS","11","."
"08/18/2022","30","PM2.5","","54-009-0005","AQS","16","30"
"08/19/2022","23","PM10","","54-009-0011","AQS","23","."
"08/20/2022","19","PM10","","54-009-0011","AQS","19","."
"08/21/2022","28","PM2.5","","54-009-0005","AQS","12","28"
"08/22/2022","10","PM10","","54-009-0011","AQS","10","."
"08/23/2022","15","PM10","","54-009-0011","AQS","15","."
"08/24/2022","48","PM2.5","","54-009-0005","AQS","17","48"
"08/25/2022","23","PM10","","54-009-0011","AQS","23","."
"08/26/2022","19","PM10","","54-009-0011","AQS","19","."
"08/27/2022","41","PM2.5","","54-009-0011","AQS","14","41"
"08/28/2022","18","PM10","","54-009-0011","AQS","18","."
"08/29/2022","16","PM10","","54-009-0011","AQS","16","."
"08/30/2022","24","PM2.5","","54-009-0011","AQS","15","24"
"08/31/2022","16","PM10","","54-009-0011","AQS","16","."
"09/01/2022","19","PM10","","54-009-0011","AQS","19","."
"09/02/2022","35","PM2.5","","54-009-0005","AQS","18","35"
"09/03/2022","18","PM10","","54-009-0011","AQS","18","."
"09/04/2022","14","PM10","","54-009-0011","AQS","14","."
"09/05/2022","29","PM2.5","","54-009-0005","AQS","15","29"
"09/06/2022","8","PM10","","54-009-0011","AQS","8","."
"09/07/2022","12","PM10","","54-009-0011","AQS","12","."
"09/08/2022","18","PM2.5","","54-009-0011","AQS","11","18"
"09/09/2022","11","PM10","","54-009-0011","AQS","11","."
"09/10/2022","13","PM10","","54-009-0011","AQS","13","."
