"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/01/2008","54","PM2.5","","54-009-0005","AQS","3","11","54"
"01/02/2008","7","PM10","","54-009-0011","AQS","3","7","."
"01/03/2008","11","PM10","","54-009-0011","AQS","3","11","."
"01/04/2008","51","PM2.5","","54-009-0005","AQS","5","22","51"
"01/05/2008","21","PM10","","54-009-0011","AQS","7","21","."
"01/06/2008","13","PM10","","54-009-0011","AQS","3","13","."
"01/07/2008","60","PM2.5","","54-009-0005","AQS","3","30","60"
"01/08/2008","13","PM10","","54-009-0011","AQS","3","13","."
"01/09/2008","19","PM10","","54-009-0011","AQS","6","19","."
"01/10/2008","59","PM2.5","","54-009-0011","AQS","14","27","59"
"01/11/2008","8","PM10","","54-009-0011","AQS","5","8","."
"01/12/2008","11","PM10","","54-009-0011","AQS","6","11","."
"01/13/2008","62","PM2.5","","54-009-0005","AQS","7","15","62"
"01/14/2008","6","PM10","","54-009-0011","AQS","5","6","."
"01/15/2008","8","PM10","","54-009-0011","AQS","3","8","."
"01/16/2008","58","PM2.5","","54-009-0005","AQS","5","19","58"
"01/17/2008","17","PM10","","54-009-0011","AQS","6","17","."
"01/18/2008","8","PM10","","54-009-0011","AQS","5","8","."
"01/19/2008","52","PM2.5","","54-009-0005","AQS","3","13","52"
"01/20/2008","10","PM10","","54-009-0011","AQS","3","10","."
"01/21/2008","12","PM10","","54-009-0011","AQS","5","12","."
"01/22/2008","54","PM2.5","","54-009-0005","AQS","9","48","54"
"01/23/2008","9","PM10","","54-009-0011","AQS","5","9","."
"01/24/2008","17","PM10","","54-009-0011","AQS","9","17","."
"01/25/2008","60","PM2.5","","54-009-0005","AQS","5","21","60"
"01/26/2008","16","PM10","","54-009-0011","AQS","5","16","."
"01/27/2008","14","PM10","","54-009-0011","AQS","5","14","."
"01/28/2008","88","PM2.5","","54-009-0011","AQS","10","29","88"
"01/29/2008","13","PM10","","54-009-0011","AQS","8","13","."
"01/30/2008","15","PM10","","54-009-0011","AQS","6","15","."
"01/31/2008","48","PM2.5","","54-009-0005","AQS","6","18","48"
"02/01/2008","6","CO","","54-009-0011","AQS","6",".","."
"02/02/2008","7","CO","","54-009-0011","AQS","7",".","."
"02/03/2008","92","PM2.5","","54-009-0011","AQS","16","27","92"
"02/04/2008","14","CO","","54-009-0011","AQS","14",".","."
"02/05/2008","9","PM10","","54-009-0011","AQS","7","9","."
"02/06/2008","37","PM2.5","","54-009-0005","AQS","6","11","37"
"02/07/2008","6","PM10","","54-009-0011","AQS","6","6","."
"02/08/2008","10","PM10","","54-009-0011","AQS","6","10","."
"02/09/2008","40","PM2.5","","54-009-0011","AQS","3","11","40"
"02/10/2008","12","PM10","","54-009-0011","AQS","3","12","."
"02/11/2008","10","PM10","","54-009-0011","AQS","3","10","."
"02/12/2008","62","PM2.5","","54-009-0011","AQS","3","19","62"
"02/13/2008","13","PM10","","54-009-0011","AQS","5","13","."
"02/14/2008","12","PM10","","54-009-0011","AQS","3","12","."
"02/15/2008","58","PM2.5","","54-009-0005","AQS","3","18","58"
"02/16/2008","14","PM10","","54-009-0011","AQS","5","14","."
"02/17/2008","15","PM10","","54-009-0011","AQS","5","15","."
"02/18/2008","31","PM2.5","","54-009-0005","AQS","3","10","31"
"02/19/2008","8","PM10","","54-009-0011","AQS","3","8","."
"02/20/2008","10","PM10","","54-009-0011","AQS","3","10","."
"02/21/2008","54","PM2.5","","54-009-0011","AQS","9","15","54"
"02/22/2008","13","PM10","","54-009-0011","AQS","5","13","."
"02/23/2008","14","PM10","","54-009-0011","AQS","3","14","."
"02/24/2008","99","PM2.5","","54-009-0005","AQS","14","35","99"
"02/25/2008","22","PM10","","54-009-0011","AQS","5","22","."
"02/26/2008","13","PM10","","54-009-0011","AQS","6","13","."
"02/27/2008","38","PM2.5","","54-009-0005","AQS","3","13","38"
"02/28/2008","8","PM10","","54-009-0011","AQS","3","8","."
"02/29/2008","12","PM10","","54-009-0011","AQS","5","12","."
"03/01/2008","57","PM2.5","","54-009-0011","AQS","3","16","57"
"03/02/2008","15","PM10","","54-009-0011","AQS","5","15","."
"03/03/2008","38","PM10","","54-009-0011","AQS","26","38","."
"03/04/2008","20","PM2.5","","54-009-0005","AQS","13","5","20"
"03/05/2008","6","PM10","","54-009-0011","AQS","3","6","."
"03/06/2008","19","PM10","","54-009-0011","AQS","5","19","."
"03/07/2008","64","PM2.5","","54-009-0011","AQS","6","15","64"
"03/08/2008","6","PM10","","54-009-0011","AQS","3","6","."
"03/09/2008","10","PM10","","54-009-0011","AQS","5","10","."
"03/10/2008","80","PM2.5","","54-009-0011","AQS","9","25","80"
"03/11/2008","21","PM10","","54-009-0011","AQS","6","21","."
"03/12/2008","17","PM10","","54-009-0011","AQS","5","17","."
"03/13/2008","59","PM2.5","","54-009-0005","AQS","6","24","59"
"03/14/2008","10","PM10","","54-009-0011","AQS","5","10","."
"03/15/2008","13","PM10","","54-009-0011","AQS","3","13","."
"03/16/2008","24","PM2.5","","54-009-0005","AQS","3","7","24"
"03/17/2008","9","PM10","","54-009-0011","AQS","5","9","."
"03/18/2008","13","PM10","","54-009-0011","AQS","5","13","."
"03/19/2008","49","PM2.5","","54-009-0005","AQS","5","13","49"
"03/20/2008","8","PM10","","54-009-0011","AQS","3","8","."
"03/21/2008","8","PM10","","54-009-0011","AQS","3","8","."
"03/22/2008","20","PM2.5","","54-009-0011","AQS","3","7","20"
"03/23/2008","7","PM10","","54-009-0011","AQS","3","7","."
"03/24/2008","14","PM10","","54-009-0011","AQS","5","14","."
"03/25/2008","55","PM2.5","","54-009-0011","AQS","7","24","55"
"03/26/2008","13","PM10","","54-009-0011","AQS","3","13","."
"03/27/2008","19","PM10","","54-009-0011","AQS","3","19","."
"03/28/2008","33","PM2.5","","54-009-0005","AQS","3","9","33"
"03/29/2008","8","PM10","","54-009-0011","AQS","3","8","."
"03/30/2008","10","PM10","","54-009-0011","AQS","3","10","."
"03/31/2008","38","PM2.5","","54-009-0011","AQS","3","12","38"
"04/01/2008","10","PM10","","54-009-0011","AQS","3","10","."
"04/02/2008","8","PM10","","54-009-0011","AQS","3","8","."
"04/03/2008","36","PM2.5","","54-009-0005","AQS","3","15","36"
"04/04/2008","7","PM10","","54-009-0011","AQS","5","7","."
"04/05/2008","13","PM10","","54-009-0011","AQS","3","13","."
"04/06/2008","49","PM2.5","","54-009-0005","AQS","3","15","49"
"04/07/2008","13","PM10","","54-009-0011","AQS","3","13","."
"04/08/2008","17","PM10","","54-009-0011","AQS","3","17","."
"04/09/2008","43","PM2.5","","54-009-0005","AQS","3","19","43"
"04/10/2008","16","PM10","","54-009-0011","AQS","3","16","."
"04/11/2008","21","PM10","","54-009-0011","AQS","5","21","."
"04/12/2008","44","PM2.5","","54-009-0005","AQS","3","17","44"
"04/13/2008","4","PM10","","54-009-0011","AQS","3","4","."
"04/14/2008","6","PM10","","54-009-0011","AQS","3","6","."
"04/15/2008","34","PM2.5","","54-009-0005","AQS","7","13","34"
"04/16/2008","31","PM10","","54-009-0011","AQS","14","31","."
"04/17/2008","54","PM10","","54-009-0011","AQS","26","54","."
"04/18/2008","112","PM2.5","","54-009-0005","AQS","25","55","112"
"04/19/2008","35","PM10","","54-009-0011","AQS","7","35","."
"04/20/2008","11","PM10","","54-009-0011","AQS","3","11","."
"04/21/2008","35","PM2.5","","54-009-0005","AQS","3","14","35"
"04/22/2008","19","PM10","","54-009-0011","AQS","3","19","."
"04/23/2008","22","PM10","","54-009-0011","AQS","7","22","."
"04/24/2008","59","PM2.5","","54-009-0005","AQS","3","21","59"
"04/25/2008","28","PM10","","54-009-0011","AQS","5","28","."
"04/26/2008","28","PM10","","54-009-0011","AQS","14","28","."
"04/27/2008","54","PM2.5","","54-009-0011","AQS","5","31","54"
"04/28/2008","10","PM10","","54-009-0011","AQS","3","10","."
