"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/01/2014","14","PM10","","54-009-0011","AQS","5","14","."
"01/02/2014","53","PM2.5","","54-009-0005","AQS","5","13","53"
"01/03/2014","6","PM10","","54-009-0011","AQS","3","6","."
"01/04/2014","12","PM10","","54-009-0011","AQS","3","12","."
"01/05/2014","92","PM2.5","","54-009-0011","AQS","6","34","92"
"01/06/2014","6","PM10","","54-009-0011","AQS","3","6","."
"01/07/2014","8","PM10","","54-009-0011","AQS","3","8","."
"01/08/2014","39","PM2.5","","54-009-0005","AQS","3","11","39"
"01/09/2014","16","PM10","","54-009-0011","AQS","5","16","."
"01/10/2014","12","PM10","","54-009-0011","AQS","5","12","."
"01/11/2014","40","PM2.5","","54-009-0005","AQS","5","7","40"
"01/12/2014","10","PM10","","54-009-0011","AQS","3","10","."
"01/13/2014","9","PM10","","54-009-0011","AQS","3","9","."
"01/14/2014","51","PM2.5","","54-009-0005","AQS","3","10","51"
"01/15/2014","6","PM10","","54-009-0011","AQS","3","6","."
"01/16/2014","9","PM10","","54-009-0011","AQS","3","9","."
"01/17/2014","36","PM2.5","","54-009-0005","AQS","3","9","36"
"01/18/2014","9","PM10","","54-009-0011","AQS","3","9","."
"01/19/2014","6","PM10","","54-009-0011","AQS","3","6","."
"01/20/2014","42","PM2.5","","54-009-0005","AQS","3","9","42"
"01/21/2014","5","PM10","","54-009-0011","AQS","5","5","."
"01/22/2014","8","PM10","","54-009-0011","AQS","3","8","."
"01/23/2014","43","PM2.5","","54-009-0005","AQS","3","21","43"
"01/24/2014","8","PM10","","54-009-0011","AQS","3","8","."
"01/25/2014","5","PM10","","54-009-0011","AQS","3","5","."
"01/26/2014","20","PM2.5","","54-009-0005","AQS","3","14","20"
"01/27/2014","8","PM10","","54-009-0011","AQS","3","8","."
"01/28/2014","8","PM10","","54-009-0011","AQS","3","8","."
"01/29/2014","56","PM2.5","","54-009-0005","AQS","3","31","56"
"01/30/2014","20","PM10","","54-009-0011","AQS","6","20","."
"01/31/2014","16","PM10","","54-009-0011","AQS","5","16","."
"02/01/2014","52","PM2.5","","54-009-0005","AQS","6","19","52"
"02/02/2014","11","PM10","","54-009-0011","AQS","6","11","."
"02/03/2014","13","PM10","","54-009-0011","AQS","5","13","."
"02/04/2014","66","PM2.5","","54-009-0005","AQS","5","27","66"
"02/05/2014","7","PM10","","54-009-0011","AQS","5","7","."
"02/06/2014","6","PM10","","54-009-0011","AQS","3","6","."
"02/07/2014","38","PM2.5","","54-009-0005","AQS","5","14","38"
"02/08/2014","12","PM10","","54-009-0011","AQS","7","12","."
"02/09/2014","15","PM10","","54-009-0011","AQS","6","15","."
"02/10/2014","73","PM2.5","","54-009-0005","AQS","6","23","73"
"02/11/2014","26","PM10","","54-009-0011","AQS","7","26","."
"02/12/2014","27","PM10","","54-009-0011","AQS","8","27","."
"02/13/2014","60","PM2.5","","54-009-0005","AQS","7","17","60"
"02/14/2014","15","PM10","","54-009-0011","AQS","6","15","."
"02/15/2014","12","PM10","","54-009-0011","AQS","6","12","."
"02/16/2014","79","PM2.5","","54-009-0011","AQS","8","26","79"
"02/17/2014","12","PM10","","54-009-0011","AQS","9","12","."
"02/18/2014","6","CO","","54-009-0011","AQS","6","4","."
"02/19/2014","60","PM2.5","","54-009-0011","AQS","7","19","60"
"02/20/2014","17","PM10","","54-009-0011","AQS","9","17","."
"02/21/2014","6","PM10","","54-009-0011","AQS","3","6","."
"02/22/2014","18","PM2.5","","54-009-0005","AQS","3","14","18"
"02/23/2014","11","PM10","","54-009-0011","AQS","5","11","."
"02/24/2014","6","PM10","","54-009-0011","AQS","2","6","."
"02/25/2014","56","PM2.5","","54-009-0005","AQS","1","16","56"
"02/26/2014","8","PM10","","54-009-0011","AQS","3","8","."
"02/27/2014","15","PM10","","54-009-0011","AQS","3","15","."
"02/28/2014","31","PM2.5","","54-009-0011","AQS","6","13","31"
"03/01/2014","25","PM10","","54-009-0011","AQS","6","25","."
"03/02/2014","9","PM10","","54-009-0011","AQS","5","9","."
"03/03/2014","27","PM2.5","","54-009-0005","AQS","5","9","27"
"03/04/2014","17","PM10","","54-009-0011","AQS","6","17","."
"03/05/2014","19","PM10","","54-009-0011","AQS","7","19","."
"03/06/2014","50","PM2.5","","54-009-0005","AQS","5","16","50"
"03/07/2014","21","PM10","","54-009-0011","AQS","5","21","."
"03/08/2014","30","PM10","","54-009-0011","AQS","6","30","."
"03/09/2014","53","PM2.5","","54-009-0005","AQS","5","18","53"
"03/10/2014","18","PM10","","54-009-0011","AQS","5","18","."
"03/11/2014","19","PM10","","54-009-0011","AQS","6","19","."
"03/12/2014","40","PM2.5","","54-009-0011","AQS","6","16","40"
"03/13/2014","6","PM10","","54-009-0011","AQS","3","6","."
"03/14/2014","15","PM10","","54-009-0011","AQS","3","15","."
"03/15/2014","31","PM2.5","","54-009-0005","AQS","3","13","31"
"03/16/2014","4","PM10","","54-009-0011","AQS","3","4","."
"03/17/2014","8","PM10","","54-009-0011","AQS","3","8","."
