"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/01/2006","9","PM10","","54-009-0011","AQS","3","9","."
"01/02/2006","48","PM2.5","","54-009-0005","AQS","5","13","48"
"01/03/2006","11","PM10","","54-009-0011","AQS","3","11","."
"01/04/2006","16","PM10","","54-009-0011","AQS","5","16","."
"01/05/2006","28","PM2.5","","54-009-0005","AQS","3","10","28"
"01/06/2006","5","PM10","","54-009-0011","AQS","3","5","."
"01/07/2006","11","PM10","","54-009-0011","AQS","3","11","."
"01/08/2006","51","PM2.5","","54-009-0011","AQS","5","19","51"
"01/09/2006","20","PM10","","54-009-0011","AQS","5","20","."
"01/10/2006","18","PM10","","54-009-0011","AQS","3","18","."
"01/11/2006","62","PM2.5","","54-009-0011","AQS","6","25","62"
"01/12/2006","24","PM10","","54-009-0011","AQS","10","24","."
"01/13/2006","36","PM10","","54-009-0011","AQS","16","36","."
"01/14/2006","14","PM2.5","","54-009-0005","AQS","3","7","14"
"01/15/2006","6","PM10","","54-009-0011","AQS","3","6","."
"01/16/2006","15","PM10","","54-009-0011","AQS","5","15","."
"01/17/2006","52","PM2.5","","54-009-0005","AQS","6","18","52"
"01/18/2006","9","PM10","","54-009-0011","AQS","3","9","."
"01/19/2006","16","PM10","","54-009-0011","AQS","3","16","."
"01/20/2006","39","PM2.5","","54-009-0005","AQS","3","18","39"
"01/21/2006","11","PM10","","54-009-0011","AQS","5","11","."
"01/22/2006","9","PM10","","54-009-0011","AQS","6","9","."
"01/23/2006","44","PM2.5","","54-009-0005","AQS","6","11","44"
"01/24/2006","17","PM10","","54-009-0011","AQS","9","17","."
"01/25/2006","6","PM10","","54-009-0011","AQS","3","6","."
"01/26/2006","25","PM2.5","","54-009-0005","AQS","5","13","25"
"01/27/2006","50","PM10","","54-009-0011","AQS","9","50","."
"01/28/2006","32","PM10","","54-009-0011","AQS","7","32","."
"01/29/2006","59","PM2.5","","54-009-0011","AQS","7","24","59"
"01/30/2006","12","PM10","","54-009-0011","AQS","3","12","."
"01/31/2006","6","PM10","","54-009-0011","AQS","3","6","."
"02/01/2006","57","PM2.5","","54-009-0011","AQS","3","19","57"
"02/02/2006","30","PM10","","54-009-0011","AQS","3","30","."
"02/03/2006","19","PM10","","54-009-0011","AQS","3","19","."
"02/04/2006","49","PM2.5","","54-009-0005","AQS","3","11","49"
"02/05/2006","7","PM10","","54-009-0011","AQS","3","7","."
"02/06/2006","10","PM10","","54-009-0011","AQS","3","10","."
"02/07/2006","46","PM2.5","","54-009-0005","AQS","3","16","46"
"02/08/2006","10","PM10","","54-009-0011","AQS","3","10","."
"02/09/2006","8","PM10","","54-009-0011","AQS","3","8","."
"02/10/2006","54","PM2.5","","54-009-0005","AQS","3","26","54"
"02/11/2006","16","PM10","","54-009-0011","AQS","3","16","."
"02/12/2006","11","PM10","","54-009-0011","AQS","3","11","."
"02/13/2006","51","PM2.5","","54-009-0005","AQS","3","37","51"
"02/14/2006","17","PM10","","54-009-0011","AQS","3","17","."
"02/15/2006","20","PM10","","54-009-0011","AQS","3","20","."
"02/16/2006","69","PM2.5","","54-009-0011","AQS","6","31","69"
"02/17/2006","9","PM10","","54-009-0011","AQS","5","9","."
