"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/01/2004","75","PM2.5","","54-009-0011","AQS","27","44","75"
"01/02/2004","20","CO","","54-009-0011","AQS","20","18","."
"01/03/2004","19","CO","","54-009-0011","AQS","19","17","."
"01/04/2004","21","PM10","","54-009-0005","AQS","18","21","18"
"01/05/2004","18","CO","","54-009-0011","AQS","18","9","."
"01/06/2004","16","CO","","54-009-0011","AQS","16","7","."
"01/07/2004","44","PM2.5","","54-009-0005","AQS","18","18","44"
"01/08/2004","17","CO","","54-009-0011","AQS","17","16","."
"01/09/2004","17","CO","","54-009-0011","AQS","17","13","."
"01/10/2004","44","PM2.5","","54-009-0011","AQS","19","17","44"
"01/11/2004","20","CO","","54-009-0011","AQS","20","15","."
"01/12/2004","17","CO","","54-009-0011","AQS","17","11","."
"01/13/2004","46","PM2.5","","54-009-0005","AQS","17","10","46"
"01/14/2004","19","CO","","54-009-0011","AQS","19","17","."
"01/15/2004","18","CO","","54-009-0011","AQS","18","8","."
"01/16/2004","37","PM2.5","","54-009-0005","AQS","18","16","37"
"01/17/2004","22","PM10","","54-009-0011","AQS","22","22","."
"01/18/2004","22","CO","","54-009-0011","AQS","22","9","."
"01/19/2004","55","PM2.5","","54-009-0005","AQS","19","18","55"
"01/20/2004","19","CO","","54-009-0011","AQS","19","9","."
"01/21/2004","67","PM10","","54-009-0011","AQS","25","67","."
"01/22/2004","47","PM2.5","","54-009-0005","AQS","19","25","47"
"01/23/2004","22","CO","","54-009-0011","AQS","22","10","."
"01/24/2004","20","CO","","54-009-0011","AQS","20","9","."
"01/25/2004","48","PM2.5","","54-009-0011","AQS","22","13","48"
"01/26/2004","22","CO","","54-009-0011","AQS","22","12","."
"01/27/2004","22","CO","","54-009-0011","AQS","22","9","."
"01/28/2004","54","PM2.5","","54-009-0005","AQS","20","19","54"
"01/29/2004","20","CO","","54-009-0011","AQS","20","9","."
"01/30/2004","9","PM10","","54-009-0011","AQS","3","9","."
"01/31/2004","58","PM2.5","","54-009-0005","AQS","3","20","58"
"02/01/2004","38","PM10","","54-009-0011","AQS","6","38","."
"02/02/2004","19","PM10","","54-009-0011","AQS","3","19","."
"02/03/2004","63","PM2.5","","54-009-0005","AQS","3","19","63"
"02/04/2004","17","PM10","","54-009-0011","AQS","3","17","."
"02/05/2004","16","PM10","","54-009-0011","AQS","5","16","."
"02/06/2004","51","PM2.5","","54-009-0005","AQS","6","13","51"
"02/07/2004","10","PM10","","54-009-0011","AQS","3","10","."
"02/08/2004","19","PM10","","54-009-0011","AQS","3","19","."
"02/09/2004","74","PM2.5","","54-009-0011","AQS","11","54","74"
"02/10/2004","12","PM10","","54-009-0011","AQS","3","12","."
"02/11/2004","47","PM10","","54-009-0011","AQS","6","47","."
"02/12/2004","119","PM2.5","","54-009-0011","AQS","11","90","119"
"02/13/2004","17","PM10","","54-009-0011","AQS","3","17","."
"02/14/2004","17","PM10","","54-009-0011","AQS","3","17","."
"02/15/2004","32","PM2.5","","54-009-0005","AQS","5","14","32"
"02/16/2004","19","PM10","","54-009-0011","AQS","5","19","."
"02/17/2004","27","PM10","","54-009-0011","AQS","8","27","."
