"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/01/2015","7","PM10","","54-009-0011","AQS","3","7","."
"01/02/2015","17","PM10","","54-009-0011","AQS","6","17","."
"01/03/2015","40","PM2.5","","54-009-0011","AQS","7","7","40"
"01/04/2015","3","CO","","54-009-0011","AQS","3","2","."
"01/05/2015","6","PM10","","54-009-0011","AQS","3","6","."
"01/06/2015","35","PM2.5","","54-009-0011","AQS","5","9","35"
"01/07/2015","6","PM10","","54-009-0011","AQS","5","6","."
"01/08/2015","8","PM10","","54-009-0011","AQS","2","8","."
"01/09/2015","38","PM2.5","","54-009-0005","AQS","2","13","38"
"01/10/2015","16","PM10","","54-009-0011","AQS","3","16","."
"01/11/2015","21","PM10","","54-009-0011","AQS","5","21","."
"01/12/2015","43","PM2.5","","54-009-0011","AQS","3","8","43"
"01/13/2015","6","PM10","","54-009-0011","AQS","5","6","."
"01/14/2015","19","PM10","","54-009-0011","AQS","7","19","."
"01/15/2015","56","PM2.5","","54-009-0005","AQS","5","15","56"
"01/16/2015","12","PM10","","54-009-0011","AQS","5","12","."
"01/17/2015","10","PM10","","54-009-0011","AQS","5","10","."
"01/18/2015","30","PM2.5","","54-009-0005","AQS","3","10","30"
"01/19/2015","6","PM10","","54-009-0011","AQS","5","6","."
"01/20/2015","17","PM10","","54-009-0011","AQS","7","17","."
"01/21/2015","65","PM2.5","","54-009-0005","AQS","7","11","65"
"01/22/2015","8","PM10","","54-009-0011","AQS","5","8","."
"01/23/2015","17","PM10","","54-009-0011","AQS","5","17","."
"01/24/2015","68","PM2.5","","54-009-0005","AQS","6","19","68"
"01/25/2015","9","PM10","","54-009-0011","AQS","5","9","."
"01/26/2015","5","CO","","54-009-0011","AQS","5","3","."
"01/27/2015","26","PM2.5","","54-009-0005","AQS","5","5","26"
"01/28/2015","12","PM10","","54-009-0011","AQS","5","12","."
"01/29/2015","11","PM10","","54-009-0011","AQS","6","11","."
"01/30/2015","25","PM2.5","","54-009-0005","AQS","5","14","25"
"01/31/2015","14","PM10","","54-009-0011","AQS","7","14","."
"02/01/2015","10","PM10","","54-009-0011","AQS","6","10","."
"02/02/2015","39","PM2.5","","54-009-0005","AQS","5","5","39"
"02/03/2015","10","PM10","","54-009-0011","AQS","5","10","."
"02/04/2015","9","PM10","","54-009-0011","AQS","5","9","."
"02/05/2015","24","PM2.5","","54-009-0005","AQS","5","13","24"
"02/06/2015","12","PM10","","54-009-0011","AQS","5","12","."
"02/07/2015","19","PM10","","54-009-0011","AQS","6","19","."
"02/08/2015","55","PM2.5","","54-009-0005","AQS","7","19","55"
"02/09/2015","6","PM10","","54-009-0011","AQS","6","6","."
"02/10/2015","13","PM10","","54-009-0011","AQS","6","13","."
"02/11/2015","67","PM2.5","","54-009-0011","AQS","8","23","67"
"02/12/2015","3","PM10","","54-009-0011","AQS","3","3","."
"02/13/2015","9","PM10","","54-009-0011","AQS","5","9","."
"02/14/2015","35","PM2.5","","54-009-0011","AQS","3","7","35"
"02/15/2015","6","PM10","","54-009-0011","AQS","3","6","."
"02/16/2015","14","PM10","","54-009-0011","AQS","7","14","."
"02/17/2015","52","PM2.5","","54-009-0011","AQS","7","19","52"
"02/18/2015","9","PM10","","54-009-0011","AQS","5","9","."
"02/19/2015","8","PM10","","54-009-0011","AQS","5","8","."
"02/20/2015","52","PM2.5","","54-009-0005","AQS","6","15","52"
"02/21/2015","12","PM10","","54-009-0011","AQS","5","12","."
"02/22/2015","11","PM10","","54-009-0011","AQS","5","11","."
"02/23/2015","34","PM2.5","","54-009-0005","AQS","3","17","34"
"02/24/2015","20","PM10","","54-009-0011","AQS","6","20","."
