"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2018","15","PM10","","54-009-0011","AQS","15","."
"01/02/2018","37","PM2.5","","54-009-0005","AQS","7","37"
"01/03/2018","21","PM10","","54-009-0011","AQS","21","."
"01/04/2018","8","PM10","","54-009-0011","AQS","8","."
"01/05/2018","38","PM2.5","","54-009-0005","AQS","7","38"
"01/06/2018","9","PM10","","54-009-0011","AQS","9","."
"01/07/2018","22","PM10","","54-009-0011","AQS","22","."
"01/08/2018","33","PM2.5","","54-009-0011","AQS","12","33"
"01/09/2018","10","PM10","","54-009-0011","AQS","10","."
"01/10/2018","21","PM10","","54-009-0011","AQS","21","."
"01/11/2018","31","PM2.5","","54-009-0011","AQS","15","31"
"01/12/2018","3","PM10","","54-009-0011","AQS","3","."
"01/13/2018","5","PM10","","54-009-0011","AQS","5","."
"01/14/2018","47","PM2.5","","54-009-0005","AQS","9","47"
"01/15/2018","12","PM10","","54-009-0011","AQS","12","."
"01/16/2018","11","PM10","","54-009-0011","AQS","11","."
"01/17/2018","64","PM2.5","","54-009-0005","AQS","15","64"
"01/18/2018","12","PM10","","54-009-0011","AQS","12","."
"01/19/2018","10","PM10","","54-009-0011","AQS","10","."
"01/20/2018","33","PM2.5","","54-009-0005","AQS","12","33"
"01/21/2018","23","PM10","","54-009-0011","AQS","23","."
"01/22/2018","17","PM10","","54-009-0011","AQS","17","."
"01/23/2018","20","PM2.5","","54-009-0005","AQS","7","20"
"01/24/2018","6","PM10","","54-009-0011","AQS","6","."
"01/25/2018","9","PM10","","54-009-0011","AQS","9","."
"01/26/2018","62","PM2.5","","54-009-0011","AQS","26","62"
"01/27/2018","15","PM10","","54-009-0011","AQS","15","."
"01/28/2018","10","PM10","","54-009-0011","AQS","10","."
"01/29/2018","50","PM2.5","","54-009-0005","AQS","17","50"
"01/30/2018","5","PM10","","54-009-0011","AQS","5","."
"01/31/2018","13","PM10","","54-009-0011","AQS","13","."
"02/01/2018","31","PM2.5","","54-009-0005","AQS","11","31"
"02/02/2018","8","PM10","","54-009-0011","AQS","8","."
"02/03/2018","12","PM10","","54-009-0011","AQS","12","."
"02/04/2018","28","PM2.5","","54-009-0011","AQS","8","28"
"02/05/2018","6","PM10","","54-009-0011","AQS","6","."
"02/06/2018","12","PM10","","54-009-0011","AQS","12","."
"02/07/2018","51","PM2.5","","54-009-0005","AQS","12","51"
"02/08/2018","12","PM10","","54-009-0011","AQS","12","."
"02/09/2018","19","PM10","","54-009-0011","AQS","19","."
"02/10/2018","72","PM2.5","","54-009-0005","AQS","15","72"
"02/11/2018","11","PM10","","54-009-0011","AQS","11","."
"02/12/2018","11","PM10","","54-009-0011","AQS","11","."
"02/13/2018","46","PM2.5","","54-009-0011","AQS","18","46"
"02/14/2018","13","PM10","","54-009-0011","AQS","13","."
"02/15/2018","7","PM10","","54-009-0011","AQS","7","."
"02/16/2018","31","PM2.5","","54-009-0011","AQS","6","31"
"02/17/2018","9","PM10","","54-009-0011","AQS","9","."
"02/18/2018","7","PM10","","54-009-0011","AQS","7","."
"02/19/2018","35","PM2.5","","54-009-0011","AQS","15","35"
"02/20/2018","17","PM10","","54-009-0011","AQS","17","."
"02/21/2018","11","PM10","","54-009-0011","AQS","11","."
"02/22/2018","14","PM2.5","","54-009-0011","AQS","5","14"
"02/23/2018","11","PM10","","54-009-0011","AQS","11","."
"02/24/2018","6","PM10","","54-009-0011","AQS","6","."
