"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"10/29/2009","15","PM10","","54-009-0011","AQS","6","15","."
"10/30/2009","12","PM10","","54-009-0011","AQS","6","12","."
"10/31/2009","22","PM2.5","","54-009-0005","AQS","3","7","22"
"11/01/2009","12","PM10","","54-009-0011","AQS","5","12","."
"11/02/2009","18","PM10","","54-009-0011","AQS","6","18","."
"11/03/2009","57","PM2.5","","54-009-0005","AQS","6","20","57"
"11/04/2009","26","PM10","","54-009-0011","AQS","6","26","."
"11/05/2009","15","PM10","","54-009-0011","AQS","6","15","."
"11/06/2009","41","PM2.5","","54-009-0011","AQS","7","12","41"
"11/07/2009","40","PM10","","54-009-0011","AQS","8","40","."
"11/08/2009","46","PM10","","54-009-0011","AQS","6","46","."
"11/09/2009","133","PM2.5","","54-009-0011","AQS","8","55","133"
"11/10/2009","36","PM10","","54-009-0011","AQS","9","36","."
"11/11/2009","7","PM10","","54-009-0011","AQS","6","7","."
"11/12/2009","21","PM2.5","","54-009-0005","AQS","7","9","21"
"11/13/2009","17","PM10","","54-009-0011","AQS","7","17","."
"11/14/2009","19","PM10","","54-009-0011","AQS","8","19","."
"11/15/2009","73","PM2.5","","54-009-0011","AQS","8","31","73"
"11/16/2009","12","PM10","","54-009-0011","AQS","6","12","."
"11/17/2009","12","PM10","","54-009-0011","AQS","3","12","."
"11/18/2009","28","PM2.5","","54-009-0005","AQS","3","13","28"
"11/19/2009","9","PM10","","54-009-0011","AQS","3","9","."
"11/20/2009","9","PM10","","54-009-0011","AQS","3","9","."
"11/21/2009","62","PM2.5","","54-009-0011","AQS","3","18","62"
"11/22/2009","16","PM10","","54-009-0011","AQS","3","16","."
"11/23/2009","13","PM10","","54-009-0011","AQS","3","13","."
"11/24/2009","57","PM2.5","","54-009-0011","AQS","3","14","57"
"11/25/2009","6","PM10","","54-009-0011","AQS","3","6","."
"11/26/2009","7","PM10","","54-009-0011","AQS","3","7","."
"11/27/2009","39","PM2.5","","54-009-0005","AQS","3","10","39"
"11/28/2009","10","PM10","","54-009-0011","AQS","5","10","."
"11/29/2009","14","PM10","","54-009-0011","AQS","5","14","."
"11/30/2009","19","PM2.5","","54-009-0005","AQS","3","5","19"
"12/01/2009","12","PM10","","54-009-0011","AQS","5","12","."
"12/02/2009","12","PM10","","54-009-0011","AQS","7","12","."
"12/03/2009","32","PM2.5","","54-009-0005","AQS","3","7","32"
"12/04/2009","8","PM10","","54-009-0011","AQS","3","8","."
"12/05/2009","11","PM10","","54-009-0011","AQS","5","11","."
"12/06/2009","64","PM2.5","","54-009-0011","AQS","5","16","64"
"12/07/2009","16","PM10","","54-009-0011","AQS","5","16","."
"12/08/2009","10","PM10","","54-009-0011","AQS","5","10","."
"12/09/2009","17","PM2.5","","54-009-0005","AQS","5","13","17"
"12/10/2009","12","PM10","","54-009-0011","AQS","5","12","."
"12/11/2009","12","PM10","","54-009-0011","AQS","5","12","."
"12/12/2009","55","PM2.5","","54-009-0011","AQS","7","18","55"
"12/13/2009","13","PM10","","54-009-0011","AQS","7","13","."
"12/14/2009","10","PM10","","54-009-0011","AQS","5","10","."
"12/15/2009","45","PM2.5","","54-009-0005","AQS","3","13","45"
"12/16/2009","6","PM10","","54-009-0011","AQS","3","6","."
"12/17/2009","18","PM10","","54-009-0011","AQS","6","18","."
"12/18/2009","62","PM2.5","","54-009-0005","AQS","6","22","62"
"12/19/2009","7","PM10","","54-009-0011","AQS","5","7","."
"12/20/2009","7","PM10","","54-009-0011","AQS","3","7","."
"12/21/2009","65","PM2.5","","54-009-0005","AQS","5","14","65"
"12/22/2009","15","PM10","","54-009-0011","AQS","5","15","."
"12/23/2009","7","PM10","","54-009-0011","AQS","6","7","."
"12/24/2009","48","PM2.5","","54-009-0005","AQS","6","14","48"
"12/25/2009","6","PM10","","54-009-0011","AQS","5","6","."
"12/26/2009","7","PM10","","54-009-0011","AQS","6","7","."
"12/27/2009","32","PM2.5","","54-009-0011","AQS","6","13","32"
"12/28/2009","8","PM10","","54-009-0011","AQS","5","8","."
"12/29/2009","6","PM10","","54-009-0011","AQS","5","6","."
"12/30/2009","59","PM2.5","","54-009-0011","AQS","8","18","59"
"12/31/2009","15","PM10","","54-009-0011","AQS","6","15","."
