"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/01/2012","31","PM2.5","","54-009-0005","AQS","5","8","31"
"01/02/2012","6","CO","","54-009-0011","AQS","6","4","."
"01/03/2012","7","CO","","54-009-0011","AQS","7","4","."
"01/04/2012","33","PM2.5","","54-009-0011","AQS","8","12","33"
"01/05/2012","12","PM10","","54-009-0011","AQS","7","12","."
"01/06/2012","11","PM10","","54-009-0011","AQS","6","11","."
"01/07/2012","38","PM2.5","","54-009-0005","AQS","3","15","38"
"01/08/2012","8","PM10","","54-009-0011","AQS","5","8","."
"01/09/2012","14","PM10","","54-009-0011","AQS","7","14","."
"01/10/2012","43","PM2.5","","54-009-0005","AQS","6","16","43"
"01/11/2012","14","PM10","","54-009-0011","AQS","9","14","."
"01/12/2012","4","PM10","","54-009-0011","AQS","3","4","."
"01/13/2012","28","PM2.5","","54-009-0005","AQS","3","19","28"
"01/14/2012","9","PM10","","54-009-0011","AQS","3","9","."
"01/15/2012","17","PM10","","54-009-0011","AQS","6","17","."
"01/16/2012","47","PM2.5","","54-009-0011","AQS","5","14","47"
"01/17/2012","6","PM10","","54-009-0011","AQS","3","6","."
"01/18/2012","6","CO","","54-009-0011","AQS","6","5","."
"01/19/2012","31","PM2.5","","54-009-0011","AQS","6","13","31"
"01/20/2012","12","PM10","","54-009-0011","AQS","7","12","."
"01/21/2012","8","PM10","","54-009-0011","AQS","7","8","."
"01/22/2012","57","PM2.5","","54-009-0005","AQS","8","14","57"
"01/23/2012","11","PM10","","54-009-0011","AQS","6","11","."
"01/24/2012","11","PM10","","54-009-0011","AQS","5","11","."
"01/25/2012","56","PM2.5","","54-009-0005","AQS","5","19","56"
"01/26/2012","19","PM10","","54-009-0011","AQS","7","19","."
"01/27/2012","6","CO","","54-009-0011","AQS","6","5","."
"01/28/2012","39","PM2.5","","54-009-0005","AQS","5","9","39"
"01/29/2012","5","CO","","54-009-0011","AQS","5","4","."
"01/30/2012","10","PM10","","54-009-0011","AQS","6","10","."
"01/31/2012","28","PM2.5","","54-009-0005","AQS","5","16","28"
"02/01/2012","11","PM10","","54-009-0011","AQS","3","11","."
"02/02/2012","12","PM10","","54-009-0011","AQS","3","12","."
"02/03/2012","62","PM2.5","","54-009-0011","AQS","6","23","62"
"02/04/2012","18","PM10","","54-009-0011","AQS","6","18","."
"02/05/2012","10","PM10","","54-009-0011","AQS","6","10","."
"02/06/2012","80","PM2.5","","54-009-0011","AQS","7","35","80"
"02/07/2012","16","PM10","","54-009-0011","AQS","5","16","."
"02/08/2012","5","PM10","","54-009-0011","AQS",".","5","."
"02/09/2012","47","PM2.5","","54-009-0005","AQS",".","13","47"
"02/10/2012","10","PM10","","54-009-0011","AQS",".","10","."
"02/11/2012","7","PM10","","54-009-0011","AQS",".","7","."
"02/12/2012","47","PM2.5","","54-009-0005","AQS",".","18","47"
"02/13/2012","9","PM10","","54-009-0011","AQS","3","9","."
"02/14/2012","13","PM10","","54-009-0011","AQS","3","13","."
"02/15/2012","57","PM2.5","","54-009-0005","AQS","7","18","57"
"02/16/2012","14","PM10","","54-009-0011","AQS","9","14","."
"02/17/2012","11","PM10","","54-009-0011","AQS","3","11","."
"02/18/2012","45","PM2.5","","54-009-0011","AQS","3","17","45"
"02/19/2012","5","PM10","","54-009-0011","AQS","3","5","."
"02/20/2012","13","PM10","","54-009-0011","AQS","3","13","."
"02/21/2012","38","PM2.5","","54-009-0005","AQS","3","17","38"
"02/22/2012","11","PM10","","54-009-0011","AQS","3","11","."
"02/23/2012","10","PM10","","54-009-0011","AQS","3","10","."
"02/24/2012","38","PM2.5","","54-009-0005","AQS","3","16","38"
"02/25/2012","6","PM10","","54-009-0011","AQS","3","6","."
"02/26/2012","10","PM10","","54-009-0011","AQS","3","10","."
"02/27/2012","53","PM2.5","","54-009-0011","AQS","5","31","53"
"02/28/2012","19","PM10","","54-009-0011","AQS","6","19","."
"02/29/2012","16","PM10","","54-009-0011","AQS","6","16","."
"03/01/2012","38","PM2.5","","54-009-0005","AQS","5","16","38"
"03/02/2012","13","PM10","","54-009-0011","AQS","6","13","."
"03/03/2012","7","PM10","","54-009-0011","AQS","5","7","."
"03/04/2012","45","PM2.5","","54-009-0005","AQS","3","16","45"
"03/05/2012","6","PM10","","54-009-0011","AQS","5","6","."
"03/06/2012","14","PM10","","54-009-0011","AQS","7","14","."
"03/07/2012","46","PM2.5","","54-009-0011","AQS","3","24","46"
"03/08/2012","14","PM10","","54-009-0011","AQS","3","14","."
"03/09/2012","6","PM10","","54-009-0011","AQS","3","6","."
"03/10/2012","30","PM2.5","","54-009-0011","AQS","3","10","30"
"03/11/2012","29","PM10","","54-009-0011","AQS","6","29","."
"03/12/2012","37","PM10","","54-009-0011","AQS","6","37","."
"03/13/2012","46","PM2.5","","54-009-0005","AQS","3","19","46"
"03/14/2012","29","PM10","","54-009-0011","AQS","3","29","."
"03/15/2012","27","PM10","","54-009-0011","AQS","5","27","."
"03/16/2012","45","PM2.5","","54-009-0005","AQS","3","15","45"
"03/17/2012","23","PM10","","54-009-0011","AQS","5","23","."
"03/18/2012","13","PM10","","54-009-0011","AQS","3","13","."
"03/19/2012","13","PM10","","54-009-0005","AQS","3","13","."
"03/20/2012","22","PM10","","54-009-0011","AQS","5","22","."
"03/21/2012","17","PM10","","54-009-0011","AQS","3","17","."
"03/22/2012","52","PM2.5","","54-009-0005","AQS","5","19","52"
"03/23/2012","29","PM10","","54-009-0011","AQS","5","29","."
"03/24/2012","7","PM10","","54-009-0011","AQS","3","7","."
"03/25/2012","52","PM2.5","","54-009-0005","AQS","5","16","52"
"03/26/2012","6","PM10","","54-009-0011","AQS","3","6","."
"03/27/2012","10","PM10","","54-009-0011","AQS","3","10","."
"03/28/2012","45","PM2.5","","54-009-0005","AQS","5","26","45"
"03/29/2012","7","PM10","","54-009-0011","AQS","3","7","."
"03/30/2012","15","PM10","","54-009-0011","AQS","5","15","."
"03/31/2012","33","PM2.5","","54-009-0005","AQS","5","11","33"
"04/01/2012","10","PM10","","54-009-0011","AQS","5","10","."
"04/02/2012","7","PM10","","54-009-0011","AQS","5","7","."
"04/03/2012","31","PM2.5","","54-009-0005","AQS","5","17","31"
"04/04/2012","12","PM10","","54-009-0011","AQS","3","12","."
"04/05/2012","8","PM10","","54-009-0011","AQS","3","8","."
"04/06/2012","20","PM2.5","","54-009-0005","AQS","3","8","20"
"04/07/2012","9","PM10","","54-009-0011","AQS","3","9","."
"04/08/2012","21","PM10","","54-009-0011","AQS","6","21","."
"04/09/2012","35","PM2.5","","54-009-0005","AQS","5","17","35"
"04/10/2012","13","PM10","","54-009-0011","AQS","6","13","."
"04/11/2012","6","PM10","","54-009-0011","AQS","5","6","."
"04/12/2012","31","PM2.5","","54-009-0005","AQS","3","11","31"
"04/13/2012","19","PM10","","54-009-0011","AQS","5","19","."
"04/14/2012","31","PM10","","54-009-0011","AQS","6","31","."
"04/15/2012","63","PM2.5","","54-009-0011","AQS","6","25","63"
"04/16/2012","38","PM10","","54-009-0011","AQS","7","38","."
"04/17/2012","8","PM10","","54-009-0011","AQS","5","8","."
"04/18/2012","32","PM2.5","","54-009-0005","AQS","5","14","32"
"04/19/2012","31","PM10","","54-009-0011","AQS","5","31","."
"04/20/2012","41","PM10","","54-009-0011","AQS","7","41","."
"04/21/2012","16","PM2.5","","54-009-0005","AQS","6","6","16"
"04/22/2012","3","CO","","54-009-0011","AQS","3","1","."
"04/23/2012","16","PM10","","54-009-0011","AQS","3","16","."
"04/24/2012","54","PM2.5","","54-009-0005","AQS","5","24","54"
"04/25/2012","25","PM10","","54-009-0011","AQS","6","25","."
"04/26/2012","12","PM10","","54-009-0011","AQS","6","12","."
"04/27/2012","24","PM2.5","","54-009-0005","AQS","3","10","24"
"04/28/2012","11","PM10","","54-009-0011","AQS","3","11","."
"04/29/2012","12","PM10","","54-009-0011","AQS","3","12","."
"04/30/2012","53","PM2.5","","54-009-0005","AQS","5","21","53"
"05/01/2012","9","PM10","","54-009-0011","AQS","5","9","."
"05/02/2012","16","PM10","","54-009-0011","AQS","5","16","."
"05/03/2012","62","PM2.5","","54-009-0011","AQS","6","28","62"
"05/04/2012","20","PM10","","54-009-0011","AQS","6","20","."
"05/05/2012","11","PM10","","54-009-0011","AQS","5","11","."
"05/06/2012","42","PM2.5","","54-009-0005","AQS","6","16","42"
"05/07/2012","24","PM10","","54-009-0011","AQS","6","24","."
"05/08/2012","8","PM10","","54-009-0011","AQS","6","8","."
"05/09/2012","39","PM2.5","","54-009-0005","AQS","6","19","39"
"05/10/2012","7","PM10","","54-009-0011","AQS","3","7","."
"05/11/2012","18","PM10","","54-009-0011","AQS","5","18","."
"05/12/2012","61","PM2.5","","54-009-0011","AQS","6","27","61"
"05/13/2012","25","PM10","","54-009-0011","AQS","7","25","."
"05/14/2012","16","PM10","","54-009-0011","AQS","6","16","."
"05/15/2012","56","PM2.5","","54-009-0005","AQS","5","21","56"
"05/16/2012","26","PM10","","54-009-0011","AQS","6","26","."
"05/17/2012","11","PM10","","54-009-0011","AQS","5","11","."
"05/18/2012","42","PM2.5","","54-009-0005","AQS","6","18","42"
"05/19/2012","19","PM10","","54-009-0011","AQS","6","19","."
