"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/01/2005","55","PM2.5","","54-009-0005","AQS","7","14","55"
"01/02/2005","18","PM10","","54-009-0011","AQS","14","18","."
"01/03/2005","9","CO","","54-009-0011","AQS","9","7","."
"01/04/2005","31","PM2.5","","54-009-0005","AQS","7","12","31"
"01/05/2005","8","CO","","54-009-0011","AQS","8",".","."
"01/06/2005","11","CO","","54-009-0011","AQS","11","7","."
"01/07/2005","38","PM2.5","","54-009-0011","AQS","7","9","38"
"01/08/2005","8","CO","","54-009-0011","AQS","8","6","."
"01/09/2005","12","PM10","","54-009-0011","AQS","10","12","."
"01/10/2005","42","PM2.5","","54-009-0011","AQS","11","8","42"
"01/11/2005","10","PM10","","54-009-0011","AQS","8","10","."
"01/12/2005","17","PM10","","54-009-0011","AQS","11","17","."
"01/13/2005","46","PM2.5","","54-009-0011","AQS","9","29","46"
"01/14/2005","6","PM10","","54-009-0011","AQS","3","6","."
"01/15/2005","8","PM10","","54-009-0011","AQS","5","8","."
"01/16/2005","46","PM2.5","","54-009-0011","AQS","5","20","46"
"01/17/2005","6","PM10","","54-009-0011","AQS","3","6","."
"01/18/2005","6","PM10","","54-009-0011","AQS","6","6","."
"01/19/2005","47","PM2.5","","54-009-0011","AQS","7","26","47"
"01/20/2005","5","PM10","","54-009-0011","AQS","5","5","."
"01/21/2005","32","PM2.5","","54-009-0005","AQS","6","8","32"
"01/22/2005","57","PM2.5","","54-009-0005","AQS","3","24","57"
"01/23/2005","5","PM10","","54-009-0011","AQS","3","5","."
"01/24/2005","6","PM10","","54-009-0011","AQS","5","6","."
"01/25/2005","74","PM2.5","","54-009-0011","AQS","8","22","74"
"01/26/2005","10","PM10","","54-009-0011","AQS","8","10","."
"01/27/2005","6","PM10","","54-009-0011","AQS","5","6","."
"01/28/2005","56","PM2.5","","54-009-0005","AQS","5","27","56"
"01/29/2005","17","PM10","","54-009-0011","AQS","11","17","."
"01/30/2005","9","PM10","","54-009-0011","AQS","5","9","."
"01/31/2005","85","PM2.5","","54-009-0005","AQS","8","33","85"
"02/01/2005","17","PM10","","54-009-0011","AQS","6","17","."
"02/02/2005","22","PM10","","54-009-0011","AQS","8","22","."
"02/03/2005","87","PM2.5","","54-009-0011","AQS","8","32","87"
"02/04/2005","20","PM10","","54-009-0011","AQS","8","20","."
"02/05/2005","51","PM10","","54-009-0011","AQS","16","51","."
"02/06/2005","97","PM2.5","","54-009-0005","AQS","11","40","97"
"02/07/2005","52","PM10","","54-009-0011","AQS","20","52","."
"02/08/2005","37","PM10","","54-009-0011","AQS","19","37","."
