"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2020","32","PM2.5","","54-009-0005","AQS","7","32"
"01/02/2020","15","PM10","","54-009-0011","AQS","15","."
"01/03/2020","10","PM10","","54-009-0011","AQS","10","."
"01/04/2020","5","PM10","","54-009-0011","AQS","5","."
"01/05/2020","6","PM10","","54-009-0011","AQS","6","."
"01/06/2020","7","PM10","","54-009-0011","AQS","7","."
"01/07/2020","40","PM2.5","","54-009-0005","AQS","16","40"
"01/08/2020","9","PM10","","54-009-0011","AQS","9","."
"01/09/2020","12","PM10","","54-009-0011","AQS","12","."
"01/10/2020","30","PM2.5","","54-009-0011","AQS","15","30"
"01/11/2020","11","PM10","","54-009-0011","AQS","11","."
"01/12/2020","3","PM10","","54-009-0011","AQS","3","."
"01/13/2020","33","PM2.5","","54-009-0011","AQS","13","33"
"01/14/2020","17","PM10","","54-009-0011","AQS","17","."
"01/15/2020","17","PM10","","54-009-0011","AQS","17","."
"01/16/2020","52","PM2.5","","54-009-0005","AQS","6","52"
"01/17/2020","8","PM10","","54-009-0011","AQS","8","."
"01/18/2020","6","PM10","","54-009-0011","AQS","6","."
"01/19/2020","60","PM2.5","","54-009-0005","AQS","11","60"
"01/20/2020","8","PM10","","54-009-0011","AQS","8","."
"01/21/2020","9","PM10","","54-009-0011","AQS","9","."
"01/22/2020","75","PM2.5","","54-009-0011","AQS","34","75"
"01/23/2020","34","PM10","","54-009-0011","AQS","34","."
"01/24/2020","14","PM10","","54-009-0011","AQS","14","."
"01/25/2020","15","PM2.5","","54-009-0005","AQS","4","15"
"01/26/2020","5","PM10","","54-009-0011","AQS","5","."
"01/27/2020","7","PM10","","54-009-0011","AQS","7","."
"01/28/2020","47","PM2.5","","54-009-0005","AQS","6","47"
"01/29/2020","6","PM10","","54-009-0011","AQS","6","."
"01/30/2020","11","PM10","","54-009-0011","AQS","11","."
"01/31/2020","57","PM2.5","","54-009-0011","AQS","19","57"
"02/01/2020","13","PM10","","54-009-0011","AQS","13","."
"02/02/2020","7","PM10","","54-009-0011","AQS","7","."
"02/03/2020","40","PM2.5","","54-009-0011","AQS","19","40"
"02/04/2020","8","PM10","","54-009-0011","AQS","8","."
"02/05/2020","5","PM10","","54-009-0011","AQS","5","."
"02/06/2020","14","PM2.5","","54-009-0011","AQS","4","14"
"02/07/2020","6","PM10","","54-009-0011","AQS","6","."
"02/08/2020","9","PM10","","54-009-0011","AQS","9","."
"02/09/2020","36","PM2.5","","54-009-0005","AQS","8","36"
"02/10/2020","5","PM10","","54-009-0011","AQS","5","."
"02/11/2020","8","PM10","","54-009-0011","AQS","8","."
"02/12/2020","58","PM2.5","","54-009-0005","AQS","11","58"
"02/13/2020","6","PM10","","54-009-0011","AQS","6","."
"02/14/2020","7","PM10","","54-009-0011","AQS","7","."
"02/15/2020","28","PM2.5","","54-009-0011","AQS","12","28"
"02/16/2020","14","PM10","","54-009-0011","AQS","14","."
"02/17/2020","11","PM10","","54-009-0011","AQS","11","."
"02/18/2020","35","PM2.5","","54-009-0005","AQS","12","35"
"02/19/2020","8","PM10","","54-009-0011","AQS","8","."
"02/20/2020","9","PM10","","54-009-0011","AQS","9","."
"02/21/2020","36","PM2.5","","54-009-0005","AQS","15","36"
"02/22/2020","12","PM10","","54-009-0011","AQS","12","."
"02/23/2020","19","PM10","","54-009-0011","AQS","19","."
"02/24/2020","56","PM2.5","","54-009-0011","AQS","26","56"
