"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/01/2010","7","PM10","","54-009-0011","AQS","5","7","."
"01/02/2010","42","PM2.5","","54-009-0005","AQS","5","16","42"
"01/03/2010","6","PM10","","54-009-0011","AQS","5","6","."
"01/04/2010","7","PM10","","54-009-0011","AQS","5","7","."
"01/05/2010","66","PM2.5","","54-009-0005","AQS","6","23","66"
"01/06/2010","8","PM10","","54-009-0011","AQS","5","8","."
"01/07/2010","11","PM10","","54-009-0011","AQS","5","11","."
"01/08/2010","70","PM2.5","","54-009-0005","AQS","6","34","70"
"01/09/2010","6","PM10","","54-009-0011","AQS","6","6","."
"01/10/2010","11","PM10","","54-009-0011","AQS","7","11","."
"01/11/2010","67","PM2.5","","54-009-0011","AQS","7","23","67"
"01/12/2010","12","PM10","","54-009-0011","AQS","6","12","."
"01/13/2010","13","PM10","","54-009-0011","AQS","6","13","."
"01/14/2010","79","PM2.5","","54-009-0011","AQS","7","27","79"
"01/15/2010","20","PM10","","54-009-0011","AQS","7","20","."
"01/16/2010","26","PM10","","54-009-0011","AQS","8","26","."
"01/17/2010","77","PM2.5","","54-009-0005","AQS","9","20","77"
"01/18/2010","11","PM10","","54-009-0011","AQS","7","11","."
"01/19/2010","11","PM10","","54-009-0011","AQS","6","11","."
"01/20/2010","42","PM2.5","","54-009-0005","AQS","6","14","42"
"01/21/2010","10","PM10","","54-009-0011","AQS","5","10","."
"01/22/2010","9","PM10","","54-009-0011","AQS","6","9","."
"01/23/2010","32","PM2.5","","54-009-0005","AQS","6","11","32"
"01/24/2010","5","PM10","","54-009-0011","AQS","5","5","."
"01/25/2010","6","PM10","","54-009-0011","AQS","5","6","."
"01/26/2010","43","PM2.5","","54-009-0005","AQS","5","16","43"
"01/27/2010","11","PM10","","54-009-0011","AQS","5","11","."
"01/28/2010","10","PM10","","54-009-0011","AQS","5","10","."
"01/29/2010","51","PM2.5","","54-009-0005","AQS","6","17","51"
"01/30/2010","9","PM10","","54-009-0011","AQS","6","9","."
"01/31/2010","17","PM10","","54-009-0011","AQS","7","17","."
"02/01/2010","71","PM2.5","","54-009-0011","AQS","7","27","71"
"02/02/2010","34","PM10","","54-009-0011","AQS","9","34","."
"02/03/2010","21","PM10","","54-009-0011","AQS","8","21","."
"02/04/2010","93","PM2.5","","54-009-0005","AQS","7","26","93"
"02/05/2010","14","PM10","","54-009-0011","AQS","8","14","."
"02/06/2010","6","CO","","54-009-0011","AQS","6",".","."
"02/07/2010","61","PM2.5","","54-009-0005","AQS","3","13","61"
"02/08/2010","46","PM10","","54-009-0011","AQS","6","46","."
"02/09/2010","14","PM10","","54-009-0011","AQS","6","14","."
"02/10/2010","69","PM2.5","","54-009-0005","AQS","5","24","69"
"02/11/2010","6","PM10","","54-009-0011","AQS","3","6","."
"02/12/2010","9","PM10","","54-009-0011","AQS","5","9","."
"02/13/2010","79","PM2.5","","54-009-0005","AQS","5","29","79"
"02/14/2010","11","PM10","","54-009-0011","AQS","5","11","."
"02/15/2010","36","PM10","","54-009-0011","AQS","8","36","."
"02/16/2010","55","PM2.5","","54-009-0005","AQS","5","20","55"
"02/17/2010","6","PM10","","54-009-0011","AQS","5","6","."
"02/18/2010","7","PM10","","54-009-0011","AQS","5","7","."
"02/19/2010","73","PM2.5","","54-009-0005","AQS","5","27","73"
"02/20/2010","29","PM10","","54-009-0011","AQS","7","29","."
"02/21/2010","33","PM10","","54-009-0011","AQS","9","33","."
"02/22/2010","74","PM2.5","","54-009-0005","AQS","7","20","74"
"02/23/2010","8","PM10","","54-009-0011","AQS","6","8","."
"02/24/2010","12","PM10","","54-009-0011","AQS","7","12","."
"02/25/2010","58","PM2.5","","54-009-0005","AQS","6","6","58"
"02/26/2010","4","PM10","","54-009-0011","AQS","3","4","."
"02/27/2010","6","PM10","","54-009-0011","AQS","3","6","."
"02/28/2010","60","PM2.5","","54-009-0005","AQS","3","18","60"
"03/01/2010","8","PM10","","54-009-0011","AQS","3","8","."
"03/02/2010","12","PM10","","54-009-0011","AQS","5","12","."
"03/03/2010","45","PM2.5","","54-009-0005","AQS","5","19","45"
"03/04/2010","7","PM10","","54-009-0011","AQS","5","7","."
"03/05/2010","9","PM10","","54-009-0011","AQS","3","9","."
"03/06/2010","55","PM2.5","","54-009-0005","AQS","6","23","55"
"03/07/2010","36","PM10","","54-009-0011","AQS","7","36","."
"03/08/2010","37","PM10","","54-009-0011","AQS","7","37","."
"03/09/2010","107","PM2.5","","54-009-0011","AQS","9","44","107"
"03/10/2010","7","CO","","54-009-0011","AQS","7",".","."
"03/11/2010","33","PM10","","54-009-0011","AQS","7","33","."
"03/12/2010","20","PM2.5","","54-009-0005","AQS","3","6","20"
"03/13/2010","3","PM10","","54-009-0011","AQS","3","3","."
"03/14/2010","7","PM10","","54-009-0011","AQS","5","7","."
"03/15/2010","24","PM2.5","","54-009-0005","AQS","3","8","24"
"03/16/2010","10","PM10","","54-009-0011","AQS","5","10","."
"03/17/2010","15","PM10","","54-009-0011","AQS","6","15","."
"03/18/2010","56","PM2.5","","54-009-0005","AQS","8","26","56"
"03/19/2010","27","PM10","","54-009-0011","AQS","7","27","."
"03/20/2010","31","PM10","","54-009-0011","AQS","6","31","."
"03/21/2010","60","PM2.5","","54-009-0005","AQS","5","23","60"
"03/22/2010","12","PM10","","54-009-0011","AQS","5","12","."
"03/23/2010","7","PM10","","54-009-0011","AQS","3","7","."
"03/24/2010","52","PM2.5","","54-009-0005","AQS","3","18","52"
"03/25/2010","21","PM10","","54-009-0011","AQS","5","21","."
"03/26/2010","6","PM10","","54-009-0011","AQS","3","6","."
"03/27/2010","33","PM2.5","","54-009-0005","AQS","3","13","33"
"03/28/2010","9","PM10","","54-009-0011","AQS","3","9","."
"03/29/2010","7","PM10","","54-009-0011","AQS","3","7","."
"03/30/2010","40","PM2.5","","54-009-0005","AQS","3","12","40"
"03/31/2010","30","PM10","","54-009-0011","AQS","6","30","."
"04/01/2010","52","PM10","","54-009-0011","AQS","7","52","."
"04/02/2010","87","PM2.5","","54-009-0011","AQS","7","53","87"
"04/03/2010","34","PM10","","54-009-0011","AQS","6","34","."
"04/04/2010","16","PM10","","54-009-0011","AQS","5","16","."
"04/05/2010","70","PM2.5","","54-009-0011","AQS","7","38","70"
"04/06/2010","14","PM10","","54-009-0011","AQS","5","14","."
"04/07/2010","26","PM10","","54-009-0011","AQS","3","26","."
"04/08/2010","53","PM2.5","","54-009-0011","AQS","3","23","53"
"04/09/2010","6","PM10","","54-009-0011","AQS","3","6","."
"04/10/2010","16","PM10","","54-009-0011","AQS","5","16","."
"04/11/2010","63","PM2.5","","54-009-0011","AQS","5","27","63"
"04/12/2010","15","PM10","","54-009-0011","AQS","5","15","."
"04/13/2010","13","PM10","","54-009-0011","AQS","3","13","."
"04/14/2010","36","PM2.5","","54-009-0011","AQS","3","14","36"
"04/15/2010","40","PM10","","54-009-0011","AQS","6","40","."
"04/16/2010","5","CO","","54-009-0011","AQS","5",".","."
"04/17/2010","56","PM2.5","","54-009-0005","AQS","3","22","56"
"04/18/2010","3","CO","","54-009-0011","AQS","3",".","."
"04/19/2010","5","CO","","54-009-0011","AQS","5",".","."
"04/20/2010","57","PM2.5","","54-009-0005","AQS","3","26","57"
"04/21/2010","23","PM10","","54-009-0011","AQS","3","23","."
"04/22/2010","35","PM10","","54-009-0011","AQS","6","35","."
"04/23/2010","44","PM2.5","","54-009-0005","AQS","3","31","44"
"04/24/2010","23","PM10","","54-009-0011","AQS","5","23","."
"04/25/2010","12","PM10","","54-009-0011","AQS","3","12","."
"04/26/2010","21","PM2.5","","54-009-0005","AQS","3","7","21"
"04/27/2010","6","PM10","","54-009-0011","AQS","3","6","."
"04/28/2010","6","PM10","","54-009-0011","AQS","3","6","."
"04/29/2010","55","PM2.5","","54-009-0011","AQS","5","39","55"
"04/30/2010","32","PM10","","54-009-0011","AQS","6","32","."
"05/01/2010","31","PM10","","54-009-0011","AQS","7","31","."
"05/02/2010","43","PM2.5","","54-009-0011","AQS","3","12","43"
"05/03/2010","9","PM10","","54-009-0011","AQS","3","9","."
"05/04/2010","10","PM10","","54-009-0011","AQS","3","10","."
"05/05/2010","54","PM2.5","","54-009-0011","AQS","5","22","54"
"05/06/2010","9","PM10","","54-009-0011","AQS","3","9","."
"05/07/2010","18","PM10","","54-009-0011","AQS","3","18","."
"05/08/2010","50","PM2.5","","54-009-0005","AQS","3","26","50"
"05/09/2010","5","PM10","","54-009-0011","AQS","3","5","."
"05/10/2010","9","PM10","","54-009-0011","AQS","5","9","."
"05/11/2010","38","PM2.5","","54-009-0011","AQS","5","11","38"
"05/12/2010","8","PM10","","54-009-0011","AQS","5","8","."
"05/13/2010","17","PM10","","54-009-0011","AQS","3","17","."
"05/14/2010","59","PM2.5","","54-009-0005","AQS","3","26","59"
"05/15/2010","6","PM10","","54-009-0011","AQS","3","6","."
"05/16/2010","5","PM10","","54-009-0011","AQS","3","5","."
"05/17/2010","18","PM2.5","","54-009-0005","AQS","3","6","18"
"05/18/2010","4","PM10","","54-009-0011","AQS","3","4","."
"05/19/2010","9","PM10","","54-009-0011","AQS","5","9","."
"05/20/2010","55","PM2.5","","54-009-0011","AQS","5","19","55"
"05/21/2010","24","PM10","","54-009-0011","AQS","6","24","."
"05/22/2010","14","PM10","","54-009-0011","AQS","3","14","."
"05/23/2010","54","PM2.5","","54-009-0005","AQS","3","19","54"
"05/24/2010","7","PM10","","54-009-0011","AQS","3","7","."
"05/25/2010","12","PM10","","54-009-0011","AQS","3","12","."
"05/26/2010","55","PM2.5","","54-009-0005","AQS","3","22","55"
"05/27/2010","22","PM10","","54-009-0011","AQS","3","22","."
"05/28/2010","21","PM10","","54-009-0011","AQS","3","21","."
"05/29/2010","66","PM2.5","","54-009-0005","AQS","3","26","66"
"05/30/2010","25","PM10","","54-009-0011","AQS","3","25","."
"05/31/2010","28","PM10","","54-009-0011","AQS","6","28","."
"06/01/2010","53","PM2.5","","54-009-0005","AQS","3","25","53"
"06/02/2010","25","PM10","","54-009-0011","AQS","5","25","."
"06/03/2010","17","PM10","","54-009-0011","AQS","3","17","."
"06/04/2010","62","PM2.5","","54-009-0005","AQS","3","27","62"
"06/05/2010","8","PM10","","54-009-0011","AQS","3","8","."
