"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"09/08/2013","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","64","."
"09/09/2013","97","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","97","."
"09/10/2013","74","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","74","14"
"09/11/2013","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","48","."
"09/12/2013","80","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","80","."
"09/13/2013","122","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","122","18"
"09/14/2013","93","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","93","."
"09/15/2013","71","Ozone","Echo Summit","06-017-0012","AQS","71","."
"09/16/2013","64","Ozone","Echo Summit","06-017-0012","AQS","64","15"
"09/17/2013","58","Ozone","Echo Summit","06-017-0012","AQS","58","."
"09/18/2013","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","54","."
"09/19/2013","108","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","108","20"
"09/20/2013","77","Ozone","Echo Summit","06-017-0012","AQS","77","."
"09/21/2013","42","Ozone","Echo Summit","06-017-0012","AQS","42","."
"09/22/2013","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","2"
"09/23/2013","49","Ozone","Echo Summit","06-017-0012","AQS","49","."
"09/24/2013","50","Ozone","Echo Summit","06-017-0012","AQS","50","."
"09/25/2013","38","Ozone","Echo Summit","06-017-0012","AQS","38","3"
"09/26/2013","35","Ozone","Echo Summit","06-017-0012","AQS","35","."
"09/27/2013","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","."
"09/28/2013","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","54","10"
"09/29/2013","39","Ozone","Echo Summit","06-017-0012","AQS","39","."
"09/30/2013","36","Ozone","Echo Summit","06-017-0012","AQS","36","."
"10/01/2013","39","Ozone","Echo Summit","06-017-0012","AQS","39","7"
"10/02/2013","47","Ozone","Echo Summit","06-017-0012","AQS","47","."
"10/03/2013","38","Ozone","Echo Summit","06-017-0012","AQS","38","."
"10/04/2013","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","."
"10/05/2013","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","."
"10/06/2013","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","58","."
"10/07/2013","77","Ozone","Echo Summit","06-017-0012","AQS","77","."
"10/08/2013","74","Ozone","Echo Summit","06-017-0012","AQS","74","."
"10/09/2013","47","Ozone","Echo Summit","06-017-0012","AQS","47","."
