"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"02/17/2005","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","27",".","."
"02/18/2005","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","33",".","8"
"02/19/2005","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","34",".","."
"02/20/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","31",".","."
"02/21/2005","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","32","6","1"
"02/22/2005","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","30",".","."
"02/23/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","31",".","."
"02/24/2005","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","29",".","8"
"02/25/2005","22","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","22",".","."
"02/26/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","35",".","."
"02/27/2005","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","42","18","7"
"02/28/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43",".","."
"03/01/2005","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","39",".","."
"03/02/2005","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","34",".","1"
"03/03/2005","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","34",".","."
"03/04/2005","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","29",".","."
"03/05/2005","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","33","23","5"
"03/06/2005","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","39",".","."
"03/07/2005","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","39",".","."
"03/08/2005","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","46",".","8"
"03/09/2005","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","49",".","."
"03/10/2005","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","44",".","."
"03/11/2005","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","64","35","12"
"03/12/2005","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","64",".","."
"03/13/2005","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","39",".","."
"03/14/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43",".","7"
"03/15/2005","2","CO","Placerville-Gold Nugget Way","06-017-0010","AQS","2",".",".","."
"03/16/2005","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","46",".","."
"03/17/2005","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","54","19","19"
"03/18/2005","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","45",".","."
"03/19/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","35",".","."
"03/20/2005","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","36",".","."
"03/21/2005","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","39",".","."
"03/22/2005","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","38",".","."
"03/23/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","35","6","0"
"03/24/2005","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","41",".","."
"03/25/2005","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","40",".","."
"03/26/2005","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","34",".","6"
"03/27/2005","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","38",".","."
"03/28/2005","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","40",".","."
"03/29/2005","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","37","6","3"
"03/30/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43",".","."
"03/31/2005","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","44",".","."
"04/01/2005","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","48",".","6"
"04/02/2005","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","51",".","."
"04/03/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43",".","."
"04/04/2005","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","40","14","3"
"04/05/2005","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","47",".","."
"04/06/2005","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","51",".","."
"04/07/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43",".","10"
"04/08/2005","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","36",".","."
"04/09/2005","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","34",".","."
"04/10/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43","23","11"
"04/11/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43",".","."
"04/12/2005","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","44",".","."
"04/13/2005","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","42",".","8"
"04/14/2005","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","40",".","."
"04/15/2005","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","51",".","."
"04/16/2005","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","49","15","13"
"04/17/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43",".","."
"04/18/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43",".","."
"04/19/2005","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","39","10","4"
"04/20/2005","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","44",".","."
"04/21/2005","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","58",".","."
"04/22/2005","74","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","74","17","13"
"04/23/2005","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","30",".","."
"04/24/2005","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43",".","."
"04/25/2005","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","48",".","9"
"04/26/2005","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","46",".","."
"04/27/2005","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","37",".","."
"04/28/2005","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","34","13","7"
