"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"07/11/2005","58","Ozone","Cool","06-017-0020","AQS","1","58",".","."
"07/12/2005","150","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","150",".","17"
"07/13/2005","182","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","182",".","."
"07/14/2005","197","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","197",".","."
"07/15/2005","185","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","185","25","25"
"07/16/2005","154","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","154",".","."
"07/17/2005","147","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","147",".","."
"07/18/2005","133","Ozone","Cool","06-017-0020","AQS","3","133",".","28"
"07/19/2005","108","Ozone","Cool","06-017-0020","AQS","2","108",".","."
"07/20/2005","177","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","177",".","."
"07/21/2005","90","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","90","25","32"
"07/22/2005","90","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","90",".","."
"07/23/2005","159","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","159",".","."
"07/24/2005","126","Ozone","Cool","06-017-0020","AQS","2","126",".","10"
"07/25/2005","101","Ozone","Cool","06-017-0020","AQS","1","101",".","."
"07/26/2005","172","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","172",".","."
"07/27/2005","172","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","172","23","21"
"07/28/2005","179","Ozone","Cool","06-017-0020","AQS","3","179",".","."
"07/29/2005","150","Ozone","Cool","06-017-0020","AQS","2","150",".","."
"07/30/2005","156","Ozone","Cool","06-017-0020","AQS","2","156",".","21"
"07/31/2005","93","Ozone","Cool","06-017-0020","AQS","2","93",".","."
"08/01/2005","77","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","77",".","."
"08/02/2005","93","Ozone","Cool","06-017-0020","AQS","2","93","13","13"
"08/03/2005","156","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","156",".","."
"08/04/2005","166","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","166",".","."
"08/05/2005","161","Ozone","Cool","06-017-0020","AQS","2","161",".","18"
"08/06/2005","174","Ozone","Cool","06-017-0020","AQS","1","174",".","."
"08/07/2005","101","Ozone","Cool","06-017-0020","AQS","1","101",".","."
"08/08/2005","161","Ozone","Cool","06-017-0020","AQS","2","161","19","20"
"08/09/2005","161","Ozone","Cool","06-017-0020","AQS","2","161",".","."
"08/10/2005","126","Ozone","Cool","06-017-0020","AQS","2","126",".","."
"08/11/2005","140","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","140",".","14"
"08/12/2005","164","Ozone","Cool","06-017-0020","AQS","2","164",".","."
"08/13/2005","97","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","97",".","."
"08/14/2005","101","Ozone","Cool","06-017-0020","AQS","2","101","18","25"
"08/15/2005","84","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","84",".","."
"08/16/2005","133","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","133",".","."
"08/17/2005","105","Ozone","Cool","06-017-0020","AQS","2","105",".","23"
"08/18/2005","77","Ozone","Echo Summit","06-017-0012","AQS","1","77",".","."
"08/19/2005","67","Ozone","Echo Summit","06-017-0012","AQS","1","67",".","."
"08/20/2005","105","Ozone","Cool","06-017-0020","AQS","2","105","17","24"
"08/21/2005","115","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","115",".","."
"08/22/2005","129","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","129",".","."
"08/23/2005","151","Ozone","Cool","06-017-0020","AQS","2","151",".","14"
"08/24/2005","129","Ozone","Cool","06-017-0020","AQS","2","129",".","."
"08/25/2005","122","Ozone","Cool","06-017-0020","AQS","2","122",".","."
"08/26/2005","126","Ozone","Cool","06-017-0020","AQS","3","126","17","11"
"08/27/2005","64","Ozone","Cool","06-017-0020","AQS","2","64",".","."
"08/28/2005","80","Ozone","Cool","06-017-0020","AQS","2","80",".","."
"08/29/2005","77","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","1","77",".","8"
"08/30/2005","71","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","71",".","."
"08/31/2005","143","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","143",".","."
"09/01/2005","129","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","129","19","16"
"09/02/2005","100","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","100",".","."
"09/03/2005","93","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","93",".","."
"09/04/2005","84","Ozone","Echo Summit","06-017-0012","AQS","2","84",".","16"
"09/05/2005","77","Ozone","Cool","06-017-0020","AQS","2","77",".","."
"09/06/2005","93","Ozone","Cool","06-017-0020","AQS","1","93",".","."
"09/07/2005","84","Ozone","Cool","06-017-0020","AQS","2","84","19","17"
"09/08/2005","74","Ozone","Echo Summit","06-017-0012","AQS","2","74",".","."
"09/09/2005","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","48",".","."
"09/10/2005","43","Ozone","Echo Summit","06-017-0012","AQS","1","43",".","8"
"09/11/2005","42","Ozone","Cool","06-017-0020","AQS","2","42",".","."
"09/12/2005","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","45",".","."
"09/13/2005","50","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","50","17","14"
"09/14/2005","58","Ozone","Cool","06-017-0020","AQS","3","58",".","."
"09/15/2005","97","Ozone","Echo Summit","06-017-0012","AQS","2","97",".","."
"09/16/2005","90","Ozone","Echo Summit","06-017-0012","AQS","2","90",".","."
"09/17/2005","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","1","47",".","."
"09/18/2005","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","1","54",".","."
"09/19/2005","108","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","108","17","."
"09/20/2005","108","Ozone","Cool","06-017-0020","AQS","2","108",".","."
"09/21/2005","87","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","87",".","."
"09/22/2005","101","Ozone","Cool","06-017-0020","AQS","2","101",".","12"
"09/23/2005","67","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","1","67",".","."
"09/24/2005","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","48",".","."
"09/25/2005","50","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","50","17","."
"09/26/2005","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","44",".","."
"09/27/2005","50","Ozone","Cool","06-017-0020","AQS","2","50",".","."
"09/28/2005","108","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","108",".","11"
"09/29/2005","136","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","136",".","."
"09/30/2005","143","Ozone","Cool","06-017-0020","AQS","2","143",".","."
