"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2010","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"01/02/2010","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","2"
"01/03/2010","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","."
"01/04/2010","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"01/05/2010","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","6"
"01/06/2010","16","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","16","."
"01/07/2010","16","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","16","."
"01/08/2010","20","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","20","8"
"01/09/2010","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","26","."
"01/10/2010","25","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","25","."
"01/11/2010","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","18"
"01/12/2010","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"01/13/2010","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","."
"01/14/2010","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","17"
"01/15/2010","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","."
"01/16/2010","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"01/17/2010","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","2"
"01/18/2010","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
"01/19/2010","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","."
"01/20/2010","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","2"
"01/21/2010","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
"01/22/2010","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"01/23/2010","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","1"
"01/24/2010","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"01/25/2010","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","."
"01/26/2010","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","4"
"01/27/2010","24","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","24","."
"01/28/2010","25","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","25","."
"01/29/2010","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","8"
"01/30/2010","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"01/31/2010","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","."
"02/01/2010","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","4"
"02/02/2010","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"02/03/2010","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","."
"02/04/2010","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","5"
"02/05/2010","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","."
"02/06/2010","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
