"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2016","47","PM2.5","Lake Tahoe Community College","06-017-9001","AQS","40",".","47"
"01/02/2016","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40",".","."
"01/03/2016","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40",".","."
"01/04/2016","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","7","11"
"01/05/2016","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","4","."
"01/06/2016","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","5","."
"01/07/2016","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","5","11"
"01/08/2016","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","24","."
"01/09/2016","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37",".","."
"01/10/2016","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32",".","13"
"01/11/2016","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33",".","."
"01/12/2016","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42",".","."
"01/13/2016","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","6","8"
"01/14/2016","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","3","."
"01/15/2016","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","10","."
"01/16/2016","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","5","3"
"01/17/2016","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","5","."
"01/18/2016","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","4","."
"01/19/2016","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","2","3"
"01/20/2016","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","28","27","."
"01/21/2016","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","21","."
"01/22/2016","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","8","4"
"01/23/2016","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","3","."
"01/24/2016","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","8","."
"01/25/2016","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","12","19"
"01/26/2016","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","26","."
"01/27/2016","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","26","."
"01/28/2016","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","16","13"
"01/29/2016","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34",".","."
"01/30/2016","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","3","."
"01/31/2016","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","3","2"
"02/01/2016","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","6","."
"02/02/2016","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","10","."
"02/03/2016","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","12","19"
"02/04/2016","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","21","."
"02/05/2016","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","27","."
"02/06/2016","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","31","18"
"02/07/2016","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","25","."
"02/08/2016","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","25","."
"02/09/2016","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","26","17"
"02/10/2016","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","26","."
"02/11/2016","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","37","."
"02/12/2016","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","35","20"
"02/13/2016","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","30","."
"02/14/2016","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","28","."
"02/15/2016","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","20","10"
"02/16/2016","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","26","."
"02/17/2016","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","18","."
"02/18/2016","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","4","3"
"02/19/2016","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","6","."
"02/20/2016","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","23","."
"02/21/2016","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","19","9"
"02/22/2016","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","25","."
"02/23/2016","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","32","."
"02/24/2016","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","47","23","18"
"02/25/2016","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","47","30","."
"02/26/2016","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","47","19","."
"02/27/2016","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","11","3"
"02/28/2016","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","15","."
"02/29/2016","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","17","."
"03/01/2016","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","17","10"
"03/02/2016","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46","12","."
"03/03/2016","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","11","."
"03/04/2016","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","4","5"
"03/05/2016","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","1","."
"03/06/2016","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","2","."
"03/07/2016","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","3","2"
"03/08/2016","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","3","."
"03/09/2016","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","5","."
"03/10/2016","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","9","5"
"03/11/2016","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","4","."
"03/12/2016","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","5","."
"03/13/2016","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","1","2"
"03/14/2016","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","13","."
"03/15/2016","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","31","."
"03/16/2016","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","27","20"
"03/17/2016","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","28","."
"03/18/2016","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","24","."
"03/19/2016","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","17","10"
"03/20/2016","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","11","."
"03/21/2016","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","4","."
"03/22/2016","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","9","3"
"03/23/2016","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","17","."
"03/24/2016","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","18","."
"03/25/2016","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","45","16","8"
"03/26/2016","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","22","."
"03/27/2016","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","8","."
"03/28/2016","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","7","4"
"03/29/2016","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","6","."
"03/30/2016","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","12","."
"03/31/2016","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","45","14","11"
"04/01/2016","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46","14","."
"04/02/2016","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46","11","."
"04/03/2016","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","58","10","13"
"04/04/2016","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","48","15","."
"04/05/2016","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","45","18","."
"04/06/2016","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","54","15","8"
"04/07/2016","61","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","61","16","."
"04/08/2016","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","19","."
"04/09/2016","31","Ozone","Echo Summit","06-017-0012","AQS","31","6","11"
"04/10/2016","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","5","."
"04/11/2016","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","6","."
"04/12/2016","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","6","8"
"04/13/2016","74","Ozone","Echo Summit","06-017-0012","AQS","74","9","."
"04/14/2016","67","Ozone","Echo Summit","06-017-0012","AQS","67","11","."
"04/15/2016","47","Ozone","Echo Summit","06-017-0012","AQS","47","7","3"
"04/16/2016","49","Ozone","Echo Summit","06-017-0012","AQS","49","6","."
"04/17/2016","61","Ozone","Echo Summit","06-017-0012","AQS","61","9","."
"04/18/2016","97","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","97","12","19"
"04/19/2016","93","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","93","11","."
"04/20/2016","84","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","84","12","."
"04/21/2016","54","Ozone","Echo Summit","06-017-0012","AQS","54","7","12"
"04/22/2016","51","Ozone","Echo Summit","06-017-0012","AQS","51","8","."
