"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2017","16","PM2.5","Lake Tahoe Community College","06-017-9001","AQS",".",".","16"
"01/04/2017","1","PM2.5","Lake Tahoe Community College","06-017-9001","AQS",".",".","1"
"01/06/2017","18","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","18","."
"01/07/2017","6","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","6","2"
"01/08/2017","4","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","4","."
"01/09/2017","7","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","7","."
"01/10/2017","5","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","5","2"
"01/11/2017","6","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","6","."
"01/12/2017","5","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","5","."
"01/13/2017","10","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","10","."
"01/14/2017","10","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","10","."
"01/15/2017","13","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","13","."
"01/16/2017","18","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","18","14"
"01/17/2017","19","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","19","."
"01/18/2017","5","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","5","."
"01/19/2017","5","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","5","3"
"01/20/2017","7","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","7","."
"01/21/2017","8","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","8","."
"01/22/2017","5","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","5","2"
"01/23/2017","6","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","6","."
"01/24/2017","8","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","8","."
"01/25/2017","9","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","9","."
"01/26/2017","8","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","8","."
"01/27/2017","20","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","20","."
"01/28/2017","27","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","27","23"
"01/29/2017","25","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","25","."
"01/30/2017","17","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","17","."
"01/31/2017","18","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS",".","18","6"
"02/01/2017","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46","10","."
"02/02/2017","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","5","."
"02/03/2017","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","5","1"
"02/04/2017","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","6","."
"02/05/2017","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","14","."
"02/06/2017","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","48","6","0"
"02/07/2017","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","6","."
"02/08/2017","22","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","22","6","."
"02/09/2017","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","7","3"
"02/10/2017","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","6","."
"02/11/2017","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","8","."
