"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2011","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","."
"01/02/2011","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"01/03/2011","24","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","24","5"
"01/04/2011","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","."
"01/05/2011","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"01/06/2011","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","8"
"01/07/2011","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","."
"01/08/2011","6","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","."
"01/09/2011","19","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","19","3"
"01/10/2011","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","."
"01/11/2011","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"01/12/2011","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","1"
"01/13/2011","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","."
"01/14/2011","22","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","22","."
"01/15/2011","20","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","20","6"
"01/16/2011","19","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","19","."
"01/17/2011","19","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","19","."
"01/18/2011","24","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","24","5"
"01/19/2011","24","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","24","."
"01/20/2011","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","."
"01/21/2011","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","6"
"01/22/2011","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"01/23/2011","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"01/24/2011","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","6"
"01/25/2011","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"01/26/2011","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
"01/27/2011","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","10"
"01/28/2011","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","."
"01/29/2011","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","."
"01/30/2011","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","2"
"01/31/2011","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","."
"02/01/2011","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","."
"02/02/2011","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","4"
"02/03/2011","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","."
"02/04/2011","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","28","."
"02/05/2011","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","3"
"02/06/2011","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","."
"02/07/2011","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","."
"02/08/2011","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","5"
"02/09/2011","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"02/11/2011","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","3"
"02/12/2011","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","."
