"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2012","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","10"
"01/02/2012","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"01/03/2012","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"01/04/2012","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","4"
"01/05/2012","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","."
"01/06/2012","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","."
"01/07/2012","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","2"
"01/08/2012","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","."
"01/09/2012","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","."
"01/10/2012","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","5"
"01/11/2012","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","."
"01/12/2012","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","."
"01/13/2012","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","5"
"01/14/2012","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"01/15/2012","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"01/16/2012","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","4"
"01/17/2012","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","."
"01/18/2012","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","."
"01/19/2012","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","8"
"01/20/2012","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","26","."
"01/21/2012","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","."
"01/22/2012","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","2"
