"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2002","40","Ozone","Echo Summit","06-017-0012","AQS","14","40","17",".","27"
"01/02/2002","38","Ozone","Echo Summit","06-017-0012","AQS","11","38","8","25","25"
"01/03/2002","40","Ozone","Echo Summit","06-017-0012","AQS","8","40","9",".","25"
"01/04/2002","44","Ozone","Echo Summit","06-017-0012","AQS","15","44","25",".","35"
"01/05/2002","44","Ozone","Echo Summit","06-017-0012","AQS","15","44","9","4","23"
"01/06/2002","41","Ozone","Echo Summit","06-017-0012","AQS","9","41","7",".","15"
"01/07/2002","47","Ozone","Echo Summit","06-017-0012","AQS","9","47","6",".","15"
"01/08/2002","46","Ozone","Echo Summit","06-017-0012","AQS","10","46","38","29","27"
"01/09/2002","47","Ozone","Echo Summit","06-017-0012","AQS","10","47","16",".","26"
"01/10/2002","46","Ozone","Echo Summit","06-017-0012","AQS","16","46","23",".","42"
"01/11/2002","63","NO2","Echo Summit","06-017-0012","AQS","19","50","31","15","63"
"01/12/2002","50","Ozone","Echo Summit","06-017-0012","AQS","19","50","19",".","27"
"01/13/2002","43","Ozone","Echo Summit","06-017-0012","AQS","14","43","23",".","42"
"01/14/2002","44","Ozone","Echo Summit","06-017-0012","AQS","13","44","28","13","12"
"01/15/2002","39","Ozone","Echo Summit","06-017-0012","AQS","9","39",".",".","17"
"01/16/2002","45","Ozone","Echo Summit","06-017-0012","AQS","10","45",".",".","32"
"01/17/2002","46","Ozone","Echo Summit","06-017-0012","AQS","10","46",".","10","30"
"01/18/2002","45","Ozone","Echo Summit","06-017-0012","AQS","11","45","18",".","28"
"01/19/2002","44","Ozone","Echo Summit","06-017-0012","AQS","11","44","10",".","23"
"01/20/2002","50","PM2.5","South Lake Tahoe-Sandy Way","06-017-0011","AQS","10","46","21","50","32"
"01/21/2002","47","Ozone","Echo Summit","06-017-0012","AQS","10","47","8",".","8"
"01/22/2002","42","Ozone","Echo Summit","06-017-0012","AQS","7","42","4",".","23"
"01/23/2002","43","Ozone","Echo Summit","06-017-0012","AQS","13","43","11","3","34"
"01/24/2002","44","Ozone","Echo Summit","06-017-0012","AQS","14","44","14",".","40"
"01/25/2002","47","Ozone","Echo Summit","06-017-0012","AQS","8","47","5",".","23"
"01/26/2002","44","Ozone","Echo Summit","06-017-0012","AQS","6","44","9","8","8"
"01/27/2002","44","Ozone","Echo Summit","06-017-0012","AQS","7","44","2",".","18"
"01/28/2002","44","Ozone","Echo Summit","06-017-0012","AQS","9","44","5",".","33"
"01/29/2002","40","Ozone","Echo Summit","06-017-0012","AQS","14","40","6","4","35"
"01/30/2002","42","NO2","South Lake Tahoe-Sandy Way","06-017-0011","AQS","15","40","9",".","42"
"01/31/2002","42","Ozone","Echo Summit","06-017-0012","AQS","15","42","10",".","28"
"02/01/2002","61","PM2.5","South Lake Tahoe-Sandy Way","06-017-0011","AQS","17","42","16","61","42"
"02/02/2002","44","Ozone","Echo Summit","06-017-0012","AQS","17","44","19",".","36"
"02/03/2002","49","Ozone","Echo Summit","06-017-0012","AQS","14","49","17",".","35"
"02/04/2002","48","Ozone","Echo Summit","06-017-0012","AQS","17","48","21","9","45"
"02/05/2002","87","NO2","Echo Summit","06-017-0012","AQS","17","48","35",".","87"
"02/06/2002","50","Ozone","Echo Summit","06-017-0012","AQS","14","50","11",".","34"
"02/07/2002","49","Ozone","Echo Summit","06-017-0012","AQS","6","49","10","4","9"
"02/08/2002","44","Ozone","Echo Summit","06-017-0012","AQS","14","44","7",".","34"
"02/09/2002","45","Ozone","Echo Summit","06-017-0012","AQS","14","45","15",".","33"
"02/10/2002","47","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","17","44","47","8","45"
