"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"07/23/2019","45","Ozone","Cool","06-017-0020","AQS","45","14","15"
"07/24/2019","87","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","87","18","."
"07/25/2019","97","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","97","10","."
"07/26/2019","93","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","93","14","15"
"07/27/2019","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","58","13","."
"07/28/2019","77","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","77","14","."
"07/29/2019","67","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","67","17","22"
"07/30/2019","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","58","11","."
"07/31/2019","90","Ozone","Cool","06-017-0020","AQS","90","11","."
"08/01/2019","71","Ozone","Cool","06-017-0020","AQS","71","16","20"
"08/02/2019","87","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","87","15","."
"08/03/2019","90","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","90","14","."
"08/04/2019","54","Ozone","Echo Summit","06-017-0012","AQS","54","14","19"
"08/05/2019","90","Ozone","Cool","06-017-0020","AQS","90","11","."
"08/06/2019","108","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","108","13","."
"08/07/2019","77","Ozone","Cool","06-017-0020","AQS","77","21","."
"08/08/2019","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","47","14","."
"08/09/2019","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","13","."
"08/10/2019","38","Ozone","Echo Summit","06-017-0012","AQS","38","13","11"
"08/11/2019","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","11","."
"08/12/2019","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46","11","."
"08/13/2019","87","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","87","13","17"
"08/14/2019","97","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","97","11","."
"08/15/2019","90","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","90","19","."
"08/16/2019","101","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","101","11","18"
"08/17/2019","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","58","17","."
"08/18/2019","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","16","."
"08/19/2019","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","15","17"
"08/20/2019","64","Ozone","Cool","06-017-0020","AQS","64","13","."
"08/21/2019","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","9","."
"08/22/2019","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","11","13"
"08/23/2019","61","Ozone","Cool","06-017-0020","AQS","61","11","."
"08/24/2019","61","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","61","14","."
"08/25/2019","50","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","50","16","16"
"08/26/2019","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","11","."
"08/27/2019","122","Ozone","Cool","06-017-0020","AQS","122","14","."
"08/28/2019","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","48","14","18"
"08/29/2019","46","Ozone","Echo Summit","06-017-0012","AQS","46","19","."
"08/30/2019","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","47","13","."
"08/31/2019","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","54","10","10"
"09/01/2019","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","54","11","."
"09/02/2019","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","12","."
"09/03/2019","74","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","74","11","19"
"09/04/2019","80","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","80","10","."
"09/05/2019","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","54","14","."
"09/06/2019","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","14","20"
"09/07/2019","46","Ozone","Echo Summit","06-017-0012","AQS","46","8","."
"09/08/2019","45","Ozone","Echo Summit","06-017-0012","AQS","45","10","."
"09/09/2019","44","Ozone","Cool","06-017-0020","AQS","44","9","14"
"09/10/2019","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","11","."
"09/11/2019","44","Ozone","Echo Summit","06-017-0012","AQS","44","9","."
"09/12/2019","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","23","17"
"09/13/2019","115","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","115","16","."
"09/14/2019","87","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","87","13","."
"09/15/2019","77","Ozone","Echo Summit","06-017-0012","AQS","77","20","14"
"09/16/2019","46","Ozone","Echo Summit","06-017-0012","AQS","46","20","."
"09/17/2019","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","6","."
"09/18/2019","37","Ozone","Echo Summit","06-017-0012","AQS","37","5","8"
"09/19/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","6","."
"09/20/2019","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","6","."
"09/21/2019","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","8","10"
"09/22/2019","50","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","50","9","."
"09/23/2019","42","Ozone","Echo Summit","06-017-0012","AQS","42","9","."
"09/24/2019","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","47","11","10"
"09/25/2019","108","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","108","8","."
"09/26/2019","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49",".","."
"09/27/2019","40","Ozone","Echo Summit","06-017-0012","AQS","40",".","11"
"09/28/2019","44","Ozone","Echo Summit","06-017-0012","AQS","44",".","."
"09/29/2019","35","Ozone","Echo Summit","06-017-0012","AQS","35",".","."
"09/30/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35",".","8"
"10/01/2019","34","Ozone","Echo Summit","06-017-0012","AQS","34",".","."
"10/02/2019","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37",".","."
"10/03/2019","46","Ozone","Echo Summit","06-017-0012","AQS","46",".","16"
"10/04/2019","44","Ozone","Echo Summit","06-017-0012","AQS","44",".","."
"10/05/2019","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44",".","."
"10/06/2019","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46",".","14"
"10/07/2019","80","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","80",".","."
"10/08/2019","77","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","77",".","."
"10/09/2019","53","PM2.5","Lake Tahoe Community College","06-017-9001","AQS","44",".","53"
"10/10/2019","44","Ozone","Echo Summit","06-017-0012","AQS","44",".","."
"10/11/2019","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","58",".","."
"10/12/2019","74","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","74","36","73"
"10/13/2019","71","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","71","40","."
"10/14/2019","67","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","67","23","."
"10/15/2019","93","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","93","20","40"
"10/16/2019","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","64","33","."
"10/17/2019","46","Ozone","Echo Summit","06-017-0012","AQS","46","12","."
"10/18/2019","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","8","9"
"10/19/2019","37","Ozone","Echo Summit","06-017-0012","AQS","37","8","."
"10/20/2019","39","Ozone","Echo Summit","06-017-0012","AQS","39","9","."
"10/21/2019","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","7","13"
"10/22/2019","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","10","."
"10/23/2019","37","Ozone","Echo Summit","06-017-0012","AQS","37","10","."
"10/24/2019","38","Ozone","Echo Summit","06-017-0012","AQS","38","9","11"
"10/25/2019","67","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","67","26","."
"10/26/2019","40","Ozone","Echo Summit","06-017-0012","AQS","40","9","."
"10/27/2019","34","Ozone","Echo Summit","06-017-0012","AQS","34","22","7"
"10/28/2019","39","Ozone","Echo Summit","06-017-0012","AQS","39","13","."
"10/29/2019","42","Ozone","Echo Summit","06-017-0012","AQS","42","12","."
"10/30/2019","50","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","50","19","."
"10/31/2019","47","Ozone","Echo Summit","06-017-0012","AQS","47","19","."
"11/01/2019","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","16","."
"11/02/2019","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","15","18"
"11/03/2019","50","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","50","13","."
"11/04/2019","50","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","50","17","."
"11/05/2019","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","58","13","16"
"11/06/2019","71","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","71","15","."
"11/07/2019","61","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","61","14","."
"11/08/2019","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","48","16","17"
"11/09/2019","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","48","12","."
"11/10/2019","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","14","."
"11/11/2019","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","54","11","13"
"11/12/2019","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46","16","."
"11/13/2019","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","15","."
"11/14/2019","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","10","12"
"11/15/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","18","."
"11/16/2019","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","16","."
"11/17/2019","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","12","14"
"11/18/2019","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","45","10","."
"11/19/2019","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","8","."
"11/20/2019","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","4","3"
"11/21/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","12","."
"11/22/2019","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","12","."
"11/23/2019","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","16","18"
"11/24/2019","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","14","."
"11/25/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","11","."
"11/26/2019","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","8","7"
"11/27/2019","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","12","."
