"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2009","18","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","18",".","6"
"01/02/2009","22","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","22",".","."
"01/03/2009","24","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","24",".","."
"01/04/2009","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30",".","6"
"01/05/2009","18","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","18",".","."
"01/07/2009","2","PM2.5","Bliss SP","06-017-9000","AQS",".",".","2"
"01/08/2009","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","27",".","."
"01/09/2009","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","7","."
"01/10/2009","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38",".","5"
"01/11/2009","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39",".","."
"01/12/2009","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39",".","."
"01/13/2009","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","7","3"
"01/14/2009","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37",".","."
"01/15/2009","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38",".","."
"01/16/2009","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38",".","3"
"01/17/2009","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38",".","."
"01/18/2009","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35",".","."
"01/19/2009","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","7","5"
"01/20/2009","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33",".","."
"01/21/2009","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33",".","."
"01/22/2009","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","27",".","3"
"01/23/2009","19","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","19",".","."
"01/24/2009","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31",".","."
"01/25/2009","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","5","2"
"01/26/2009","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31",".","."
"01/27/2009","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","8","."
"01/28/2009","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29",".","5"
"01/29/2009","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32",".","."
"01/30/2009","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32",".","."
"01/31/2009","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","7","10"
"02/01/2009","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36",".","."
"02/02/2009","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31",".","."
"02/03/2009","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33",".","27"
"02/04/2009","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32",".","."
"02/05/2009","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36",".","."
"02/06/2009","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","5","3"
"02/07/2009","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30",".","."
"02/08/2009","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36",".","."
"02/09/2009","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34",".","1"
"02/10/2009","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33",".","."
"02/11/2009","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33",".","."
"02/12/2009","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","5","1"
"02/13/2009","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36",".","."
"02/14/2009","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37",".","."
"02/15/2009","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41",".","3"
"02/16/2009","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41",".","."
"02/17/2009","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36",".","."
