"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2021","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","8","3"
"01/02/2021","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","2","."
"01/03/2021","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","16","."
"01/04/2021","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","2","2"
"01/05/2021","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","10","."
"01/06/2021","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","9","."
"01/07/2021","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","21","14"
"01/08/2021","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","10","."
"01/09/2021","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","13","."
"01/10/2021","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","26","17","14"
"01/11/2021","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","18","."
"01/12/2021","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","5","."
"01/13/2021","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","6","8"
"01/14/2021","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","16","."
"01/15/2021","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","20","."
"01/16/2021","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","19","18"
"01/17/2021","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","17","."
"01/18/2021","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","19","."
"01/19/2021","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","21","8"
"01/20/2021","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","15","."
"01/21/2021","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","9","."
"01/22/2021","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","11","11"
"01/23/2021","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","27","4","."
"01/24/2021","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","6","."
"01/25/2021","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","2","4"
"01/26/2021","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","6","."
"01/27/2021","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","4","."
"01/28/2021","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","3","2"
"01/29/2021","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","4","."
"01/30/2021","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","8","."
"01/31/2021","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","7","9"
"02/01/2021","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","2","."
"02/02/2021","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","3","."
"02/03/2021","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","4","4"
