"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2015","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30",".","."
"01/02/2015","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30",".","."
"01/03/2015","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31",".","25"
"01/04/2015","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","28",".","."
"01/05/2015","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","27",".","."
"01/06/2015","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","28",".","20"
"01/07/2015","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","27",".","."
"01/08/2015","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","27",".","."
"01/09/2015","26","PM2.5","Lake Tahoe Community College","06-017-9001","AQS","23",".","26"
"01/10/2015","28","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","27","28","."
"01/11/2015","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","27","19","."
"01/12/2015","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","21","18"
"01/13/2015","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","17","."
"01/14/2015","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","28","27","."
"01/15/2015","29","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","29","29","20"
"01/16/2015","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","10","."
"01/17/2015","19","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","19","16","."
"01/18/2015","21","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","21","10","8"
"01/19/2015","21","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","10","21","."
"01/20/2015","27","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","8","27","."
"01/21/2015","23","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","19","23","15"
"01/22/2015","29","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","27","29","."
"01/23/2015","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","19","."
"01/24/2015","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","18","10"
"01/25/2015","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","19","."
"01/26/2015","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","25","."
"01/27/2015","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","11","8"
"01/28/2015","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","28","20","."
"01/29/2015","25","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","25","21","."
"01/30/2015","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","29","19","14"
"01/31/2015","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","24","."
"02/01/2015","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","22","."
"02/02/2015","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","14","7"
"02/03/2015","25","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","25","12","."
"02/04/2015","25","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","25","16","."
"02/05/2015","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","15","7"
"02/06/2015","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","21","."
"02/07/2015","25","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","25","6","."
"02/08/2015","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","7","5"
"02/09/2015","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","11","."
"02/10/2015","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","26","23","."
"02/11/2015","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","25","14"
"02/12/2015","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","26","."
"02/13/2015","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","39","30","."
"02/14/2015","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","28","13"
"02/15/2015","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","20","."
"02/16/2015","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","18","."
"02/17/2015","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","20","15"
"02/18/2015","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","26","19","."
"02/19/2015","25","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","25","19","."
"02/20/2015","23","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","22","23","14"
"02/21/2015","38","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","28","38","."
"02/22/2015","41","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","35","41","."
"02/23/2015","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","18","8"
"02/24/2015","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","20","."
"02/25/2015","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","20","."
"02/26/2015","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","23","11"
"02/27/2015","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","32","9","."
"02/28/2015","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","30","7","."
"03/01/2015","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","28","13","12"
"03/02/2015","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","28","16","."
"03/03/2015","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","25","."
"03/04/2015","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","26","14"
"03/05/2015","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","28","."
"03/06/2015","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","26","."
"03/07/2015","50","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","50","30","18"
"03/08/2015","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","45","26","."
"03/09/2015","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","24","."
"03/10/2015","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46","18","14"
