"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2004","46","Ozone","","06-017-2003","AQS","2","46",".","1","12"
"01/02/2004","56","NO2","Echo Summit","06-017-0012","AQS","5","46",".",".","56"
"01/03/2004","46","Ozone","","06-017-2003","AQS","7","46",".",".","27"
"01/04/2004","68","PM2.5","South Lake Tahoe-Sandy Way","06-017-0011","AQS","10","49","5","68","41"
"01/05/2004","65","NO2","Echo Summit","06-017-0012","AQS","11","49",".",".","65"
"01/06/2004","47","Ozone","","06-017-2003","AQS","10","47",".",".","36"
"01/07/2004","44","Ozone","Echo Summit","06-017-0012","AQS","5","44",".","1","8"
"01/08/2004","42","Ozone","Echo Summit","06-017-0012","AQS","8","42",".",".","32"
"01/09/2004","44","Ozone","","06-017-2003","AQS","7","44",".",".","23"
"01/10/2004","57","PM2.5","South Lake Tahoe-Sandy Way","06-017-0011","AQS","9","43","36","57","32"
"01/11/2004","44","Ozone","","06-017-2003","AQS","10","44",".",".","35"
"01/12/2004","48","Ozone","","06-017-2003","AQS","11","48",".",".","34"
"01/13/2004","48","Ozone","","06-017-2003","AQS","9","48",".","8","40"
"01/14/2004","51","Ozone","","06-017-2003","AQS","10","51",".",".","42"
"01/15/2004","44","Ozone","","06-017-2003","AQS","9","44",".",".","27"
"01/16/2004","59","PM2.5","South Lake Tahoe-Sandy Way","06-017-0011","AQS","10","46","44","59","37"
"01/17/2004","49","NO2","South Lake Tahoe-Sandy Way","06-017-0011","AQS","14","45",".",".","49"
"01/18/2004","44","Ozone","Echo Summit","06-017-0012","AQS","14","44",".",".","30"
"01/19/2004","43","Ozone","Echo Summit","06-017-0012","AQS","8","43",".","8","29"
"01/20/2004","43","Ozone","","06-017-2003","AQS","7","43",".",".","19"
"01/21/2004","49","Ozone","","06-017-2003","AQS","8","49",".",".","40"
"01/22/2004","57","PM2.5","South Lake Tahoe-Sandy Way","06-017-0011","AQS","13","54","42","57","44"
"01/23/2004","48","Ozone","Echo Summit","06-017-0012","AQS","11","48",".",".","34"
"01/24/2004","45","Ozone","Echo Summit","06-017-0012","AQS","8","45",".",".","9"
"01/25/2004","46","Ozone","Echo Summit","06-017-0012","AQS","5","46",".","2","25"
"01/26/2004","46","Ozone","Echo Summit","06-017-0012","AQS","5","46",".",".","12"
"01/27/2004","42","Ozone","Echo Summit","06-017-0012","AQS","7","42",".",".","26"
"01/28/2004","40","Ozone","Echo Summit","06-017-0012","AQS","9","40","14","38","34"
"01/29/2004","46","Ozone","","06-017-2003","AQS","11","46",".",".","42"
"01/30/2004","44","Ozone","Echo Summit","06-017-0012","AQS","11","44",".",".","18"
"01/31/2004","47","Ozone","Echo Summit","06-017-0012","AQS","6","47",".","3","33"
"02/01/2004","44","Ozone","Echo Summit","06-017-0012","AQS","6","44",".",".","12"
"02/02/2004","45","Ozone","","06-017-2003","AQS","5","45",".",".","23"
"02/03/2004","44","Ozone","","06-017-2003","AQS","5","44","5","17","23"
