"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"06/29/2017","112","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"06/30/2017","119","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"07/01/2017","64","Ozone","El Centro-9th Street","06-025-1003","AQS"
"07/02/2017","57","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/03/2017","80","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"07/04/2017","112","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"07/05/2017","79","PM10","Westmorland","06-025-4003","AQS"
"07/06/2017","93","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"07/07/2017","100","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"07/08/2017","117","PM10","Westmorland","06-025-4003","AQS"
"07/09/2017","69","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/10/2017","64","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/11/2017","60","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/12/2017","97","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"07/13/2017","74","Ozone","El Centro-9th Street","06-025-1003","AQS"
"07/14/2017","77","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"07/15/2017","62","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/16/2017","47","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/17/2017","45","PM10","Niland-English Road","06-025-4004","AQS"
"07/18/2017","39","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/19/2017","45","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/20/2017","51","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/21/2017","54","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/22/2017","58","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/23/2017","103","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"07/24/2017","58","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/25/2017","55","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/26/2017","61","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"07/27/2017","74","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"07/28/2017","86","PM10","El Centro-9th Street","06-025-1003","AQS"
"07/29/2017","53","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"07/30/2017","71","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"07/31/2017","67","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"08/01/2017","42","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"08/02/2017","55","PM10","El Centro-9th Street","06-025-1003","AQS"
"08/03/2017","63","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"08/04/2017","52","PM10","Brawley-220 Main Street","06-025-0007","AQS"
"08/05/2017","64","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"08/06/2017","80","Ozone","El Centro-9th Street","06-025-1003","AQS"
"08/07/2017","87","Ozone","El Centro-9th Street","06-025-1003","AQS"
"08/08/2017","87","Ozone","El Centro-9th Street","06-025-1003","AQS"
"08/09/2017","58","Ozone","El Centro-9th Street","06-025-1003","AQS"
"08/10/2017","55","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/11/2017","46","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/12/2017","52","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/13/2017","58","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"08/14/2017","77","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"08/15/2017","46","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"08/16/2017","43","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/17/2017","51","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/18/2017","53","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"08/19/2017","58","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
