"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/28/2008","30","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"01/29/2008","31","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/30/2008","38","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"01/31/2008","32","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"02/01/2008","57","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/02/2008","34","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/03/2008","35","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"02/04/2008","32","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"02/05/2008","42","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/06/2008","58","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/07/2008","67","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/08/2008","72","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/09/2008","70","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/10/2008","69","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/11/2008","59","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/12/2008","70","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/13/2008","38","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"02/14/2008","37","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"02/15/2008","37","Ozone","Colfax-City Hall","06-061-0004","AQS"
"02/16/2008","60","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/17/2008","63","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/18/2008","68","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/19/2008","57","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/20/2008","36","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"02/21/2008","38","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"02/22/2008","38","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/23/2008","41","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"02/24/2008","39","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"02/25/2008","53","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/26/2008","54","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/27/2008","52","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/28/2008","51","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"02/29/2008","58","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/01/2008","42","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/02/2008","40","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/03/2008","40","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS"
"03/04/2008","45","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS"
"03/05/2008","45","Ozone","Colfax-City Hall","06-061-0004","AQS"
"03/06/2008","43","Ozone","Colfax-City Hall","06-061-0004","AQS"
