"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"03/01/2001","53","NO2","Echo Summit","06-017-0012","AQS"
"03/02/2001","49","Ozone","Echo Summit","06-017-0012","AQS"
"03/03/2001","51","Ozone","Echo Summit","06-017-0012","AQS"
"03/04/2001","49","Ozone","Echo Summit","06-017-0012","AQS"
"03/05/2001","47","Ozone","Echo Summit","06-017-0012","AQS"
"03/06/2001","43","Ozone","Echo Summit","06-017-0012","AQS"
"03/07/2001","42","Ozone","Echo Summit","06-017-0012","AQS"
"03/08/2001","49","Ozone","Echo Summit","06-017-0012","AQS"
"03/09/2001","48","Ozone","Echo Summit","06-017-0012","AQS"
"03/10/2001","44","Ozone","Echo Summit","06-017-0012","AQS"
"03/11/2001","61","Ozone","Echo Summit","06-017-0012","AQS"
"03/12/2001","49","Ozone","Echo Summit","06-017-0012","AQS"
"03/13/2001","64","Ozone","Echo Summit","06-017-0012","AQS"
"03/14/2001","67","Ozone","Echo Summit","06-017-0012","AQS"
"03/15/2001","61","Ozone","Echo Summit","06-017-0012","AQS"
"03/16/2001","71","Ozone","Echo Summit","06-017-0012","AQS"
"03/17/2001","44","Ozone","Echo Summit","06-017-0012","AQS"
"03/18/2001","47","Ozone","Echo Summit","06-017-0012","AQS"
"03/19/2001","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS"
"03/20/2001","64","Ozone","Echo Summit","06-017-0012","AQS"
"03/21/2001","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS"
"03/22/2001","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS"
"03/23/2001","41","Ozone","Echo Summit","06-017-0012","AQS"
"03/24/2001","45","Ozone","Echo Summit","06-017-0012","AQS"
"03/25/2001","43","Ozone","Echo Summit","06-017-0012","AQS"
"03/26/2001","50","Ozone","Echo Summit","06-017-0012","AQS"
"03/27/2001","45","Ozone","Echo Summit","06-017-0012","AQS"
"03/28/2001","47","Ozone","Echo Summit","06-017-0012","AQS"
"03/29/2001","49","Ozone","Echo Summit","06-017-0012","AQS"
"03/30/2001","48","Ozone","Echo Summit","06-017-0012","AQS"
"03/31/2001","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS"
"04/01/2001","74","Ozone","Echo Summit","06-017-0012","AQS"
"04/02/2001","84","Ozone","Echo Summit","06-017-0012","AQS"
"04/03/2001","67","Ozone","Echo Summit","06-017-0012","AQS"
"04/04/2001","74","Ozone","Echo Summit","06-017-0012","AQS"
"04/05/2001","77","Ozone","Echo Summit","06-017-0012","AQS"
"04/06/2001","74","Ozone","Echo Summit","06-017-0012","AQS"
"04/07/2001","50","Ozone","Echo Summit","06-017-0012","AQS"
"04/08/2001","51","Ozone","Echo Summit","06-017-0012","AQS"
"04/09/2001","50","Ozone","Echo Summit","06-017-0012","AQS"
"04/10/2001","67","Ozone","Echo Summit","06-017-0012","AQS"
"04/11/2001","61","Ozone","Echo Summit","06-017-0012","AQS"
"04/12/2001","100","Ozone","Echo Summit","06-017-0012","AQS"
"04/13/2001","93","Ozone","Echo Summit","06-017-0012","AQS"
"04/14/2001","108","Ozone","Echo Summit","06-017-0012","AQS"
"04/15/2001","105","Ozone","Echo Summit","06-017-0012","AQS"
"04/16/2001","101","Ozone","Echo Summit","06-017-0012","AQS"
"04/17/2001","101","Ozone","Echo Summit","06-017-0012","AQS"
"04/18/2001","64","Ozone","Echo Summit","06-017-0012","AQS"
"04/19/2001","54","Ozone","Echo Summit","06-017-0012","AQS"
"04/20/2001","51","Ozone","Echo Summit","06-017-0012","AQS"
"04/21/2001","49","Ozone","Echo Summit","06-017-0012","AQS"
"04/22/2001","50","Ozone","Echo Summit","06-017-0012","AQS"
"04/23/2001","44","Ozone","Echo Summit","06-017-0012","AQS"
"04/24/2001","61","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS"
"04/25/2001","93","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS"
"04/26/2001","77","Ozone","Echo Summit","06-017-0012","AQS"
"04/27/2001","46","Ozone","Echo Summit","06-017-0012","AQS"
"04/28/2001","71","Ozone","Echo Summit","06-017-0012","AQS"
"04/29/2001","74","Ozone","Echo Summit","06-017-0012","AQS"
"04/30/2001","61","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS"
"05/01/2001","84","Ozone","Echo Summit","06-017-0012","AQS"
"05/02/2001","58","Ozone","Echo Summit","06-017-0012","AQS"
"05/03/2001","71","Ozone","Echo Summit","06-017-0012","AQS"
"05/04/2001","101","Ozone","Cool","06-017-0020","AQS"
"05/05/2001","87","Ozone","Cool","06-017-0020","AQS"
"05/06/2001","97","Ozone","Cool","06-017-0020","AQS"
"05/07/2001","133","Ozone","Cool","06-017-0020","AQS"
"05/08/2001","164","Ozone","Cool","06-017-0020","AQS"
"05/09/2001","179","Ozone","Cool","06-017-0020","AQS"
"05/10/2001","169","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS"
"05/11/2001","174","Ozone","Cool","06-017-0020","AQS"
"05/12/2001","80","Ozone","Cool","06-017-0020","AQS"
"05/13/2001","67","Ozone","Echo Summit","06-017-0012","AQS"
"05/14/2001","71","Ozone","Cool","06-017-0020","AQS"
