"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2001","44","PM2.5","Clute","48-039-1003","AQS"
"01/02/2001","24","Ozone","Clute","48-039-1003","AQS"
"01/03/2001","22","Ozone","Clute","48-039-1003","AQS"
"01/04/2001","59","PM2.5","Clute","48-039-1003","AQS"
"01/05/2001","37","Ozone","Clute","48-039-1003","AQS"
"01/06/2001","31","Ozone","Clute","48-039-1003","AQS"
"01/07/2001","38","PM2.5","Clute","48-039-1003","AQS"
"01/08/2001","21","Ozone","Clute","48-039-1003","AQS"
"01/09/2001","34","Ozone","Clute","48-039-1003","AQS"
"01/10/2001","28","Ozone","Clute","48-039-1003","AQS"
"01/11/2001","21","Ozone","Clute","48-039-1003","AQS"
"01/12/2001","19","Ozone","Clute","48-039-1003","AQS"
"01/13/2001","45","PM2.5","Clute","48-039-1003","AQS"
"01/14/2001","25","Ozone","Clute","48-039-1003","AQS"
"01/15/2001","19","Ozone","Clute","48-039-1003","AQS"
"01/16/2001","29","PM2.5","Clute","48-039-1003","AQS"
"01/17/2001","12","Ozone","Clute","48-039-1003","AQS"
"01/18/2001","12","Ozone","Clute","48-039-1003","AQS"
"01/19/2001","27","PM2.5","Clute","48-039-1003","AQS"
"01/20/2001","31","Ozone","Clute","48-039-1003","AQS"
"01/21/2001","37","Ozone","Clute","48-039-1003","AQS"
"01/22/2001","52","PM2.5","Clute","48-039-1003","AQS"
"01/23/2001","41","Ozone","Clute","48-039-1003","AQS"
"01/24/2001","41","Ozone","Clute","48-039-1003","AQS"
"01/25/2001","101","Ozone","Clute","48-039-1003","AQS"
"01/26/2001","27","Ozone","Clute","48-039-1003","AQS"
"01/27/2001","43","Ozone","Clute","48-039-1003","AQS"
"01/28/2001","48","PM2.5","Clute","48-039-1003","AQS"
"01/29/2001","31","Ozone","Clute","48-039-1003","AQS"
"01/30/2001","32","Ozone","Clute","48-039-1003","AQS"
"01/31/2001","28","Ozone","Clute","48-039-1003","AQS"
"02/01/2001","28","Ozone","Clute","48-039-1003","AQS"
"02/02/2001","19","Ozone","Clute","48-039-1003","AQS"
"02/03/2001","38","PM2.5","Clute","48-039-1003","AQS"
"02/04/2001","50","Ozone","Clute","48-039-1003","AQS"
"02/05/2001","39","Ozone","Clute","48-039-1003","AQS"
"02/06/2001","38","PM2.5","Clute","48-039-1003","AQS"
"02/07/2001","33","Ozone","Clute","48-039-1003","AQS"
"02/08/2001","31","Ozone","Clute","48-039-1003","AQS"
"02/09/2001","26","Ozone","Clute","48-039-1003","AQS"
"02/10/2001","33","Ozone","Clute","48-039-1003","AQS"
"02/11/2001","18","Ozone","Clute","48-039-1003","AQS"
"02/12/2001","57","PM2.5","Clute","48-039-1003","AQS"
