"","index","Oklahoma","New.York","Florida","California","Texas","Wyoming","Ohio","North.Dakota","West.Virginia","Pennsylvania"
"1","MAE","12.1012424656019","8.31442209685132","9.19131476626386","10.933581954838","8.1362119950079","6.7903914791023","13.6673563836729","9.89874726312191","7.07554346651387","8.60591456741141"
"2","MSE","238.867065640465","96.2045571677932","145.460588310017","212.638273588707","119.914054194136","81.5979268982199","254.776479721587","161.625473681239","73.7176899384744","131.00954319957"
"3","best.careparam","0.8","0.6","0.7","1","0.9","0.5","0.9","0.4","0.5","0.6"
"4","adj.r.sq","0.582696557916593","0.605683501284896","0.621382744704956","0.857469607108342","0.487601098481078","0.40416589800955","0.60414565822775","0.46399866021015","0.161827638256745","0.577068797671948"
"5","t3.pvals","c(""naturalgas"", ""coal"", ""hydroelectric"")","c(""naturalgas"", ""hydroelectric"", ""wood"")","c(""naturalgas"", ""coal"", ""nuclear"")","c(""wind"", ""naturalgas"", ""hydroelectric"")","c(""naturalgas"", ""coal"", ""wind"")","c(""wind"", ""hydroelectric"", ""naturalgas"")","c(""biomass"", ""naturalgas"", ""coal"")","c(""coal"", ""hydroelectric"", NA)","c(""coal"", ""naturalgas"", ""hydroelectric"")","c(""coal"", ""naturalgas"", ""biomass"")"
