date,california,texas,n_dakota,wyoming,pennsylvania,w_virginia,oklahoma,florida,new_york,ohio
2004/7/31,81.10599078,49.8172043,37.64516129,39.70430108,73.2311828,51.41129032,51.43010753,57.09032258,60.30322581,69.13709677
2004/8/31,74.78801843,66.69354839,33.77419355,40.39247312,68.03225806,49.89247312,55.93548387,49.98709677,52.81451613,66.12096774
2004/9/30,71.72380952,73.17777778,32.8,36.07777778,55.79444444,44.33611111,66.76111111,41.455,45.16,69.175
2004/10/31,55.40092166,36.66129032,28.77419355,32.54032258,45.40860215,31.28494624,31.55376344,51.80645161,35.91612903,55.02419355
2004/11/30,54.06666667,34.45555556,26.53333333,30.125,42.5,27.8,24.5,43.355,36.41166667,46.61666667
2004/12/31,59.42857143,33.79032258,25.4516129,31.84677419,44.32795699,26.77419355,26.66666667,44.40645161,37.31612903,46.87903226
2005/1/31,53.43778802,36.9516129,29.27956989,37,46.05913978,28.57795699,23.86021505,45.14193548,40.72258065,41.51612903
2005/2/28,46.39795918,41.6547619,33.69047619,46.60714286,58.72619048,32.24107143,28.73809524,47.82857143,46.52142857,45.12202381
2005/3/31,48.29032258,49.37096774,38.02688172,40.24193548,51.32258065,34.28763441,40.98924731,56.69677419,48.66451613,43.95430108
2005/4/30,57.20952381,62.3,43.96666667,45.00833333,58.2,47.64166667,51.55555556,61.56666667,53.03333333,60.94166667
2005/5/31,59.70967742,63.9311828,39.72043011,40.25537634,54.71505376,44.59408602,49.13978495,62.69032258,48.19354839,62.04032258
2005/6/30,66.30952381,61.97777778,40.88333333,42.40833333,78.62222222,56.04722222,65.72222222,47.96,69.82,83.99166667
2005/7/31,88.52073733,54.10430108,41.39247312,48.87903226,77.51612903,51.30645161,61.7688172,50.95322581,68.83225806,80.97580645
2005/8/31,79.65437788,58.16666667,38.88172043,44.27419355,76.29032258,55.77419355,54.46236559,49.43870968,68.71612903,78.29032258
2005/9/30,65.48095238,64.92944444,35.36666667,39.3,65.27777778,52.43055556,60.03888889,58.90666667,51.70666667,70.025
2005/10/31,58.42396313,58.57096774,29.29032258,33.11290323,40.64516129,30.25806452,44.21505376,47.18548387,34.02096774,47.25806452
2005/11/30,50.81904762,38.52666667,26.13888889,33.5,48.57222222,33.05833333,32.97777778,43.84666667,40.98,36.51666667
