"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2016","41","PM2.5","Dallas Hinton","48-113-0069","AQS","3","28","41","23"
"01/02/2016","28","PM2.5","Dallas Hinton","48-113-0069","AQS","3","24","28","28"
"01/03/2016","43","PM2.5","Dallas Hinton","48-113-0069","AQS","5","30","43","30"
"01/04/2016","35","PM2.5","Dallas Hinton","48-113-0069","AQS","5","26","35","34"
"01/05/2016","47","PM2.5","Dallas Hinton","48-113-0069","AQS","5","19","47","25"
"01/06/2016","52","PM2.5","Dallas Hinton","48-113-0069","AQS","3","18","52","21"
"01/07/2016","30","PM2.5","Dallas Hinton","48-113-0069","AQS","3","19","30","20"
"01/08/2016","54","PM2.5","Dallas Hinton","48-113-0069","AQS","8","9","54","27"
"01/09/2016","23","PM2.5","Dallas Hinton","48-113-0069","AQS","3","21","23","10"
"01/10/2016","33","PM2.5","Dallas Hinton","48-113-0069","AQS","3","29","33","26"
"01/11/2016","37","PM2.5","Dallas Hinton","48-113-0069","AQS","5","26","37","34"
"01/12/2016","47","PM2.5","Dallas Hinton","48-113-0069","AQS","6","31","47","43"
"01/13/2016","43","PM2.5","Dallas Hinton","48-113-0069","AQS","7","40","43","32"
"01/14/2016","38","Ozone","Dallas North #2","48-113-0075","AQS","3","38","31","27"
"01/15/2016","39","NO2","Dallas Hinton","48-113-0069","AQS","6","31","23","39"
"01/16/2016","29","NO2","Dallas Redbird Airport Executive","48-113-0087","AQS","6","27","24","29"
"01/17/2016","51","PM2.5","Dallas Hinton","48-113-0069","AQS","5","28","51","34"
"01/18/2016","46","PM2.5","Dallas Hinton","48-113-0069","AQS","5","19","46","31"
"01/19/2016","47","PM2.5","Dallas Hinton","48-113-0069","AQS","5","33","47","28"
"01/20/2016","54","PM2.5","Dallas Hinton","48-113-0069","AQS","3","15","54","23"
"01/21/2016","50","PM2.5","Dallas Hinton","48-113-0069","AQS","3","22","50","18"
"01/22/2016","43","PM2.5","Convention Center","48-113-0050","AQS","2","31","43","22"
"01/23/2016","53","PM2.5","Dallas Hinton","48-113-0069","AQS","3","20","53","21"
"01/24/2016","40","Ozone","Dallas Hinton","48-113-0069","AQS","3","40","33","15"
"01/25/2016","34","NO2","Dallas Hinton","48-113-0069","AQS","3","31","23","34"
"01/26/2016","29","NO2","Dallas Hinton","48-113-0069","AQS","5","22","17","29"
"01/27/2016","41","NO2","Dallas North #2","48-113-0075","AQS","7","30","32","41"
