"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2002","36","PM2.5","Dallas Hinton","48-113-0069","AQS",".","31",".","36","17"
"01/02/2002","49","PM2.5","BOY'S  CLUB","48-113-0057","AQS",".","24","23","49","33"
"01/03/2002","63","PM2.5","Convention Center","48-113-0050","AQS",".","21",".","63","42"
"01/04/2002","56","PM2.5","Convention Center","48-113-0050","AQS",".","33",".","56","35"
"01/05/2002","61","PM2.5","BOY'S  CLUB","48-113-0057","AQS",".","21",".","61","28"
"01/06/2002","31","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS",".","31",".","16","30"
"01/07/2002","42","NO2","Dallas Hinton","48-113-0069","AQS",".","24",".","31","42"
"01/08/2002","41","NO2","Dallas Hinton","48-113-0069","AQS",".","34","30","40","41"
"01/09/2002","49","PM2.5","Convention Center","48-113-0050","AQS",".","37",".","49","40"
"01/10/2002","41","PM2.5","Convention Center","48-113-0050","AQS",".","24",".","41","24"
"01/11/2002","51","NO2","Dallas Hinton","48-113-0069","AQS","10","27",".","28","51"
"01/12/2002","44","NO2","Dallas Hinton","48-113-0069","AQS","16","33",".","40","44"
"01/13/2002","38","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","11","38",".","34","35"
"01/14/2002","52","PM10","BOY'S  CLUB","48-113-0057","AQS","13","27","52","38","49"
"01/15/2002","58","NO2","Dallas Hinton","48-113-0069","AQS","23","37",".","54","58"
"01/16/2002","38","PM2.5","Convention Center","48-113-0050","AQS","3","34",".","38","37"
"01/17/2002","53","PM2.5","Convention Center","48-113-0050","AQS","3","7",".","53","23"
"01/18/2002","82","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","5","12",".","82","22"
"01/19/2002","61","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","11","27",".","61","42"
"01/20/2002","54","PM2.5","SOUTH OF COIT RD. & CHURCHILL WAY INTERSECTION","48-113-0035","AQS","16","32","21","54","37"
