"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2006","75","PM2.5","Dallas Hinton","48-113-0069","AQS","5","35",".","75","24"
"01/02/2006","60","PM2.5","Convention Center","48-113-0050","AQS","5","30",".","60","35"
"01/03/2006","45","NO2","Dallas Hinton","48-113-0069","AQS","10","44",".","42","45"
"01/04/2006","38","NO2","Dallas Hinton","48-113-0069","AQS","5","27",".","34","38"
"01/05/2006","33","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","5","33","24","21","29"
"01/06/2006","40","NO2","Dallas Hinton","48-113-0069","AQS","8","30",".","16","40"
"01/07/2006","40","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","9","40",".","23","36"
"01/08/2006","43","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","10","43",".","42","42"
"01/09/2006","62","PM2.5","Dallas Hinton","48-113-0069","AQS","13","31",".","62","46"
"01/10/2006","39","NO2","Dallas Hinton","48-113-0069","AQS","9","23",".","29","39"
"01/11/2006","47","PM2.5","Convention Center","48-113-0050","AQS","10","36","26","47","36"
"01/12/2006","43","PM2.5","Dallas Hinton","48-113-0069","AQS","5","33",".","43","27"
"01/13/2006","35","NO2","Dallas Hinton","48-113-0069","AQS","5","32",".","15","35"
"01/14/2006","37","NO2","Dallas Hinton","48-113-0069","AQS","8","34",".","28","37"
"01/15/2006","40","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","3","40",".","22","16"
"01/16/2006","31","PM2.5","Dallas Hinton","48-113-0069","AQS","5","29",".","31","23"
"01/17/2006","38","NO2","Dallas Hinton","48-113-0069","AQS","7","31","16","16","38"
"01/18/2006","35","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","7","35",".","19","32"
"01/19/2006","42","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","5","42",".","39","13"
"01/20/2006","35","PM2.5","Convention Center","48-113-0050","AQS","6","34",".","35","29"
"01/21/2006","33","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","5","33",".","25","19"
"01/22/2006","23","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","5","23",".","20","12"
"01/23/2006","50","PM2.5","Convention Center","48-113-0050","AQS","9","25","21","50","41"
"01/24/2006","52","PM2.5","Dallas Hinton","48-113-0069","AQS","15","31",".","52","50"
"01/25/2006","50","PM2.5","Dallas Hinton","48-113-0069","AQS","23","32",".","50","46"
"01/26/2006","37","NO2","Dallas Hinton","48-113-0069","AQS","6","31",".","25","37"
"01/27/2006","51","PM2.5","Dallas Hinton","48-113-0069","AQS","7","29",".","51","35"
"01/28/2006","33","NO2","Dallas Hinton","48-113-0069","AQS","7","29",".","25","33"
"01/29/2006","41","PM2.5","Convention Center","48-113-0050","AQS","6","41","28","41","39"
"01/30/2006","44","NO2","Dallas Hinton","48-113-0069","AQS","9","35",".","25","44"
"01/31/2006","42","NO2","Dallas Redbird Airport Executive","48-113-0087","AQS","14","40",".","25","42"
"02/01/2006","45","PM2.5","Convention Center","48-113-0050","AQS","6","31",".","45","27"
"02/02/2006","58","NO2","Dallas Hinton","48-113-0069","AQS","14","46",".","47","58"
"02/03/2006","52","NO2","Dallas Redbird Airport Executive","48-113-0087","AQS","18","36",".","28","52"
"02/04/2006","39","NO2","Dallas Redbird Airport Executive","48-113-0087","AQS","14","35","24","28","39"
"02/05/2006","49","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","8","49",".","23","44"
"02/06/2006","38","NO2","Dallas Hinton","48-113-0069","AQS","3","34",".","26","38"
"02/07/2006","52","PM2.5","Convention Center","48-113-0050","AQS","9","26",".","52","42"
"02/08/2006","47","NO2","Dallas Hinton","48-113-0069","AQS","5","33",".","26","47"
"02/09/2006","45","PM2.5","Dallas Hinton","48-113-0069","AQS","5","45",".","45","36"
"02/10/2006","57","PM2.5","Convention Center","48-113-0050","AQS","5","35","21","57","35"
"02/11/2006","34","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS",".","34",".","15","16"
"02/12/2006","38","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS",".","38",".","21","31"
"02/13/2006","39","NO2","Dallas Hinton","48-113-0069","AQS","3","37",".","28","39"
"02/14/2006","46","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","5","46",".","28","34"
"02/15/2006","43","PM2.5","Dallas Hinton","48-113-0069","AQS","3","41",".","43","11"
"02/16/2006","59","PM2.5","Dallas Hinton","48-113-0069","AQS","2","38","59","59","14"
"02/17/2006","32","PM2.5","Dallas Hinton","48-113-0069","AQS","3","27",".","32","14"
"02/18/2006","46","PM2.5","Dallas Hinton","48-113-0069","AQS","6","24",".","46","10"
"02/19/2006","58","PM2.5","Convention Center","48-113-0050","AQS","6","27",".","58","19"
"02/20/2006","63","PM2.5","Dallas Hinton","48-113-0069","AQS","3","19",".","63","27"
"02/21/2006","72","PM2.5","Dallas Hinton","48-113-0069","AQS","3","11",".","72","18"
"02/22/2006","67","PM2.5","Convention Center","48-113-0050","AQS","3","5","21","67","17"
"02/23/2006","64","PM2.5","Dallas Hinton","48-113-0069","AQS","7","36",".","64","39"
"02/24/2006","53","PM2.5","Dallas Hinton","48-113-0069","AQS","7","31",".","53","40"
"02/25/2006","38","PM2.5","Dallas Hinton","48-113-0069","AQS","5","23",".","38","26"
"02/26/2006","45","NO2","Dallas Hinton","48-113-0069","AQS","5","38",".","33","45"
"02/27/2006","51","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","5","51",".","33","35"
"02/28/2006","46","Ozone","Dallas North #2","48-113-0075","AQS","3","46","44","44","15"
"03/01/2006","51","PM2.5","Dallas Hinton","48-113-0069","AQS",".","47",".","51","24"
"03/02/2006","48","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","3","48",".","34","27"
"03/03/2006","48","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","6","48",".","31","36"
