"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"06/14/2001","55","PM2.5","Convention Center","48-113-0050","AQS","2","36",".","55","18"
"06/15/2001","105","Ozone","Dallas Hinton","48-113-0069","AQS","5","105",".","53","48"
"06/16/2001","147","Ozone","Dallas North #2","48-113-0075","AQS","5","147",".","52","42"
"06/17/2001","90","Ozone","Dallas North #2","48-113-0075","AQS","5","90",".","54","39"
"06/18/2001","140","Ozone","Dallas North #2","48-113-0075","AQS","7","140","34","63","46"
"06/19/2001","136","Ozone","Dallas North #2","48-113-0075","AQS","6","136",".","77","50"
"06/20/2001","143","Ozone","Dallas North #2","48-113-0075","AQS","6","143",".","70","54"
"06/21/2001","54","PM2.5","BOY'S  CLUB","48-113-0057","AQS","5","49",".","54","30"
"06/22/2001","101","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","5","101",".","34","48"
"06/23/2001","119","Ozone","Dallas North #2","48-113-0075","AQS","6","119",".","53","53"
"06/24/2001","105","Ozone","Dallas Hinton","48-113-0069","AQS","6","105","25","62","42"
"06/25/2001","119","Ozone","Dallas Hinton","48-113-0069","AQS","6","119",".","68","44"
"06/26/2001","143","Ozone","Dallas North #2","48-113-0075","AQS","5","143",".","76","46"
"06/27/2001","75","PM2.5","BOY'S  CLUB","48-113-0057","AQS","5","39",".","75","29"
"06/28/2001","67","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","2","46",".","67","19"
"06/29/2001","49","PM2.5","Convention Center","48-113-0050","AQS","2","40",".","49","22"
"06/30/2001","52","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","2","33","24","52","24"
"07/01/2001","49","Ozone","Dallas North #2","48-113-0075","AQS","3","49",".","32","18"
"07/02/2001","59","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","5","50",".","59","43"
"07/03/2001","93","Ozone","Dallas North #2","48-113-0075","AQS","7","93",".","64","51"
"07/04/2001","90","Ozone","Dallas North #2","48-113-0075","AQS","3","90",".","61","24"
"07/05/2001","58","Ozone","Dallas North #2","48-113-0075","AQS","5","58",".","48","32"
"07/06/2001","58","Ozone","Dallas North #2","48-113-0075","AQS","5","58","33","48","38"
"07/07/2001","77","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","3","77",".","51","27"
"07/08/2001","51","PM2.5","Convention Center","48-113-0050","AQS","3","44",".","51","17"
"07/09/2001","52","PM2.5","Convention Center","48-113-0050","AQS","3","47",".","52","21"
"07/10/2001","58","Ozone","Dallas North #2","48-113-0075","AQS","3","58",".","53","23"
"07/11/2001","67","Ozone","Dallas North #2","48-113-0075","AQS","6","67",".","53","31"
"07/12/2001","61","Ozone","Dallas North #2","48-113-0075","AQS","3","61","41","43","24"
"07/13/2001","97","Ozone","Dallas North #2","48-113-0075","AQS","3","97",".","67","28"
"07/14/2001","156","Ozone","Dallas Hinton","48-113-0069","AQS","5","156",".","72","20"
"07/15/2001","71","PM2.5","BOY'S  CLUB","48-113-0057","AQS","5","47",".","71","10"
"07/16/2001","66","PM2.5","Convention Center","48-113-0050","AQS","3","61",".","66","28"
"07/17/2001","63","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","3","44",".","63","25"
"07/18/2001","64","PM2.5","Dallas Hinton","48-113-0069","AQS","3","58","41","64","23"
"07/19/2001","65","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","3","64",".","65","37"
"07/20/2001","55","PM2.5","Convention Center","48-113-0050","AQS","3","48",".","55","39"
"07/21/2001","80","Ozone","Dallas North #2","48-113-0075","AQS","3","80",".","58","18"
"07/22/2001","67","Ozone","Dallas North #2","48-113-0075","AQS","3","67",".","56","24"
"07/23/2001","115","Ozone","Dallas North #2","48-113-0075","AQS","6","115",".","64","40"
"07/24/2001","122","Ozone","Dallas North #2","48-113-0075","AQS","5","122","47","80","24"
"07/25/2001","112","Ozone","Dallas North #2","48-113-0075","AQS","6","112",".","70","42"
"07/26/2001","90","Ozone","Dallas North #2","48-113-0075","AQS","5","90",".","59","42"
"07/27/2001","51","PM2.5","BOY'S  CLUB","48-113-0057","AQS","5","50",".","51","22"
"07/28/2001","46","Ozone","Dallas North #2","48-113-0075","AQS","3","46",".","40","12"
"07/29/2001","38","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","3","38",".","36","14"
"07/30/2001","40","Ozone","Dallas North #2","48-113-0075","AQS","3","40","30","37","20"
"07/31/2001","41","PM2.5","Dallas Hinton","48-113-0069","AQS","2","38",".","41","19"
"08/01/2001","61","Ozone","Dallas North #2","48-113-0075","AQS","3","61",".","44","21"
"08/02/2001","100","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","3","100",".","63","25"
"08/03/2001","126","Ozone","Dallas North #2","48-113-0075","AQS","6","126",".","74","51"
"08/04/2001","207","Ozone","Dallas Hinton","48-113-0069","AQS","7","207",".","68","47"
"08/05/2001","136","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","6","136","38","68","37"
"08/06/2001","119","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","1","119",".","72","43"
"08/07/2001","108","Ozone","Dallas North #2","48-113-0075","AQS","5","108",".","66","42"
"08/08/2001","64","Ozone","Dallas North #2","48-113-0075","AQS","3","64",".","52","31"
