"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","57","PM2.5","Convention Center","48-113-0050","AQS","6","29",".","57","26"
"01/02/2020","28","PM2.5","Dallas Hinton","48-113-0069","AQS","2","19",".","28","17"
"01/03/2020","26","Ozone","Dallas North #2","48-113-0075","AQS","3","26",".","19","22"
"01/04/2020","36","NO2","Dallas LBJ Freeway","48-113-1067","AQS","5","32","19","33","36"
"01/05/2020","32","Ozone","Dallas North #2","48-113-0075","AQS","5","32",".","26","30"
"01/06/2020","32","NO2","Dallas LBJ Freeway","48-113-1067","AQS","5","31",".","30","32"
"01/07/2020","40","NO2","Dallas LBJ Freeway","48-113-1067","AQS","5","24",".","28","40"
"01/08/2020","41","Ozone","Dallas North #2","48-113-0075","AQS","5","41",".","30","32"
"01/09/2020","32","Ozone","Dallas North #2","48-113-0075","AQS","2","32",".","15","12"
"01/10/2020","28","PM2.5","Convention Center","48-113-0050","AQS","2","25","10","28","10"
"01/11/2020","26","NO2","Dallas LBJ Freeway","48-113-1067","AQS","3","23",".","25","26"
"01/12/2020","31","PM2.5","Dallas Hinton","48-113-0069","AQS","3","24",".","31","20"
"01/13/2020","43","PM2.5","Dallas Hinton","48-113-0069","AQS","2","23",".","43","17"
"01/14/2020","41","PM2.5","Dallas Hinton","48-113-0069","AQS","2","24",".","41","25"
"01/15/2020","28","PM2.5","Dallas Hinton","48-113-0069","AQS","2","18",".","28","22"
"01/16/2020","39","PM2.5","Dallas Hinton","48-113-0069","AQS","2","19","10","39","13"
"01/17/2020","34","PM2.5","Dallas Hinton","48-113-0069","AQS","2","17",".","34","12"
"01/18/2020","29","Ozone","Dallas North #2","48-113-0075","AQS","2","29",".","7","18"
"01/19/2020","35","Ozone","Dallas North #2","48-113-0075","AQS","5","35",".","15","30"
"01/20/2020","41","NO2","Dallas LBJ Freeway","48-113-1067","AQS","7","29",".","26","41"
"01/21/2020","44","PM2.5","Dallas Hinton","48-113-0069","AQS","8","25",".","44","38"
"01/22/2020","28","PM2.5","Convention Center","48-113-0050","AQS","3","22","13","28","11"
"01/23/2020","27","NO2","Dallas North #2","48-113-0075","AQS","5","24",".","0","27"
"01/24/2020","35","NO2","Dallas LBJ Freeway","48-113-1067","AQS","7","28",".","14","35"
"01/25/2020","38","Ozone","Dallas North #2","48-113-0075","AQS","7","38",".","25","33"
"01/26/2020","29","NO2","Dallas Redbird Airport Executive","48-113-0087","AQS","5","25",".","15","29"
"01/27/2020","42","PM2.5","Dallas Hinton","48-113-0069","AQS","6","24",".","42","25"
"01/28/2020","28","PM2.5","Convention Center","48-113-0050","AQS","2","25","7","28","8"
"01/29/2020","21","Ozone","Dallas North #2","48-113-0075","AQS","2","21",".","8","15"
"01/30/2020","22","PM2.5","Dallas Hinton","48-113-0069","AQS","3","19",".","22","22"
"01/31/2020","27","PM2.5","Convention Center","48-113-0050","AQS","3","26",".","27","26"
"02/01/2020","41","NO2","Dallas LBJ Freeway","48-113-1067","AQS","7","29",".","33","41"
"02/02/2020","39","Ozone","Dallas North #2","48-113-0075","AQS","7","39",".","13","37"
"02/03/2020","34","Ozone","Dallas North #2","48-113-0075","AQS","3","34","13","29","11"
"02/04/2020","23","Ozone","Dallas North #2","48-113-0075","AQS","3","23",".","17","12"
"02/05/2020","21","Ozone","Dallas Hinton","48-113-0069","AQS","3","21",".","3","12"
"02/06/2020","42","NO2","Dallas LBJ Freeway","48-113-1067","AQS","6","33",".","28","42"
"02/07/2020","37","NO2","Dallas North #2","48-113-0075","AQS","7","28",".","19","37"
"02/08/2020","36","Ozone","Dallas North #2","48-113-0075","AQS","9","36",".","28","30"
"02/09/2020","30","Ozone","Dallas North #2","48-113-0075","AQS","3","30","11","26","4"
"02/10/2020","19","Ozone","Dallas Hinton","48-113-0069","AQS","2","19",".","7","8"
"02/11/2020","25","PM2.5","Dallas Hinton","48-113-0069","AQS","2","22",".","25","9"
"02/12/2020","21","NO2","Dallas LBJ Freeway","48-113-1067","AQS","3","20",".","11","21"
"02/13/2020","23","Ozone","Dallas North #2","48-113-0075","AQS","3","23",".","16","21"
"02/14/2020","26","Ozone","Dallas North #2","48-113-0075","AQS","5","26",".","23","26"
"02/15/2020","37","PM2.5","Convention Center","48-113-0050","AQS","5","37","15","37","8"
"02/16/2020","40","Ozone","Dallas North #2","48-113-0075","AQS","3","40",".","28","11"
"02/17/2020","29","PM2.5","Dallas Hinton","48-113-0069","AQS","2","26",".","29","23"
"02/18/2020","27","PM2.5","Convention Center","48-113-0050","AQS","2","25",".","27","25"
"02/19/2020","27","Ozone","Dallas North #2","48-113-0075","AQS","2","27",".","21","21"
"02/20/2020","31","Ozone","Dallas Hinton","48-113-0069","AQS","2","31",".","17","16"
"02/21/2020","32","PM2.5","Convention Center","48-113-0050","AQS","3","32","17","32","32"
