"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"10/18/2017","48","Ozone","Dallas Hinton","48-113-0069","AQS","2","48","47","28"
"10/19/2017","77","Ozone","Dallas Hinton","48-113-0069","AQS","3","77","65","34"
"10/20/2017","47","PM2.5","Dallas Hinton","48-113-0069","AQS","2","33","47","29"
"10/21/2017","32","Ozone","Dallas Hinton","48-113-0069","AQS","1","32","23","11"
"10/22/2017","35","Ozone","Dallas Hinton","48-113-0069","AQS","3","35","13","26"
"10/23/2017","43","Ozone","Dallas North #2","48-113-0075","AQS","6","43","24","37"
"10/24/2017","34","Ozone","Dallas Hinton","48-113-0069","AQS","2","34","15","29"
"10/25/2017","43","NO2","Dallas Hinton","48-113-0069","AQS","6","37","29","43"
"10/26/2017","48","Ozone","Dallas North #2","48-113-0075","AQS","5","48","31","27"
"10/27/2017","29","Ozone","Dallas Hinton","48-113-0069","AQS","1","29","26","25"
"10/28/2017","36","Ozone","Dallas Hinton","48-113-0069","AQS","5","36","33","34"
"10/29/2017","43","Ozone","Dallas North #2","48-113-0075","AQS","7","43","28","25"
"10/30/2017","37","Ozone","Dallas North #2","48-113-0075","AQS","3","37","25","29"
"10/31/2017","25","Ozone","Dallas Hinton","48-113-0069","AQS","2","25","21","25"
"11/01/2017","52","PM2.5","Dallas Hinton","48-113-0069","AQS","2","31","52","17"
"11/02/2017","52","PM2.5","Dallas Hinton","48-113-0069","AQS","2","41","52","19"
"11/03/2017","58","PM2.5","Dallas Hinton","48-113-0069","AQS","6","24","58","34"
"11/04/2017","56","PM2.5","Dallas Hinton","48-113-0069","AQS","8","30","56","31"
"11/05/2017","43","PM2.5","Dallas Hinton","48-113-0069","AQS","1","28","43","12"
"11/06/2017","48","PM2.5","Dallas Hinton","48-113-0069","AQS","2","24","48","23"
"11/07/2017","30","PM2.5","Dallas Hinton","48-113-0069","AQS","2","15","30","10"
"11/08/2017","33","PM2.5","Dallas Hinton","48-113-0069","AQS","2","9","33","9"
"11/09/2017","43","PM2.5","Convention Center","48-113-0050","AQS","6",".","43","17"
"11/10/2017","55","PM2.5","Dallas Hinton","48-113-0069","AQS","13","32","55","28"
"11/11/2017","40","PM2.5","Dallas Hinton","48-113-0069","AQS","2","35","40","9"
"11/12/2017","57","PM2.5","Convention Center","48-113-0050","AQS","2","25","57","17"
"11/13/2017","64","PM2.5","Dallas Hinton","48-113-0069","AQS","3","16","64","17"
"11/14/2017","57","PM2.5","Dallas Hinton","48-113-0069","AQS","2","36","57","9"
"11/15/2017","45","PM2.5","Convention Center","48-113-0050","AQS","3","25","45","29"
"11/16/2017","64","PM2.5","Dallas Hinton","48-113-0069","AQS","3","23","64","30"
"11/17/2017","29","Ozone","Dallas North #2","48-113-0075","AQS","3","29","22","6"
"11/18/2017","34","Ozone","Dallas Hinton","48-113-0069","AQS","2","34","18","13"
"11/19/2017","36","NO2","Dallas Redbird Airport Executive","48-113-0087","AQS","6","34","22","36"
