"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"06/08/2017","105","Ozone","Dallas North #2","48-113-0075","AQS","2","105","54","15"
"06/09/2017","51","PM2.5","Dallas Hinton","48-113-0069","AQS","2","44","51","13"
"06/10/2017","67","Ozone","Dallas North #2","48-113-0075","AQS","2","67","44","8"
"06/11/2017","44","Ozone","Dallas North #2","48-113-0075","AQS","2","44","32","3"
"06/12/2017","42","PM2.5","Dallas Hinton","48-113-0069","AQS","1","41","42","8"
"06/13/2017","37","PM2.5","Dallas Hinton","48-113-0069","AQS","1","31","37","4"
"06/14/2017","51","PM2.5","Dallas Hinton","48-113-0069","AQS","1","28","51","4"
"06/15/2017","45","PM2.5","Convention Center","48-113-0050","AQS","1","32","45","8"
"06/16/2017","42","PM2.5","Dallas Hinton","48-113-0069","AQS","1","34","42","8"
"06/17/2017","35","PM2.5","Dallas Hinton","48-113-0069","AQS","1","29","35","5"
"06/18/2017","35","PM2.5","Dallas Hinton","48-113-0069","AQS","1","27","35","2"
"06/19/2017","41","Ozone","Dallas North #2","48-113-0075","AQS","1","41","21","12"
"06/20/2017","50","Ozone","Dallas North #2","48-113-0075","AQS","1","50","42","22"
"06/21/2017","43","Ozone","Dallas North #2","48-113-0075","AQS","2","43","38","26"
"06/22/2017","27","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","2","27","16","20"
"06/23/2017","84","Ozone","Dallas North #2","48-113-0075","AQS","3","84","45","18"
"06/24/2017","36","Ozone","Dallas Hinton","48-113-0069","AQS","2","36","22","19"
"06/25/2017","42","Ozone","Dallas Hinton","48-113-0069","AQS","1","42","27","13"
"06/26/2017","42","Ozone","Dallas Hinton","48-113-0069","AQS","2","42","35","23"
"06/27/2017","52","PM2.5","Convention Center","48-113-0050","AQS","2","38","52","25"
"06/28/2017","35","Ozone","Dallas North #2","48-113-0075","AQS",".","35","33","8"
"06/29/2017","39","Ozone","Dallas North #2","48-113-0075","AQS","1","39","26","6"
"06/30/2017","46","PM2.5","Dallas Hinton","48-113-0069","AQS","2","33","46","5"
"07/01/2017","31","Ozone","Dallas North #2","48-113-0075","AQS","2","31","22","19"
"07/02/2017","61","PM2.5","Dallas Hinton","48-113-0069","AQS","2","28","61","5"
"07/03/2017","42","PM2.5","Dallas Hinton","48-113-0069","AQS","1","39","42","6"
"07/04/2017","41","Ozone","Dallas North #2","48-113-0075","AQS","1","41","35","6"
"07/05/2017","45","PM2.5","Dallas Hinton","48-113-0069","AQS","1","33","45","12"
"07/06/2017","77","Ozone","Dallas North #2","48-113-0075","AQS","2","77","36","24"
"07/07/2017","41","Ozone","Dallas North #2","48-113-0075","AQS","5","41","35","28"
"07/08/2017","51","Ozone","Dallas North #2","48-113-0075","AQS","6","51","35","22"
"07/09/2017","43","Ozone","Dallas North #2","48-113-0075","AQS","2","43","29","8"
"07/10/2017","45","Ozone","Dallas North #2","48-113-0075","AQS","1","45","35","11"
"07/11/2017","51","PM2.5","Dallas Hinton","48-113-0069","AQS","2","33","51","12"
"07/12/2017","40","PM2.5","Dallas Hinton","48-113-0069","AQS","1","31","40","11"
"07/13/2017","38","Ozone","Dallas North #2","48-113-0075","AQS","2","38","37","11"
"07/14/2017","51","Ozone","Dallas North #2","48-113-0075","AQS","2","51","41","16"
"07/15/2017","41","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","2","41","37","18"
"07/16/2017","44","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","3","44","41","17"
"07/17/2017","42","Ozone","Dallas Hinton","48-113-0069","AQS","2","42","41","18"
"07/18/2017","50","PM2.5","Convention Center","48-113-0050","AQS","2","45","50","17"
"07/19/2017","52","PM2.5","Dallas Hinton","48-113-0069","AQS","2","43","52","13"
"07/20/2017","45","Ozone","Dallas North #2","48-113-0075","AQS","2","45","37","16"
"07/21/2017","52","PM2.5","Dallas Hinton","48-113-0069","AQS","2","45","52","15"
"07/22/2017","43","PM2.5","Dallas Hinton","48-113-0069","AQS","2","40","43","10"
"07/23/2017","40","Ozone","Dallas North #2","48-113-0075","AQS","1","40","36","8"
"07/24/2017","50","Ozone","Dallas North #2","48-113-0075","AQS","2","50","43","12"
"07/25/2017","82","PM2.5","Dallas Hinton","48-113-0069","AQS","1","33","82","10"
"07/26/2017","59","PM2.5","Dallas Hinton","48-113-0069","AQS","1","37","59","9"
"07/27/2017","47","Ozone","Dallas North #2","48-113-0075","AQS","1","47","25","12"
"07/28/2017","93","Ozone","Dallas North #2","48-113-0075","AQS","1","93","28","16"
"07/29/2017","74","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","2","74","53","17"
"07/30/2017","44","PM2.5","Convention Center","48-113-0050","AQS","2","44","44","13"
"07/31/2017","64","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","2","64","38","25"
"08/01/2017","77","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","2","77","62","40"
"08/02/2017","56","PM2.5","Convention Center","48-113-0050","AQS","3","34","56","22"
"08/03/2017","97","Ozone","Dallas Hinton","48-113-0069","AQS","3","97","52","20"
"08/04/2017","126","Ozone","Dallas Hinton","48-113-0069","AQS","3","126","61","28"
"08/05/2017","55","PM2.5","Convention Center","48-113-0050","AQS","3","50","55","11"
"08/06/2017","58","PM2.5","Dallas Hinton","48-113-0069","AQS","1","32","58","9"
"08/07/2017","46","Ozone","Dallas Hinton","48-113-0069","AQS","1","46","23","18"
"08/08/2017","41","Ozone","Dallas Hinton","48-113-0069","AQS","2","41","32","15"
