"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2001","153","PM2.5","Escondido","06-073-1002","AQS","49","42","65","153","83"
"01/02/2001","96","PM2.5","San Diego-12th Ave","06-073-1007","AQS","49","44",".","96","90"
"01/03/2001","98","NO2","San Diego-12th Ave","06-073-1007","AQS","52","45","70","89","98"
"01/04/2001","111","PM2.5","El Cajon","06-073-0003","AQS","50","48",".","111","86"
"01/05/2001","111","PM2.5","El Cajon","06-073-0003","AQS","57","40",".","111","71"
"01/06/2001","83","PM2.5","Escondido","06-073-1002","AQS","44","46",".","83","57"
"01/07/2001","114","PM2.5","Escondido","06-073-1002","AQS","38","47","53","114","76"
"01/08/2001","93","PM2.5","Escondido","06-073-1002","AQS","38","36",".","93","52"
"01/09/2001","88","PM2.5","Escondido","06-073-1002","AQS","35","34",".","88","67"
"01/10/2001","68","PM2.5","El Cajon","06-073-0003","AQS","35","41",".","68","34"
"01/11/2001","55","PM2.5","El Cajon","06-073-0003","AQS","25","42",".","55","41"
"01/12/2001","55","NO2","Camp Pendleton","06-073-1008","AQS","40","33",".","43","55"
"01/13/2001","75","PM2.5","El Cajon","06-073-0003","AQS","42","38","29","75","42"
"01/14/2001","107","PM2.5","Escondido","06-073-1002","AQS","28","43",".","107","42"
"01/15/2001","82","PM2.5","Escondido","06-073-1002","AQS","33","37",".","82","34"
"01/16/2001","56","PM2.5","Escondido","06-073-1002","AQS","25","35",".","56","53"
"01/17/2001","77","PM2.5","Escondido","06-073-1002","AQS","28","39",".","77","42"
"01/18/2001","91","PM2.5","El Cajon","06-073-0003","AQS","33","38","68","91","56"
"01/19/2001","96","PM2.5","Escondido","06-073-1002","AQS","41","32","48","96","60"
"01/20/2001","91","PM2.5","El Cajon","06-073-0003","AQS","49","35","55","91","88"
"01/21/2001","95","PM2.5","El Cajon","06-073-0003","AQS","34","39",".","95","63"
"01/22/2001","110","PM2.5","El Cajon","06-073-0003","AQS","40","42",".","110","51"
"01/23/2001","107","PM2.5","San Diego-12th Ave","06-073-1007","AQS","35","41","40","107","55"
"01/24/2001","97","PM2.5","El Cajon","06-073-0003","AQS","36","37",".","97","41"
"01/25/2001","75","PM2.5","El Cajon","06-073-0003","AQS","26","36","34","75","40"
"01/26/2001","67","PM2.5","Escondido","06-073-1002","AQS","34","31",".","67","43"
"01/27/2001","62","PM2.5","Escondido","06-073-1002","AQS","25","34",".","62","42"
