"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2011","160","PM2.5","Escondido","06-073-1002","AQS","26","40",".","160","35"
"01/02/2011","64","PM2.5","Escondido","06-073-1002","AQS","13","38",".","64","26"
"01/03/2011","48","PM2.5","Escondido","06-073-1002","AQS","8","36","19","48","42"
"01/04/2011","54","PM2.5","Escondido","06-073-1002","AQS","11","39",".","54","53"
"01/05/2011","66","PM2.5","Escondido","06-073-1002","AQS","19","31",".","66","62"
"01/06/2011","69","PM2.5","Escondido","06-073-1002","AQS","18","42","21","69","50"
"01/07/2011","71","PM2.5","Escondido","06-073-1002","AQS","13","37",".","71","53"
"01/08/2011","66","PM2.5","Escondido","06-073-1002","AQS","15","37",".","66","40"
"01/09/2011","61","PM2.5","Escondido","06-073-1002","AQS","9","41","24","61","36"
"01/10/2011","69","PM2.5","Escondido","06-073-1002","AQS","14","39",".","69","49"
"01/11/2011","63","PM2.5","Escondido","06-073-1002","AQS","19","39","60","63","57"
"01/12/2011","67","NO2","Otay Mesa","06-073-2007","AQS","17","30","23","56","67"
"01/13/2011","68","NO2","Otay Mesa","06-073-2007","AQS","22","36",".","57","68"
"01/14/2011","65","NO2","Otay Mesa","06-073-2007","AQS","19","38",".","52","65"
"01/15/2011","53","NO2","Otay Mesa","06-073-2007","AQS","18","42","52","48","53"
"01/16/2011","58","PM2.5","Escondido","06-073-1002","AQS","17","40",".","58","46"
"01/17/2011","62","NO2","San Diego - Beardsley Street","06-073-1010","AQS","16","38",".","60","62"
"01/18/2011","60","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","18","44","27","60","54"
"01/19/2011","67","NO2","Otay Mesa","06-073-2007","AQS","15","34",".","64","67"
"01/20/2011","54","PM2.5","San Diego - Beardsley Street","06-073-1010","AQS","15","40",".","54","54"
"01/21/2011","73","PM10","Otay Mesa","06-073-2007","AQS","15","40","73","56","60"
"01/22/2011","64","PM2.5","Escondido","06-073-1002","AQS","19","38",".","64","44"
"01/23/2011","60","PM2.5","Escondido","06-073-1002","AQS","20","45",".","60","41"
"01/24/2011","54","NO2","Otay Mesa","06-073-2007","AQS","18","43","27","52","54"
"01/25/2011","55","NO2","Otay Mesa","06-073-2007","AQS","20","39",".","54","55"
"01/26/2011","60","NO2","Otay Mesa","06-073-2007","AQS","19","40",".","40","60"
"01/27/2011","59","PM10","Otay Mesa","06-073-2007","AQS","14","40","59","36","56"
"01/28/2011","52","PM2.5","Escondido","06-073-1002","AQS","14","42",".","52","52"
"01/29/2011","61","PM2.5","Escondido","06-073-1002","AQS","16","45",".","61","38"
"01/30/2011","43","Ozone","Kearny Villa Rd.","06-073-1016","AQS","6","43","15","41","20"
"01/31/2011","44","NO2","Otay Mesa","06-073-2007","AQS","9","41",".","43","44"
"02/01/2011","53","PM2.5","Escondido","06-073-1002","AQS","11","39",".","53","42"
"02/02/2011","49","NO2","Otay Mesa","06-073-2007","AQS","10","45","43","43","49"
"02/03/2011","60","NO2","Otay Mesa","06-073-2007","AQS","15","44",".","57","60"
"02/04/2011","74","PM2.5","Escondido","06-073-1002","AQS","15","41",".","74","52"
"02/05/2011","88","PM2.5","Escondido","06-073-1002","AQS","15","43","32","88","42"
"02/06/2011","73","PM2.5","Escondido","06-073-1002","AQS","15","44",".","73","47"
"02/07/2011","53","NO2","Otay Mesa","06-073-2007","AQS","16","42",".","47","53"
"02/08/2011","58","PM2.5","El Cajon","06-073-0003","AQS","9","37","51","58","49"
"02/09/2011","42","Ozone","Alpine","06-073-1006","AQS","14","42",".","41","42"
"02/10/2011","66","NO2","Otay Mesa","06-073-2007","AQS","14","41",".","28","66"
"02/11/2011","64","NO2","Otay Mesa","06-073-2007","AQS","15","44",".","52","64"
"02/12/2011","66","PM2.5","Escondido","06-073-1002","AQS","19","44","19","66","47"
"02/13/2011","58","PM2.5","Escondido","06-073-1002","AQS","17","47",".","58","48"
"02/14/2011","62","PM2.5","Escondido","06-073-1002","AQS","11","51","49","62","56"
"02/15/2011","57","PM2.5","Escondido","06-073-1002","AQS","10","40",".","57","53"
"02/16/2011","41","NO2","Otay Mesa","06-073-2007","AQS","6","39",".","28","41"
"02/17/2011","54","NO2","Otay Mesa","06-073-2007","AQS","10","44","13","43","54"
"02/18/2011","50","NO2","Otay Mesa","06-073-2007","AQS","10","42",".","35","50"
"02/19/2011","45","Ozone","Kearny Villa Rd.","06-073-1016","AQS","5","45",".","25","21"
"02/20/2011","46","Ozone","Kearny Villa Rd.","06-073-1016","AQS","9","46","10","37","34"
"02/21/2011","52","PM2.5","Escondido","06-073-1002","AQS","13","47",".","52","36"
"02/22/2011","54","PM2.5","Escondido","06-073-1002","AQS","10","46",".","54","45"
"02/23/2011","47","PM2.5","Escondido","06-073-1002","AQS","10","45","18","47","43"
"02/24/2011","51","NO2","Otay Mesa","06-073-2007","AQS","3","46",".","43","51"
"02/25/2011","46","Ozone","Kearny Villa Rd.","06-073-1016","AQS","3","46",".","33","45"
"02/26/2011","43","Ozone","Camp Pendleton","06-073-1008","AQS","3","43","6","26","25"
"02/27/2011","45","Ozone","Kearny Villa Rd.","06-073-1016","AQS","6","45",".","43","40"
"02/28/2011","55","PM2.5","Escondido","06-073-1002","AQS","10","42",".","55","46"
"03/01/2011","54","PM2.5","Escondido","06-073-1002","AQS","11","44","19","54","47"
"03/02/2011","57","PM2.5","Escondido","06-073-1002","AQS","11","51",".","57","46"
"03/03/2011","48","PM2.5","Escondido","06-073-1002","AQS","8","38",".","48","44"
"03/04/2011","63","PM2.5","Escondido","06-073-1002","AQS","11","48","31","63","49"
"03/05/2011","60","PM2.5","Escondido","06-073-1002","AQS","15","58","51","60","54"
"03/06/2011","53","PM2.5","Escondido","06-073-1002","AQS","18","51",".","53","45"
"03/07/2011","41","Ozone","Camp Pendleton","06-073-1008","AQS","6","41","15","30","34"
"03/08/2011","55","PM2.5","Escondido","06-073-1002","AQS","9","44","31","55","47"
"03/09/2011","56","PM2.5","Escondido","06-073-1002","AQS","11","44",".","56","53"
"03/10/2011","63","PM10","Otay Mesa","06-073-2007","AQS","15","54","63","52","53"
"03/11/2011","60","PM2.5","Escondido","06-073-1002","AQS","13","49",".","60","40"
"03/12/2011","62","PM2.5","El Cajon","06-073-0003","AQS","6","49",".","62","25"
"03/13/2011","67","PM2.5","Escondido","06-073-1002","AQS","7","50","25","67","24"
"03/14/2011","66","PM2.5","Escondido","06-073-1002","AQS","11","64",".","66","55"
"03/15/2011","58","PM2.5","Escondido","06-073-1002","AQS","14","44",".","58","51"
"03/16/2011","61","PM2.5","Escondido","06-073-1002","AQS","11","46","52","61","38"
"03/17/2011","62","PM2.5","Escondido","06-073-1002","AQS","9","46","24","62","45"
"03/18/2011","58","PM2.5","Escondido","06-073-1002","AQS","11","51",".","58","49"
"03/19/2011","51","Ozone","Camp Pendleton","06-073-1008","AQS","8","51","17","48","42"
"03/20/2011","53","PM2.5","El Cajon","06-073-0003","AQS","5","50","29","53","25"
"03/21/2011","51","Ozone","Camp Pendleton","06-073-1008","AQS","6","51",".","29","35"
"03/22/2011","50","Ozone","Pala Airpad","06-073-1201","AQS","7","50","26","48","48"
"03/23/2011","48","Ozone","Pala Airpad","06-073-1201","AQS","11","48",".","38","40"
"03/24/2011","46","Ozone","Pala Airpad","06-073-1201","AQS","10","46",".","45","41"
"03/25/2011","47","NO2","Otay Mesa","06-073-2007","AQS","8","46","15","41","47"
"03/26/2011","49","Ozone","Kearny Villa Rd.","06-073-1016","AQS","9","49",".","37","39"
"03/27/2011","39","Ozone","San Diego - Beardsley Street","06-073-1010","AQS","6","39",".","26","23"
"03/28/2011","41","Ozone","Camp Pendleton","06-073-1008","AQS","7","41","22","36","34"
"03/29/2011","57","PM2.5","Escondido","06-073-1002","AQS","7","44",".","57","30"
"03/30/2011","71","Ozone","Kearny Mesa","06-073-0006","AQS","11","71",".","60","56"
"03/31/2011","67","Ozone","Kearny Mesa","06-073-0006","AQS","15","67","21","58","63"
"04/01/2011","101","Ozone","Alpine","06-073-1006","AQS","14","101",".","56","81"
"04/02/2011","61","PM2.5","El Cajon","06-073-0003","AQS","5","37",".","61","25"
"04/03/2011","42","PM2.5","El Cajon","06-073-0003","AQS","3","37","19","42","17"
"04/04/2011","51","PM2.5","Escondido","06-073-1002","AQS","6","50",".","51","26"
"04/05/2011","65","PM2.5","El Cajon","06-073-0003","AQS","6","50",".","65","28"
