"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2017","54","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","7","40","17","54","22"
"01/02/2017","61","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","9","41",".","61","23"
"01/03/2017","54","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","10","37",".","54","26"
"01/04/2017","55","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","10","37","13","55","30"
"01/05/2017","47","PM2.5","Donovan","06-073-1014","AQS","8","36",".","47","31"
"01/06/2017","54","PM2.5","La Posta Reservation","06-073-1011","AQS","10","42",".","54","28"
"01/07/2017","67","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","13","43","44","67","34"
"01/08/2017","63","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","14","39",".","63","32"
"01/09/2017","73","PM2.5","Donovan","06-073-1014","AQS","9","34",".","73","28"
"01/10/2017","54","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","8","39","11","54","26"
"01/11/2017","49","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","6","40",".","49","29"
"01/12/2017","54","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","6","42",".","54","25"
"01/13/2017","48","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","7","43","7","48","25"
"01/14/2017","70","PM2.5","Donovan","06-073-1014","AQS","8","42",".","70","35"
"01/15/2017","66","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","9","38",".","66","22"
"01/16/2017","64","PM2.5","Donovan","06-073-1014","AQS","8","43","23","64","33"
"01/17/2017","64","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","10","41",".","64","39"
"01/18/2017","66","PM2.5","Donovan","06-073-1014","AQS","9","42",".","66","38"
"01/19/2017","54","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","8","47","17","54","29"
"01/20/2017","47","Ozone","Camp Pendleton","06-073-1008","AQS","7","47",".","46","26"
"01/21/2017","56","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AQS","7","46",".","56","22"
