"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2004","157","PM2.5","Escondido","06-073-1002","AQS","43","38",".","157","47"
"01/02/2004","69","PM2.5","El Cajon","06-073-0003","AQS","26","41",".","69","41"
"01/03/2004","60","PM2.5","Escondido","06-073-1002","AQS","24","35",".","60","38"
"01/04/2004","82","PM2.5","Escondido","06-073-1002","AQS","28","35","30","82","39"
"01/05/2004","66","PM2.5","Escondido","06-073-1002","AQS","34","36",".","66","42"
"01/06/2004","65","PM2.5","Escondido","06-073-1002","AQS","32","35",".","65","61"
"01/07/2004","74","PM2.5","San Diego-12th Ave","06-073-1007","AQS","30","36",".","74","53"
"01/08/2004","118","PM2.5","San Diego-12th Ave","06-073-1007","AQS","33","49",".","118","70"
"01/09/2004","119","PM2.5","San Diego-12th Ave","06-073-1007","AQS","34","34",".","119","85"
"01/10/2004","113","PM2.5","San Diego-12th Ave","06-073-1007","AQS","43","34","62","113","84"
"01/11/2004","83","PM2.5","El Cajon","06-073-0003","AQS","45","42",".","83","56"
"01/12/2004","106","PM2.5","San Diego-12th Ave","06-073-1007","AQS","22","40",".","106","56"
"01/13/2004","99","NO2","Camp Pendleton","06-073-1008","AQS","35","40","39","93","99"
"01/14/2004","89","NO2","San Diego-12th Ave","06-073-1007","AQS","39","36",".","72","89"
"01/15/2004","70","PM2.5","San Diego-12th Ave","06-073-1007","AQS","27","33",".","70","52"
"01/16/2004","89","PM2.5","El Cajon","06-073-0003","AQS","22","38","56","89","41"
"01/17/2004","118","PM2.5","El Cajon","06-073-0003","AQS","20","48",".","118","48"
"01/18/2004","122","PM2.5","El Cajon","06-073-0003","AQS","23","58",".","122","49"
"01/19/2004","120","PM2.5","El Cajon","06-073-0003","AQS","23","49",".","120","50"
"01/20/2004","77","PM2.5","El Cajon","06-073-0003","AQS","16","34",".","77","44"
"01/21/2004","55","PM2.5","El Cajon","06-073-0003","AQS","19","36",".","55","48"
"01/22/2004","90","NO2","Camp Pendleton","06-073-1008","AQS","26","40","63","55","90"
"01/23/2004","62","PM2.5","San Diego-12th Ave","06-073-1007","AQS","28","39",".","62","54"
"01/24/2004","64","PM2.5","Escondido","06-073-1002","AQS","28","40",".","64","42"
"01/25/2004","68","PM2.5","El Cajon","06-073-0003","AQS","15","37",".","68","33"
"01/26/2004","67","PM2.5","San Diego-12th Ave","06-073-1007","AQS","25","37",".","67","42"
"01/27/2004","70","PM2.5","Escondido","06-073-1002","AQS","23","42",".","70","43"
"01/28/2004","68","PM2.5","Escondido","06-073-1002","AQS","19","42","38","68","44"
"01/29/2004","90","PM2.5","San Diego-12th Ave","06-073-1007","AQS","28","37",".","90","53"
"01/30/2004","75","PM2.5","San Diego-12th Ave","06-073-1007","AQS","31","43",".","75","45"
"01/31/2004","56","PM2.5","El Cajon","06-073-0003","AQS","17","41",".","56","38"
"02/01/2004","66","PM2.5","Escondido","06-073-1002","AQS","24","49",".","66","45"
"02/02/2004","58","PM2.5","San Diego-12th Ave","06-073-1007","AQS","31","49",".","58","44"
"02/03/2004","44","PM10","Manzanita Reservation","06-073-2000","AQS","15","39","44","25","43"
"02/04/2004","45","NO2","Otay Mesa","06-073-2007","AQS","18","35",".","44","45"
"02/05/2004","65","PM2.5","San Diego-12th Ave","06-073-1007","AQS","28","36",".","65","50"
"02/06/2004","65","NO2","San Diego-12th Ave","06-073-1007","AQS","30","41",".","56","65"
"02/07/2004","74","PM2.5","Escondido","06-073-1002","AQS","28","37",".","74","55"
"02/08/2004","70","PM2.5","Escondido","06-073-1002","AQS","31","42",".","70","44"
"02/09/2004","53","NO2","Kearny Mesa","06-073-0006","AQS","36","40","49","50","53"
"02/10/2004","60","NO2","San Diego-12th Ave","06-073-1007","AQS","28","42",".","50","60"
"02/11/2004","57","PM2.5","Escondido","06-073-1002","AQS","24","41",".","57","55"
"02/12/2004","62","NO2","Chula Vista","06-073-0001","AQS","31","45",".","54","62"
"02/13/2004","67","NO2","San Diego-12th Ave","06-073-1007","AQS","22","44",".","43","67"
"02/14/2004","70","PM2.5","Escondido","06-073-1002","AQS","28","38",".","70","50"
"02/15/2004","70","PM2.5","Escondido","06-073-1002","AQS","25","44","47","70","47"
"02/16/2004","74","PM2.5","San Diego-12th Ave","06-073-1007","AQS","22","39",".","74","58"
"02/17/2004","91","PM2.5","Escondido","06-073-1002","AQS","31","37",".","91","77"
"02/18/2004","74","PM2.5","Escondido","06-073-1002","AQS","22","42",".","74","53"
"02/19/2004","45","PM2.5","San Diego-12th Ave","06-073-1007","AQS","14","41",".","45","41"
"02/20/2004","55","PM2.5","Escondido","06-073-1002","AQS","18","44",".","55","40"
"02/21/2004","57","PM2.5","Escondido","06-073-1002","AQS","13","39","54","57","34"
"02/22/2004","39","Ozone","Chula Vista","06-073-0001","AQS","13","39",".","15","26"
"02/23/2004","47","NO2","Otay Mesa","06-073-2007","AQS","15","44",".","24","47"
"02/24/2004","56","PM2.5","El Cajon","06-073-0003","AQS","16","42",".","56","42"
"02/25/2004","44","Ozone","Alpine","06-073-1006","AQS","22","44",".","38","39"
"02/26/2004","44","Ozone","Camp Pendleton","06-073-1008","AQS","11","44",".","25","36"
"02/27/2004","43","PM10","Manzanita Reservation","06-073-2000","AQS","13","43","43","33","39"
"02/28/2004","45","Ozone","Chula Vista","06-073-0001","AQS","13","45",".","44","36"
"02/29/2004","47","PM2.5","Escondido","06-073-1002","AQS","17","47",".","47","33"
"03/01/2004","43","Ozone","Alpine","06-073-1006","AQS","16","43",".","33","36"
"03/02/2004","44","Ozone","Camp Pendleton","06-073-1008","AQS","13","44","8","32","44"
"03/03/2004","53","NO2","Otay Mesa","06-073-2007","AQS","18","44",".","46","53"
"03/04/2004","59","PM10","Otay Mesa","06-073-2007","AQS","19","44","59","48","42"
"03/05/2004","64","Ozone","Camp Pendleton","06-073-1008","AQS","11","64",".","49","40"
"03/06/2004","80","Ozone","Kearny Mesa","06-073-0006","AQS","22","80",".","74","51"
"03/07/2004","72","NO2","Camp Pendleton","06-073-1008","AQS","24","50",".","61","72"
"03/08/2004","70","NO2","San Diego-12th Ave","06-073-1007","AQS","27","44",".","53","70"
"03/09/2004","93","Ozone","Alpine","06-073-1006","AQS","25","93","23","65","81"
"03/10/2004","79","PM2.5","El Cajon","06-073-0003","AQS","15","77","51","79","46"
"03/11/2004","88","PM2.5","El Cajon","06-073-0003","AQS","14","54",".","88","48"
"03/12/2004","95","PM2.5","Escondido","06-073-1002","AQS","13","49",".","95","54"
"03/13/2004","62","PM2.5","Escondido","06-073-1002","AQS","9","50",".","62","34"
"03/14/2004","100","Ozone","Alpine","06-073-1006","AQS","11","100",".","73","36"
"03/15/2004","83","PM2.5","Escondido","06-073-1002","AQS","11","71",".","83","46"
"03/16/2004","102","PM2.5","Escondido","06-073-1002","AQS","18","84","51","102","61"
"03/17/2004","100","Ozone","Camp Pendleton","06-073-1008","AQS","17","100",".","71","58"
"03/18/2004","105","Ozone","Camp Pendleton","06-073-1008","AQS","13","105",".","90","61"
"03/19/2004","109","PM2.5","Escondido","06-073-1002","AQS","11","100",".","109","47"
"03/20/2004","133","Ozone","Camp Pendleton","06-073-1008","AQS","10","133",".","111","35"
"03/21/2004","113","PM2.5","Escondido","06-073-1002","AQS","9","100",".","113","29"
"03/22/2004","106","PM2.5","El Cajon","06-073-0003","AQS","13","97","54","106","52"
"03/23/2004","74","Ozone","Chula Vista","06-073-0001","AQS","13","74","20","72","32"
"03/24/2004","51","PM2.5","Escondido","06-073-1002","AQS","8","43","17","51","34"
"03/25/2004","66","PM2.5","Escondido","06-073-1002","AQS","16","61",".","66","40"
"03/26/2004","42","Ozone","Chula Vista","06-073-0001","AQS","9","42",".","27","35"
"03/27/2004","61","Ozone","Kearny Mesa","06-073-0006","AQS","14","61",".","45","42"
"03/28/2004","80","Ozone","Camp Pendleton","06-073-1008","AQS","18","80","57","46","56"
"03/29/2004","77","Ozone","Alpine","06-073-1006","AQS","25","77",".","35","73"
"03/30/2004","80","Ozone","Alpine","06-073-1006","AQS","24","80",".","49","68"
"03/31/2004","59","PM2.5","El Cajon","06-073-0003","AQS","14","54","28","59","27"
"04/01/2004","58","PM2.5","San Diego-12th Ave","06-073-1007","AQS","14","45",".","58","27"
"04/02/2004","48","PM2.5","San Diego-12th Ave","06-073-1007","AQS","14","48",".","48","37"
"04/03/2004","57","PM2.5","El Cajon","06-073-0003","AQS","13","49","51","57","27"
"04/04/2004","54","Ozone","Alpine","06-073-1006","AQS","10","54",".","47","26"
"04/05/2004","58","Ozone","Chula Vista","06-073-0001","AQS","10","58",".","55","30"
"04/06/2004","64","Ozone","Alpine","06-073-1006","AQS","14","64",".","50","29"
"04/07/2004","61","Ozone","Camp Pendleton","06-073-1008","AQS","13","61",".","46","34"
"04/08/2004","84","Ozone","Camp Pendleton","06-073-1008","AQS","14","84",".","66","33"
"04/09/2004","87","Ozone","Camp Pendleton","06-073-1008","AQS","13","87","32","59","41"
"04/10/2004","97","Ozone","Alpine","06-073-1006","AQS","10","97",".","63","30"
"04/11/2004","93","Ozone","Camp Pendleton","06-073-1008","AQS","10","93",".","59","32"
"04/12/2004","87","Ozone","Alpine","06-073-1006","AQS","19","87",".","61","41"
