"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2013","42","PM2.5","Kittanning","42-005-0001","AQS","30","42"
"01/02/2013","45","PM2.5","Kittanning","42-005-0001","AQS","31","45"
"01/03/2013","62","PM2.5","Kittanning","42-005-0001","AQS","32","62"
"01/04/2013","35","PM2.5","Kittanning","42-005-0001","AQS","34","35"
"01/05/2013","55","PM2.5","Kittanning","42-005-0001","AQS","30","55"
"01/06/2013","50","PM2.5","Kittanning","42-005-0001","AQS","27","50"
"01/07/2013","76","PM2.5","Kittanning","42-005-0001","AQS","24","76"
"01/08/2013","78","PM2.5","Kittanning","42-005-0001","AQS","19","78"
"01/09/2013","61","PM2.5","Kittanning","42-005-0001","AQS","29","61"
"01/10/2013","52","PM2.5","Kittanning","42-005-0001","AQS","27","52"
"01/11/2013","43","PM2.5","Kittanning","42-005-0001","AQS","22","43"
"01/12/2013","32","PM2.5","Kittanning","42-005-0001","AQS","13","32"
"01/13/2013","23","PM2.5","Kittanning","42-005-0001","AQS","22","23"
"01/14/2013","28","PM2.5","Kittanning","42-005-0001","AQS","24","28"
"01/15/2013","44","PM2.5","Kittanning","42-005-0001","AQS","22","44"
"01/16/2013","41","PM2.5","Kittanning","42-005-0001","AQS","19","41"
"01/17/2013","63","PM2.5","Kittanning","42-005-0001","AQS","28","63"
"01/18/2013","31","Ozone","Kittanning","42-005-0001","AQS","31","30"
"01/19/2013","34","Ozone","Kittanning","42-005-0001","AQS","34","17"
"01/20/2013","33","Ozone","Kittanning","42-005-0001","AQS","33","26"
"01/21/2013","35","PM2.5","Kittanning","42-005-0001","AQS","26","35"
"01/22/2013","43","PM2.5","Kittanning","42-005-0001","AQS","26","43"
"01/23/2013","55","PM2.5","Kittanning","42-005-0001","AQS","26","55"
"01/24/2013","50","PM2.5","Kittanning","42-005-0001","AQS","33","50"
"01/25/2013","41","PM2.5","Kittanning","42-005-0001","AQS","26","41"
"01/26/2013","67","PM2.5","Kittanning","42-005-0001","AQS","21","67"
"01/27/2013","76","PM2.5","Kittanning","42-005-0001","AQS","24","76"
"01/28/2013","58","PM2.5","Kittanning","42-005-0001","AQS","25","58"
"01/29/2013","41","PM2.5","Kittanning","42-005-0001","AQS","19","41"
"01/30/2013","32","Ozone","Kittanning","42-005-0001","AQS","32","17"
"01/31/2013","32","Ozone","Kittanning","42-005-0001","AQS","32","21"
"02/01/2013","37","PM2.5","Kittanning","42-005-0001","AQS","25","37"
"02/02/2013","41","PM2.5","Kittanning","42-005-0001","AQS","25","41"
"02/03/2013","51","PM2.5","Kittanning","42-005-0001","AQS","30","51"
"02/04/2013","52","PM2.5","Kittanning","42-005-0001","AQS","31","52"
"02/05/2013","69","PM2.5","Kittanning","42-005-0001","AQS","21","69"
