"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"04/01/2007","27","Ozone","Kittanning","42-005-0001","AQS","27","."
"04/02/2007","54","Ozone","Kittanning","42-005-0001","AQS","54","."
"04/03/2007","67","Ozone","Kittanning","42-005-0001","AQS","67","."
"04/04/2007","33","Ozone","Kittanning","42-005-0001","AQS","33","."
"04/05/2007","33","Ozone","Kittanning","42-005-0001","AQS","33","."
"04/06/2007","37","Ozone","Kittanning","42-005-0001","AQS","37","."
"04/07/2007","33","Ozone","Kittanning","42-005-0001","AQS","33","."
"04/08/2007","30","Ozone","Kittanning","42-005-0001","AQS","30","."
"04/09/2007","31","Ozone","Kittanning","42-005-0001","AQS","31","."
"04/10/2007","35","Ozone","Kittanning","42-005-0001","AQS","35","."
"04/11/2007","36","Ozone","Kittanning","42-005-0001","AQS","36","."
"04/12/2007","36","Ozone","Kittanning","42-005-0001","AQS","36","."
"04/13/2007","41","Ozone","Kittanning","42-005-0001","AQS","41","."
"04/14/2007","41","Ozone","Kittanning","42-005-0001","AQS","41","."
"04/15/2007","37","Ozone","Kittanning","42-005-0001","AQS","37","."
"04/16/2007","42","Ozone","Kittanning","42-005-0001","AQS","42","."
"04/17/2007","36","Ozone","Kittanning","42-005-0001","AQS","36","."
"04/18/2007","33","Ozone","Kittanning","42-005-0001","AQS","33","."
"04/19/2007","41","Ozone","Kittanning","42-005-0001","AQS","41","."
"04/20/2007","48","Ozone","Kittanning","42-005-0001","AQS","48","."
"04/21/2007","64","Ozone","Kittanning","42-005-0001","AQS","64","."
"04/22/2007","119","Ozone","Kittanning","42-005-0001","AQS","119","."
"04/23/2007","93","Ozone","Kittanning","42-005-0001","AQS","93","."
"04/24/2007","49","Ozone","Kittanning","42-005-0001","AQS","49","."
"04/25/2007","28","Ozone","Kittanning","42-005-0001","AQS","28","."
"04/26/2007","33","Ozone","Kittanning","42-005-0001","AQS","33","."
"04/27/2007","40","Ozone","Kittanning","42-005-0001","AQS","40","."
"04/28/2007","31","Ozone","Kittanning","42-005-0001","AQS","31","."
"04/29/2007","61","Ozone","Kittanning","42-005-0001","AQS","61","."
"04/30/2007","49","Ozone","Kittanning","42-005-0001","AQS","49","."
