"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"04/01/2001","35","Ozone","Kittanning","42-005-0001","AQS","35","."
"04/02/2001","35","Ozone","Kittanning","42-005-0001","AQS","35","."
"04/03/2001","27","Ozone","Kittanning","42-005-0001","AQS","27","."
"04/04/2001","40","Ozone","Kittanning","42-005-0001","AQS","40","."
"04/05/2001","38","Ozone","Kittanning","42-005-0001","AQS","38","."
"04/06/2001","23","Ozone","Kittanning","42-005-0001","AQS","23","."
"04/07/2001","41","Ozone","Kittanning","42-005-0001","AQS","41","."
"04/08/2001","51","Ozone","Kittanning","42-005-0001","AQS","51","."
"04/09/2001","36","Ozone","Kittanning","42-005-0001","AQS","36","."
"04/10/2001","24","Ozone","Kittanning","42-005-0001","AQS","24","."
"04/13/2001","49","Ozone","Kittanning","42-005-0001","AQS","49","."
"04/14/2001","61","Ozone","Kittanning","42-005-0001","AQS","61","."
"04/15/2001","61","Ozone","Kittanning","42-005-0001","AQS","61","."
"04/16/2001","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"04/17/2001","39","Ozone","Kittanning","42-005-0001","AQS","39","."
"04/18/2001","45","Ozone","Kittanning","42-005-0001","AQS","45","."
"04/19/2001","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"04/20/2001","39","Ozone","Kittanning","42-005-0001","AQS","39","."
"04/21/2001","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"04/22/2001","43","Ozone","Kittanning","42-005-0001","AQS","43","."
"04/23/2001","126","Ozone","Kittanning","42-005-0001","AQS","126","."
"04/24/2001","42","Ozone","Kittanning","42-005-0001","AQS","42","."
"04/25/2001","61","Ozone","Kittanning","42-005-0001","AQS","61","."
"04/26/2001","64","Ozone","Kittanning","42-005-0001","AQS","64","."
"04/27/2001","74","Ozone","Kittanning","42-005-0001","AQS","74","."
"04/28/2001","61","Ozone","Kittanning","42-005-0001","AQS","61","."
"04/29/2001","71","Ozone","Kittanning","42-005-0001","AQS","71","."
"04/30/2001","87","Ozone","Kittanning","42-005-0001","AQS","87","."
"05/01/2001","154","Ozone","Kittanning","42-005-0001","AQS","154","."
"05/02/2001","151","Ozone","Kittanning","42-005-0001","AQS","151","."
"05/03/2001","159","Ozone","Kittanning","42-005-0001","AQS","159","."
"05/04/2001","179","Ozone","Kittanning","42-005-0001","AQS","179","."
"05/05/2001","50","Ozone","Kittanning","42-005-0001","AQS","50","."
"05/06/2001","74","Ozone","Kittanning","42-005-0001","AQS","74","."
"05/07/2001","74","Ozone","Kittanning","42-005-0001","AQS","74","."
"05/08/2001","27","Ozone","Kittanning","42-005-0001","AQS","27","."
"05/09/2001","84","Ozone","Kittanning","42-005-0001","AQS","84","."
"05/10/2001","133","Ozone","Kittanning","42-005-0001","AQS","133","."
"05/11/2001","101","Ozone","Kittanning","42-005-0001","AQS","101","."
"05/12/2001","34","Ozone","Kittanning","42-005-0001","AQS","34","."
"05/13/2001","46","Ozone","Kittanning","42-005-0001","AQS","46","."
"05/14/2001","51","Ozone","Kittanning","42-005-0001","AQS","51","."
"05/15/2001","38","Ozone","Kittanning","42-005-0001","AQS","38","."
"05/16/2001","51","Ozone","Kittanning","42-005-0001","AQS","51","."
"05/17/2001","20","Ozone","Kittanning","42-005-0001","AQS","20","."
"05/18/2001","29","Ozone","Kittanning","42-005-0001","AQS","29","."
"05/19/2001","61","Ozone","Kittanning","42-005-0001","AQS","61","."
"05/20/2001","51","Ozone","Kittanning","42-005-0001","AQS","51","."
"05/21/2001","30","Ozone","Kittanning","42-005-0001","AQS","30","."
"05/22/2001","33","Ozone","Kittanning","42-005-0001","AQS","33","."
"05/23/2001","64","Ozone","Kittanning","42-005-0001","AQS","64","."
