"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"04/01/2006","34","Ozone","Kittanning","42-005-0001","AQS","34","."
"04/02/2006","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"04/03/2006","42","Ozone","Kittanning","42-005-0001","AQS","42","."
"04/04/2006","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"04/05/2006","33","Ozone","Kittanning","42-005-0001","AQS","33","."
"04/06/2006","49","Ozone","Kittanning","42-005-0001","AQS","49","."
"04/07/2006","51","Ozone","Kittanning","42-005-0001","AQS","51","."
"04/08/2006","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"04/09/2006","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"04/10/2006","54","Ozone","Kittanning","42-005-0001","AQS","54","."
"04/11/2006","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"04/12/2006","101","Ozone","Kittanning","42-005-0001","AQS","101","."
"04/13/2006","58","Ozone","Kittanning","42-005-0001","AQS","58","."
"04/14/2006","42","Ozone","Kittanning","42-005-0001","AQS","42","."
"04/15/2006","64","Ozone","Kittanning","42-005-0001","AQS","64","."
"04/16/2006","42","Ozone","Kittanning","42-005-0001","AQS","42","."
"04/17/2006","46","Ozone","Kittanning","42-005-0001","AQS","46","."
"04/18/2006","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"04/19/2006","48","Ozone","Kittanning","42-005-0001","AQS","48","."
"04/20/2006","58","Ozone","Kittanning","42-005-0001","AQS","58","."
"04/21/2006","64","Ozone","Kittanning","42-005-0001","AQS","64","."
"04/22/2006","27","Ozone","Kittanning","42-005-0001","AQS","27","."
"04/23/2006","50","Ozone","Kittanning","42-005-0001","AQS","50","."
"04/24/2006","49","Ozone","Kittanning","42-005-0001","AQS","49","."
"04/25/2006","38","Ozone","Kittanning","42-005-0001","AQS","38","."
"04/26/2006","45","Ozone","Kittanning","42-005-0001","AQS","45","."
"04/27/2006","64","Ozone","Kittanning","42-005-0001","AQS","64","."
"04/28/2006","51","Ozone","Kittanning","42-005-0001","AQS","51","."
"04/29/2006","61","Ozone","Kittanning","42-005-0001","AQS","61","."
"04/30/2006","77","Ozone","Kittanning","42-005-0001","AQS","77","."
"05/01/2006","77","Ozone","Kittanning","42-005-0001","AQS","77","."
"05/02/2006","77","Ozone","Kittanning","42-005-0001","AQS","77","."
"05/03/2006","54","Ozone","Kittanning","42-005-0001","AQS","54","."
"05/04/2006","84","Ozone","Kittanning","42-005-0001","AQS","84","."
"05/05/2006","77","Ozone","Kittanning","42-005-0001","AQS","77","."
"05/06/2006","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"05/07/2006","47","Ozone","Kittanning","42-005-0001","AQS","47","."
"05/08/2006","54","Ozone","Kittanning","42-005-0001","AQS","54","."
"05/09/2006","71","Ozone","Kittanning","42-005-0001","AQS","71","."
