"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2011","33","PM2.5","Kittanning","42-005-0001","AQS",".","33"
"01/02/2011","20","PM2.5","Kittanning","42-005-0001","AQS",".","20"
"01/03/2011","23","PM2.5","Kittanning","42-005-0001","AQS",".","23"
"01/04/2011","23","PM2.5","Kittanning","42-005-0001","AQS",".","23"
"01/05/2011","42","PM2.5","Kittanning","42-005-0001","AQS",".","42"
"01/06/2011","55","PM2.5","Kittanning","42-005-0001","AQS",".","55"
"01/07/2011","38","PM2.5","Kittanning","42-005-0001","AQS",".","38"
"01/08/2011","54","PM2.5","Kittanning","42-005-0001","AQS",".","54"
"01/09/2011","43","PM2.5","Kittanning","42-005-0001","AQS",".","43"
"01/10/2011","53","PM2.5","Kittanning","42-005-0001","AQS",".","53"
"01/11/2011","42","PM2.5","Kittanning","42-005-0001","AQS",".","42"
"01/12/2011","28","PM2.5","Kittanning","42-005-0001","AQS",".","28"
"01/13/2011","22","PM2.5","Kittanning","42-005-0001","AQS",".","22"
"01/14/2011","56","PM2.5","Kittanning","42-005-0001","AQS",".","56"
"01/15/2011","64","PM2.5","Kittanning","42-005-0001","AQS",".","64"
"01/16/2011","33","PM2.5","Kittanning","42-005-0001","AQS",".","33"
"01/17/2011","41","PM2.5","Kittanning","42-005-0001","AQS",".","41"
"01/18/2011","54","PM2.5","Kittanning","42-005-0001","AQS",".","54"
"01/19/2011","40","PM2.5","Kittanning","42-005-0001","AQS",".","40"
"01/20/2011","28","PM2.5","Kittanning","42-005-0001","AQS",".","28"
"01/21/2011","36","PM2.5","Kittanning","42-005-0001","AQS",".","36"
"01/22/2011","58","PM2.5","Kittanning","42-005-0001","AQS",".","58"
"01/23/2011","38","PM2.5","Kittanning","42-005-0001","AQS",".","38"
"01/24/2011","53","PM2.5","Kittanning","42-005-0001","AQS",".","53"
"01/25/2011","66","PM2.5","Kittanning","42-005-0001","AQS",".","66"
"01/26/2011","76","PM2.5","Kittanning","42-005-0001","AQS",".","76"
"01/27/2011","54","PM2.5","Kittanning","42-005-0001","AQS",".","54"
"01/28/2011","65","PM2.5","Kittanning","42-005-0001","AQS",".","65"
"01/29/2011","65","PM2.5","Kittanning","42-005-0001","AQS",".","65"
"01/30/2011","55","PM2.5","Kittanning","42-005-0001","AQS",".","55"
"01/31/2011","50","PM2.5","Kittanning","42-005-0001","AQS",".","50"
"02/01/2011","83","PM2.5","Kittanning","42-005-0001","AQS",".","83"
"02/02/2011","20","PM2.5","Kittanning","42-005-0001","AQS",".","20"
"02/03/2011","30","PM2.5","Kittanning","42-005-0001","AQS",".","30"
"02/04/2011","54","PM2.5","Kittanning","42-005-0001","AQS",".","54"
"02/08/2011","28","PM2.5","Kittanning","42-005-0001","AQS",".","28"
"02/09/2011","36","PM2.5","Kittanning","42-005-0001","AQS",".","36"
"02/10/2011","51","PM2.5","Kittanning","42-005-0001","AQS",".","51"
"02/11/2011","58","PM2.5","Kittanning","42-005-0001","AQS",".","58"
"02/12/2011","38","PM2.5","Kittanning","42-005-0001","AQS",".","38"
"02/13/2011","33","PM2.5","Kittanning","42-005-0001","AQS",".","33"
"02/14/2011","25","PM2.5","Kittanning","42-005-0001","AQS",".","25"
"02/15/2011","14","PM2.5","Kittanning","42-005-0001","AQS",".","14"
"02/16/2011","55","PM2.5","Kittanning","42-005-0001","AQS",".","55"
"02/17/2011","74","PM2.5","Kittanning","42-005-0001","AQS",".","74"
"02/18/2011","46","PM2.5","Kittanning","42-005-0001","AQS",".","46"
"02/19/2011","19","PM2.5","Kittanning","42-005-0001","AQS",".","19"
"02/20/2011","23","PM2.5","Kittanning","42-005-0001","AQS",".","23"
"02/21/2011","25","PM2.5","Kittanning","42-005-0001","AQS",".","25"
"02/22/2011","17","PM2.5","Kittanning","42-005-0001","AQS",".","17"
"02/23/2011","58","PM2.5","Kittanning","42-005-0001","AQS",".","58"
"02/24/2011","72","PM2.5","Kittanning","42-005-0001","AQS",".","72"
"02/25/2011","49","PM2.5","Kittanning","42-005-0001","AQS",".","49"
"02/26/2011","53","PM2.5","Kittanning","42-005-0001","AQS",".","53"
"02/27/2011","64","PM2.5","Kittanning","42-005-0001","AQS",".","64"
"02/28/2011","47","PM2.5","Kittanning","42-005-0001","AQS",".","47"
"03/01/2011","50","PM2.5","Kittanning","42-005-0001","AQS","31","50"
"03/02/2011","54","PM2.5","Kittanning","42-005-0001","AQS","32","54"
"03/03/2011","33","Ozone","Kittanning","42-005-0001","AQS","33","28"
"03/04/2011","42","PM2.5","Kittanning","42-005-0001","AQS","26","42"
"03/05/2011","43","PM2.5","Kittanning","42-005-0001","AQS","31","43"
"03/06/2011","51","PM2.5","Kittanning","42-005-0001","AQS","31","51"
"03/07/2011","36","PM2.5","Kittanning","42-005-0001","AQS","33","36"
"03/08/2011","34","PM2.5","Kittanning","42-005-0001","AQS","29","34"
"03/09/2011","50","PM2.5","Kittanning","42-005-0001","AQS","34","50"
"03/10/2011","44","PM2.5","Kittanning","42-005-0001","AQS","23","44"
"03/11/2011","70","PM2.5","Kittanning","42-005-0001","AQS","33","70"
"03/12/2011","58","PM2.5","Kittanning","42-005-0001","AQS","39","58"
"03/13/2011","50","PM2.5","Kittanning","42-005-0001","AQS","32","50"
"03/14/2011","57","PM2.5","Kittanning","42-005-0001","AQS","36","57"
"03/15/2011","58","PM2.5","Kittanning","42-005-0001","AQS","28","58"
"03/16/2011","55","PM2.5","Kittanning","42-005-0001","AQS","20","55"
"03/17/2011","70","PM2.5","Kittanning","42-005-0001","AQS","41","70"
"03/18/2011","60","PM2.5","Kittanning","42-005-0001","AQS","44","60"
"03/19/2011","55","PM2.5","Kittanning","42-005-0001","AQS","34","55"
"03/20/2011","54","PM2.5","Kittanning","42-005-0001","AQS","34","54"
"03/21/2011","72","PM2.5","Kittanning","42-005-0001","AQS","39","72"
"03/22/2011","56","PM2.5","Kittanning","42-005-0001","AQS","31","56"
"03/23/2011","54","PM2.5","Kittanning","42-005-0001","AQS","24","54"
"03/24/2011","34","Ozone","Kittanning","42-005-0001","AQS","34","."
"03/25/2011","36","Ozone","Kittanning","42-005-0001","AQS","36","."
"03/26/2011","40","Ozone","Kittanning","42-005-0001","AQS","40","."
"03/27/2011","37","Ozone","Kittanning","42-005-0001","AQS","37","."
"03/28/2011","39","Ozone","Kittanning","42-005-0001","AQS","39","."
"03/29/2011","41","Ozone","Kittanning","42-005-0001","AQS","41","35"
"03/30/2011","45","PM2.5","Kittanning","42-005-0001","AQS","32","45"
"03/31/2011","59","PM2.5","Kittanning","42-005-0001","AQS","27","59"
"04/01/2011","60","PM2.5","Kittanning","42-005-0001","AQS","40","60"
"04/02/2011","70","PM2.5","Kittanning","42-005-0001","AQS","46","70"
"04/03/2011","55","PM2.5","Kittanning","42-005-0001","AQS","42","55"
"04/04/2011","62","PM2.5","Kittanning","42-005-0001","AQS","33","62"
"04/05/2011","48","PM2.5","Kittanning","42-005-0001","AQS","35","48"
"04/06/2011","37","PM2.5","Kittanning","42-005-0001","AQS","33","37"
"04/07/2011","45","PM2.5","Kittanning","42-005-0001","AQS","41","45"
"04/08/2011","38","PM2.5","Kittanning","42-005-0001","AQS","32","38"
"04/09/2011","40","PM2.5","Kittanning","42-005-0001","AQS","35","40"
"04/10/2011","58","PM2.5","Kittanning","42-005-0001","AQS","40","58"
"04/11/2011","50","PM2.5","Kittanning","42-005-0001","AQS","41","50"
"04/12/2011","36","Ozone","Kittanning","42-005-0001","AQS","36","24"
"04/13/2011","33","Ozone","Kittanning","42-005-0001","AQS","33","24"
"04/14/2011","49","Ozone","Kittanning","42-005-0001","AQS","49","46"
"04/15/2011","47","Ozone","Kittanning","42-005-0001","AQS","47","42"
"04/16/2011","33","Ozone","Kittanning","42-005-0001","AQS","33","28"
"04/17/2011","44","Ozone","Kittanning","42-005-0001","AQS","44","33"
"04/18/2011","45","PM2.5","Kittanning","42-005-0001","AQS","32","45"
"04/19/2011","64","PM2.5","Kittanning","42-005-0001","AQS","27","64"
"04/20/2011","37","Ozone","Kittanning","42-005-0001","AQS","37","28"
"04/21/2011","42","Ozone","Kittanning","42-005-0001","AQS","42","20"
"04/22/2011","34","Ozone","Kittanning","42-005-0001","AQS","34","13"
"04/23/2011","40","Ozone","Kittanning","42-005-0001","AQS","40","21"
"04/24/2011","32","Ozone","Kittanning","42-005-0001","AQS","32","19"
"04/25/2011","40","Ozone","Kittanning","42-005-0001","AQS","40","32"
"04/26/2011","38","Ozone","Kittanning","42-005-0001","AQS","38","37"
"04/27/2011","37","Ozone","Kittanning","42-005-0001","AQS","37","24"
"04/28/2011","44","Ozone","Kittanning","42-005-0001","AQS","44","15"
"04/29/2011","31","Ozone","Kittanning","42-005-0001","AQS","31","14"
"04/30/2011","33","Ozone","Kittanning","42-005-0001","AQS","33","23"
"05/01/2011","43","PM2.5","Kittanning","42-005-0001","AQS","32","43"
"05/02/2011","55","PM2.5","Kittanning","42-005-0001","AQS","32","55"
"05/03/2011","36","PM2.5","Kittanning","42-005-0001","AQS","24","36"
"05/04/2011","26","Ozone","Kittanning","42-005-0001","AQS","26","5"
"05/05/2011","41","Ozone","Kittanning","42-005-0001","AQS","41","25"
"05/06/2011","45","Ozone","Kittanning","42-005-0001","AQS","45","43"
"05/07/2011","43","Ozone","Kittanning","42-005-0001","AQS","43","41"
"05/08/2011","44","Ozone","Kittanning","42-005-0001","AQS","44","39"
"05/09/2011","38","Ozone","Kittanning","42-005-0001","AQS","38","22"
"05/10/2011","41","Ozone","Kittanning","42-005-0001","AQS","41","25"
"05/11/2011","64","Ozone","Kittanning","42-005-0001","AQS","64","32"
"05/12/2011","87","Ozone","Kittanning","42-005-0001","AQS","87","57"
"05/13/2011","52","PM2.5","Kittanning","42-005-0001","AQS","44","52"
"05/14/2011","59","PM2.5","Kittanning","42-005-0001","AQS","29","59"
"05/15/2011","47","PM2.5","Kittanning","42-005-0001","AQS","31","47"
"05/16/2011","30","PM2.5","Kittanning","42-005-0001","AQS","16","30"
"05/17/2011","28","Ozone","Kittanning","42-005-0001","AQS","28","23"
"05/18/2011","34","Ozone","Kittanning","42-005-0001","AQS","34","30"
"05/19/2011","53","PM2.5","Kittanning","42-005-0001","AQS","29","53"
"05/20/2011","54","PM2.5","Kittanning","42-005-0001","AQS","40","54"
"05/21/2011","52","PM2.5","Kittanning","42-005-0001","AQS","43","52"
"05/22/2011","63","PM2.5","Kittanning","42-005-0001","AQS","48","63"
"05/23/2011","49","PM2.5","Kittanning","42-005-0001","AQS","41","49"
"05/24/2011","45","PM2.5","Kittanning","42-005-0001","AQS","41","45"
"05/25/2011","56","PM2.5","Kittanning","42-005-0001","AQS","49","56"
"05/26/2011","74","Ozone","Kittanning","42-005-0001","AQS","74","44"
"05/27/2011","40","PM2.5","Kittanning","42-005-0001","AQS","28","40"
"05/28/2011","46","PM2.5","Kittanning","42-005-0001","AQS","46","46"
"05/29/2011","68","PM2.5","Kittanning","42-005-0001","AQS","51","68"
"05/30/2011","80","PM2.5","Kittanning","42-005-0001","AQS","64","80"
"05/31/2011","80","PM2.5","Kittanning","42-005-0001","AQS","67","80"
"06/01/2011","70","PM2.5","Kittanning","42-005-0001","AQS","58","70"
"06/02/2011","43","Ozone","Kittanning","42-005-0001","AQS","43","20"
"06/03/2011","39","Ozone","Kittanning","42-005-0001","AQS","39","13"
"06/04/2011","101","Ozone","Kittanning","42-005-0001","AQS","101","55"
"06/05/2011","62","PM2.5","Kittanning","42-005-0001","AQS","48","62"
"06/06/2011","84","Ozone","Kittanning","42-005-0001","AQS","84","41"
"06/07/2011","58","PM2.5","Kittanning","42-005-0001","AQS","39","58"
"06/08/2011","115","Ozone","Kittanning","42-005-0001","AQS","115","85"
"06/09/2011","95","PM2.5","Kittanning","42-005-0001","AQS","87","95"
"06/10/2011","67","PM2.5","Kittanning","42-005-0001","AQS","45","67"
"06/11/2011","67","PM2.5","Kittanning","42-005-0001","AQS","54","67"
"06/12/2011","61","PM2.5","Kittanning","42-005-0001","AQS","41","61"
"06/13/2011","32","Ozone","Kittanning","42-005-0001","AQS","32","15"
"06/14/2011","25","Ozone","Kittanning","42-005-0001","AQS","25","18"
"06/15/2011","40","Ozone","Kittanning","42-005-0001","AQS","40","30"
"06/16/2011","50","PM2.5","Kittanning","42-005-0001","AQS","45","50"
"06/17/2011","51","Ozone","Kittanning","42-005-0001","AQS","51","43"
"06/18/2011","80","Ozone","Kittanning","42-005-0001","AQS","80","53"
"06/19/2011","74","PM2.5","Kittanning","42-005-0001","AQS","61","74"
"06/20/2011","68","PM2.5","Kittanning","42-005-0001","AQS","48","68"
"06/21/2011","78","PM2.5","Kittanning","42-005-0001","AQS","64","78"
"06/22/2011","43","PM2.5","Kittanning","42-005-0001","AQS","43","43"
"06/23/2011","40","PM2.5","Kittanning","42-005-0001","AQS","38","40"
"06/24/2011","27","PM2.5","Kittanning","42-005-0001","AQS","24","27"
"06/25/2011","36","PM2.5","Kittanning","42-005-0001","AQS","30","36"
"06/26/2011","34","PM2.5","Kittanning","42-005-0001","AQS","31","34"
"06/27/2011","44","Ozone","Kittanning","42-005-0001","AQS","44","36"
"06/28/2011","54","Ozone","Kittanning","42-005-0001","AQS","54","48"
"06/29/2011","43","Ozone","Kittanning","42-005-0001","AQS","43","29"
"06/30/2011","61","Ozone","Kittanning","42-005-0001","AQS","61","45"
"07/01/2011","58","Ozone","Kittanning","42-005-0001","AQS","58","38"
"07/02/2011","71","Ozone","Kittanning","42-005-0001","AQS","71","63"
"07/03/2011","47","Ozone","Kittanning","42-005-0001","AQS","47","44"
"07/04/2011","55","PM2.5","Kittanning","42-005-0001","AQS","44","55"
"07/05/2011","53","PM2.5","Kittanning","42-005-0001","AQS","42","53"
"07/06/2011","97","Ozone","Kittanning","42-005-0001","AQS","97","58"
"07/07/2011","60","PM2.5","Kittanning","42-005-0001","AQS","48","60"
"07/08/2011","68","PM2.5","Kittanning","42-005-0001","AQS","29","68"
"07/09/2011","52","PM2.5","Kittanning","42-005-0001","AQS","42","52"
"07/10/2011","97","Ozone","Kittanning","42-005-0001","AQS","97","62"
"07/11/2011","66","PM2.5","Kittanning","42-005-0001","AQS","46","66"
"07/12/2011","64","Ozone","Kittanning","42-005-0001","AQS","64","61"
"07/13/2011","52","PM2.5","Kittanning","42-005-0001","AQS","30","52"
"07/14/2011","37","Ozone","Kittanning","42-005-0001","AQS","37","28"
"07/15/2011","61","Ozone","Kittanning","42-005-0001","AQS","61","28"
"07/16/2011","61","Ozone","Kittanning","42-005-0001","AQS","61","47"
"07/17/2011","55","PM2.5","Kittanning","42-005-0001","AQS","51","55"
"07/18/2011","65","PM2.5","Kittanning","42-005-0001","AQS","43","65"
"07/19/2011","54","Ozone","Kittanning","42-005-0001","AQS","54","51"
"07/20/2011","105","Ozone","Kittanning","42-005-0001","AQS","105","86"
"07/21/2011","80","PM2.5","Kittanning","42-005-0001","AQS","58","80"
"07/22/2011","97","Ozone","Kittanning","42-005-0001","AQS","97","62"
"07/23/2011","62","PM2.5","Kittanning","42-005-0001","AQS","58","62"
"07/24/2011","59","PM2.5","Kittanning","42-005-0001","AQS","41","59"
"07/25/2011","47","PM2.5","Kittanning","42-005-0001","AQS","38","47"
"07/26/2011","47","Ozone","Kittanning","42-005-0001","AQS","47","45"
"07/27/2011","35","Ozone","Kittanning","42-005-0001","AQS","35","29"
"07/28/2011","54","PM2.5","Kittanning","42-005-0001","AQS","37","54"
"07/29/2011","56","PM2.5","Kittanning","42-005-0001","AQS","49","56"
"07/30/2011","54","PM2.5","Kittanning","42-005-0001","AQS","35","54"
"07/31/2011","64","PM2.5","Kittanning","42-005-0001","AQS","49","64"
"08/01/2011","57","PM2.5","Kittanning","42-005-0001","AQS","51","57"
"08/02/2011","62","PM2.5","Kittanning","42-005-0001","AQS","48","62"
"08/03/2011","66","PM2.5","Kittanning","42-005-0001","AQS","26","66"
"08/04/2011","55","PM2.5","Kittanning","42-005-0001","AQS","31","55"
"08/05/2011","54","PM2.5","Kittanning","42-005-0001","AQS","47","54"
"08/06/2011","64","PM2.5","Kittanning","42-005-0001","AQS","44","64"
"08/07/2011","72","PM2.5","Kittanning","42-005-0001","AQS","40","72"
"08/08/2011","60","PM2.5","Kittanning","42-005-0001","AQS","40","60"
"08/09/2011","44","PM2.5","Kittanning","42-005-0001","AQS","42","44"
"08/10/2011","39","PM2.5","Kittanning","42-005-0001","AQS","37","39"
"08/11/2011","29","Ozone","Kittanning","42-005-0001","AQS","29","27"
"08/12/2011","40","PM2.5","Kittanning","42-005-0001","AQS","36","40"
"08/13/2011","74","Ozone","Kittanning","42-005-0001","AQS","74","69"
"08/14/2011","63","PM2.5","Kittanning","42-005-0001","AQS","39","63"
"08/15/2011","54","PM2.5","Kittanning","42-005-0001","AQS","32","54"
"08/16/2011","46","PM2.5","Kittanning","42-005-0001","AQS","24","46"
"08/17/2011","54","PM2.5","Kittanning","42-005-0001","AQS","48","54"
"08/18/2011","80","Ozone","Kittanning","42-005-0001","AQS","80","73"
"08/19/2011","85","PM2.5","Kittanning","42-005-0001","AQS","47","85"
"08/20/2011","66","PM2.5","Kittanning","42-005-0001","AQS","64","66"
"08/21/2011","69","PM2.5","Kittanning","42-005-0001","AQS","31","69"
"08/22/2011","34","PM2.5","Kittanning","42-005-0001","AQS","23","34"
"08/23/2011","46","PM2.5","Kittanning","42-005-0001","AQS","40","46"
"08/24/2011","58","PM2.5","Kittanning","42-005-0001","AQS","44","58"
"08/25/2011","43","PM2.5","Kittanning","42-005-0001","AQS","37","43"
"08/26/2011","55","PM2.5","Kittanning","42-005-0001","AQS","35","55"
"08/27/2011","56","PM2.5","Kittanning","42-005-0001","AQS","41","56"
"08/28/2011","29","Ozone","Kittanning","42-005-0001","AQS","29","."
"08/29/2011","23","Ozone","Kittanning","42-005-0001","AQS","23","."
"08/30/2011","31","Ozone","Kittanning","42-005-0001","AQS","31","."
"08/31/2011","55","PM2.5","Kittanning","42-005-0001","AQS","48","55"
"09/01/2011","65","PM2.5","Kittanning","42-005-0001","AQS","44","65"
"09/02/2011","93","Ozone","Kittanning","42-005-0001","AQS","93","89"
"09/03/2011","93","PM2.5","Kittanning","42-005-0001","AQS","77","93"
"09/04/2011","75","PM2.5","Kittanning","42-005-0001","AQS","38","75"
"09/05/2011","45","PM2.5","Kittanning","42-005-0001","AQS","28","45"
"09/06/2011","32","PM2.5","Kittanning","42-005-0001","AQS","19","32"
"09/07/2011","39","PM2.5","Kittanning","42-005-0001","AQS","22","39"
"09/08/2011","47","PM2.5","Kittanning","42-005-0001","AQS","33","47"
"09/09/2011","51","PM2.5","Kittanning","42-005-0001","AQS","15","51"
"09/10/2011","54","PM2.5","Kittanning","42-005-0001","AQS","27","54"
"09/11/2011","62","PM2.5","Kittanning","42-005-0001","AQS","33","62"
"09/12/2011","62","PM2.5","Kittanning","42-005-0001","AQS","37","62"
"09/13/2011","82","PM2.5","Kittanning","42-005-0001","AQS","49","82"
"09/14/2011","104","PM2.5","Kittanning","42-005-0001","AQS","37","104"
"09/15/2011","45","PM2.5","Kittanning","42-005-0001","AQS","20","45"
"09/16/2011","29","PM2.5","Kittanning","42-005-0001","AQS","18","29"
"09/17/2011","33","PM2.5","Kittanning","42-005-0001","AQS","22","33"
"09/18/2011","54","PM2.5","Kittanning","42-005-0001","AQS","27","54"
"09/19/2011","44","PM2.5","Kittanning","42-005-0001","AQS","28","44"
"09/20/2011","54","PM2.5","Kittanning","42-005-0001","AQS","29","54"
"09/21/2011","53","PM2.5","Kittanning","42-005-0001","AQS","32","53"
"09/22/2011","65","PM2.5","Kittanning","42-005-0001","AQS","35","65"
"09/23/2011","60","PM2.5","Kittanning","42-005-0001","AQS","19","60"
"09/24/2011","66","PM2.5","Kittanning","42-005-0001","AQS","36","66"
"09/25/2011","60","PM2.5","Kittanning","42-005-0001","AQS","28","60"
"09/26/2011","52","PM2.5","Kittanning","42-005-0001","AQS","24","52"
"09/27/2011","54","PM2.5","Kittanning","42-005-0001","AQS","30","54"
"09/28/2011","60","PM2.5","Kittanning","42-005-0001","AQS","34","60"
"09/29/2011","62","PM2.5","Kittanning","42-005-0001","AQS","27","62"
"09/30/2011","34","PM2.5","Kittanning","42-005-0001","AQS","27","34"
"10/01/2011","19","Ozone","Kittanning","42-005-0001","AQS","19","16"
"10/02/2011","35","PM2.5","Kittanning","42-005-0001","AQS","19","35"
"10/03/2011","13","PM2.5","Kittanning","42-005-0001","AQS","9","13"
"10/04/2011","38","PM2.5","Kittanning","42-005-0001","AQS","17","38"
"10/05/2011","53","PM2.5","Kittanning","42-005-0001","AQS","31","53"
"10/06/2011","54","PM2.5","Kittanning","42-005-0001","AQS","25","54"
"10/07/2011","48","PM2.5","Kittanning","42-005-0001","AQS","34","48"
"10/08/2011","51","PM2.5","Kittanning","42-005-0001","AQS","42","51"
"10/09/2011","54","PM2.5","Kittanning","42-005-0001","AQS","40","54"
"10/10/2011","55","PM2.5","Kittanning","42-005-0001","AQS","21","55"
"10/11/2011","37","Ozone","Kittanning","42-005-0001","AQS","37","."
"10/12/2011","22","Ozone","Kittanning","42-005-0001","AQS","22","."
"10/13/2011","17","Ozone","Kittanning","42-005-0001","AQS","17","."
"10/14/2011","25","Ozone","Kittanning","42-005-0001","AQS","25","."
"10/15/2011","28","Ozone","Kittanning","42-005-0001","AQS","28","."
"10/16/2011","27","Ozone","Kittanning","42-005-0001","AQS","27","."
"10/17/2011","32","Ozone","Kittanning","42-005-0001","AQS","32","."
"10/18/2011","26","Ozone","Kittanning","42-005-0001","AQS","26","."
"10/19/2011","27","Ozone","Kittanning","42-005-0001","AQS","27","."
"10/20/2011","12","Ozone","Kittanning","42-005-0001","AQS","12","."
"10/21/2011","13","Ozone","Kittanning","42-005-0001","AQS","13","."
"10/22/2011","26","Ozone","Kittanning","42-005-0001","AQS","26","."
"10/23/2011","32","Ozone","Kittanning","42-005-0001","AQS","32","."
"10/24/2011","27","Ozone","Kittanning","42-005-0001","AQS","27","."
"10/25/2011","30","Ozone","Kittanning","42-005-0001","AQS","30","."
"10/26/2011","35","Ozone","Kittanning","42-005-0001","AQS","35","."
"10/27/2011","15","Ozone","Kittanning","42-005-0001","AQS","15","."
"10/28/2011","18","Ozone","Kittanning","42-005-0001","AQS","18","."
"10/29/2011","15","Ozone","Kittanning","42-005-0001","AQS","15","."
"10/30/2011","15","Ozone","Kittanning","42-005-0001","AQS","15","."
"10/31/2011","25","Ozone","Kittanning","42-005-0001","AQS","25","."
