"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"09/10/2021","33","Ozone","Kittanning","42-005-0001","AQS","33","23"
"09/11/2021","44","Ozone","Kittanning","42-005-0001","AQS","44","27"
"09/12/2021","47","Ozone","Kittanning","42-005-0001","AQS","47","39"
"09/13/2021","60","PM2.5","Kittanning","42-005-0001","AQS","44","60"
"09/14/2021","62","PM2.5","Kittanning","42-005-0001","AQS","48","62"
"09/15/2021","42","PM2.5","Kittanning","42-005-0001","AQS","31","42"
"09/16/2021","30","Ozone","Kittanning","42-005-0001","AQS","30","27"
"09/17/2021","38","Ozone","Kittanning","42-005-0001","AQS","38","33"
"09/18/2021","48","Ozone","Kittanning","42-005-0001","AQS","48","43"
"09/19/2021","38","Ozone","Kittanning","42-005-0001","AQS","38","33"
"09/20/2021","42","Ozone","Kittanning","42-005-0001","AQS","42","35"
"09/21/2021","37","Ozone","Kittanning","42-005-0001","AQS","37","29"
"09/22/2021","27","Ozone","Kittanning","42-005-0001","AQS","27","14"
"09/23/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","10"
"09/24/2021","37","Ozone","Kittanning","42-005-0001","AQS","37","17"
"09/25/2021","40","Ozone","Kittanning","42-005-0001","AQS","40","23"
"09/26/2021","42","Ozone","Kittanning","42-005-0001","AQS","42","20"
"09/27/2021","50","Ozone","Kittanning","42-005-0001","AQS","50","32"
"09/28/2021","41","PM2.5","Kittanning","42-005-0001","AQS","37","41"
"09/29/2021","32","Ozone","Kittanning","42-005-0001","AQS","32","18"
"09/30/2021","19","PM2.5","Kittanning","42-005-0001","AQS",".","19"
"10/01/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","23"
"10/02/2021","44","Ozone","Kittanning","42-005-0001","AQS","44","31"
"10/03/2021","50","PM2.5","Kittanning","42-005-0001","AQS","29","50"
"10/04/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","23"
"10/05/2021","37","Ozone","Kittanning","42-005-0001","AQS","37","29"
"10/06/2021","33","Ozone","Kittanning","42-005-0001","AQS","33","30"
"10/07/2021","29","Ozone","Kittanning","42-005-0001","AQS","29","22"
"10/08/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","26"
"10/09/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","27"
"10/10/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","25"
"10/11/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","16"
"10/12/2021","35","Ozone","Kittanning","42-005-0001","AQS","35","27"
"10/13/2021","46","PM2.5","Kittanning","42-005-0001","AQS","33","46"
"10/14/2021","47","PM2.5","Kittanning","42-005-0001","AQS","32","47"
"10/15/2021","51","PM2.5","Kittanning","42-005-0001","AQS","29","51"
"10/16/2021","29","Ozone","Kittanning","42-005-0001","AQS","29","25"
"10/17/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","21"
"10/18/2021","36","Ozone","Kittanning","42-005-0001","AQS","36","18"
"10/19/2021","44","Ozone","Kittanning","42-005-0001","AQS","44","28"
"10/20/2021","50","Ozone","Kittanning","42-005-0001","AQS","50","30"
"10/21/2021","41","Ozone","Kittanning","42-005-0001","AQS","41","39"
"10/22/2021","22","PM2.5","Kittanning","42-005-0001","AQS","21","22"
"10/23/2021","30","PM2.5","Kittanning","42-005-0001","AQS","22","30"
"10/24/2021","35","PM2.5","Kittanning","42-005-0001","AQS","23","35"
"10/25/2021","37","Ozone","Kittanning","42-005-0001","AQS","37","28"
"10/26/2021","18","Ozone","Kittanning","42-005-0001","AQS","18","12"
"10/27/2021","25","PM2.5","Kittanning","42-005-0001","AQS","13","25"
"10/28/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","26"
"10/29/2021","28","Ozone","Kittanning","42-005-0001","AQS","28","9"
"10/30/2021","22","Ozone","Kittanning","42-005-0001","AQS","22","18"
"10/31/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","25"
"11/01/2021","15","PM2.5","Kittanning","42-005-0001","AQS",".","15"
"11/02/2021","22","PM2.5","Kittanning","42-005-0001","AQS",".","22"
"11/03/2021","20","PM2.5","Kittanning","42-005-0001","AQS",".","20"
"11/04/2021","24","PM2.5","Kittanning","42-005-0001","AQS",".","24"
"11/05/2021","34","PM2.5","Kittanning","42-005-0001","AQS",".","34"
"11/06/2021","39","PM2.5","Kittanning","42-005-0001","AQS",".","39"
"11/07/2021","50","PM2.5","Kittanning","42-005-0001","AQS",".","50"
"11/08/2021","59","PM2.5","Kittanning","42-005-0001","AQS",".","59"
"11/09/2021","58","PM2.5","Kittanning","42-005-0001","AQS",".","58"
"11/10/2021","54","PM2.5","Kittanning","42-005-0001","AQS",".","54"
"11/11/2021","49","PM2.5","Kittanning","42-005-0001","AQS",".","49"
"11/12/2021","20","PM2.5","Kittanning","42-005-0001","AQS",".","20"
"11/13/2021","18","PM2.5","Kittanning","42-005-0001","AQS",".","18"
"11/14/2021","24","PM2.5","Kittanning","42-005-0001","AQS",".","24"
"11/15/2021","14","PM2.5","Kittanning","42-005-0001","AQS",".","14"
"11/16/2021","44","PM2.5","Kittanning","42-005-0001","AQS",".","44"
"11/17/2021","54","PM2.5","Kittanning","42-005-0001","AQS",".","54"
"11/18/2021","29","PM2.5","Kittanning","42-005-0001","AQS",".","29"
"11/19/2021","26","PM2.5","Kittanning","42-005-0001","AQS",".","26"
"11/20/2021","35","PM2.5","Kittanning","42-005-0001","AQS",".","35"
"11/21/2021","45","PM2.5","Kittanning","42-005-0001","AQS",".","45"
"11/22/2021","26","PM2.5","Kittanning","42-005-0001","AQS",".","26"
"11/23/2021","30","PM2.5","Kittanning","42-005-0001","AQS",".","30"
"11/24/2021","49","PM2.5","Kittanning","42-005-0001","AQS",".","49"
"11/25/2021","31","PM2.5","Kittanning","42-005-0001","AQS",".","31"
"11/26/2021","13","PM2.5","Kittanning","42-005-0001","AQS",".","13"
"11/27/2021","31","PM2.5","Kittanning","42-005-0001","AQS",".","31"
"11/28/2021","49","PM2.5","Kittanning","42-005-0001","AQS",".","49"
"11/29/2021","29","PM2.5","Kittanning","42-005-0001","AQS",".","29"
"11/30/2021","56","PM2.5","Kittanning","42-005-0001","AQS",".","56"
"12/01/2021","66","PM2.5","Kittanning","42-005-0001","AQS",".","66"
"12/02/2021","60","PM2.5","Kittanning","42-005-0001","AQS",".","60"
"12/03/2021","31","PM2.5","Kittanning","42-005-0001","AQS",".","31"
"12/04/2021","44","PM2.5","Kittanning","42-005-0001","AQS",".","44"
"12/05/2021","51","PM2.5","Kittanning","42-005-0001","AQS",".","51"
"12/06/2021","48","PM2.5","Kittanning","42-005-0001","AQS",".","48"
"12/07/2021","52","PM2.5","Kittanning","42-005-0001","AQS",".","52"
"12/08/2021","62","PM2.5","Kittanning","42-005-0001","AQS",".","62"
"12/09/2021","72","PM2.5","Kittanning","42-005-0001","AQS",".","72"
"12/10/2021","61","PM2.5","Kittanning","42-005-0001","AQS",".","61"
"12/11/2021","35","PM2.5","Kittanning","42-005-0001","AQS",".","35"
"12/12/2021","27","PM2.5","Kittanning","42-005-0001","AQS",".","27"
"12/13/2021","33","PM2.5","Kittanning","42-005-0001","AQS",".","33"
"12/14/2021","55","PM2.5","Kittanning","42-005-0001","AQS",".","55"
"12/15/2021","52","PM2.5","Kittanning","42-005-0001","AQS",".","52"
"12/16/2021","43","PM2.5","Kittanning","42-005-0001","AQS",".","43"
"12/17/2021","44","PM2.5","Kittanning","42-005-0001","AQS",".","44"
"12/18/2021","34","PM2.5","Kittanning","42-005-0001","AQS",".","34"
"12/19/2021","25","PM2.5","Kittanning","42-005-0001","AQS",".","25"
"12/20/2021","46","PM2.5","Kittanning","42-005-0001","AQS",".","46"
"12/21/2021","67","PM2.5","Kittanning","42-005-0001","AQS",".","67"
"12/22/2021","60","PM2.5","Kittanning","42-005-0001","AQS",".","60"
"12/23/2021","69","PM2.5","Kittanning","42-005-0001","AQS",".","69"
"12/24/2021","53","PM2.5","Kittanning","42-005-0001","AQS",".","53"
"12/25/2021","38","PM2.5","Kittanning","42-005-0001","AQS",".","38"
"12/26/2021","56","PM2.5","Kittanning","42-005-0001","AQS",".","56"
"12/27/2021","52","PM2.5","Kittanning","42-005-0001","AQS",".","52"
"12/28/2021","47","PM2.5","Kittanning","42-005-0001","AQS",".","47"
"12/29/2021","46","PM2.5","Kittanning","42-005-0001","AQS",".","46"
"12/30/2021","61","PM2.5","Kittanning","42-005-0001","AQS",".","61"
"12/31/2021","58","PM2.5","Kittanning","42-005-0001","AQS",".","58"
