"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"04/01/2002","35","Ozone","Kittanning","42-005-0001","AQS","35","."
"04/02/2002","50","Ozone","Kittanning","42-005-0001","AQS","50","."
"04/03/2002","28","Ozone","Kittanning","42-005-0001","AQS","28","."
"04/04/2002","38","Ozone","Kittanning","42-005-0001","AQS","38","."
"04/05/2002","33","Ozone","Kittanning","42-005-0001","AQS","33","."
"04/06/2002","39","Ozone","Kittanning","42-005-0001","AQS","39","."
"04/07/2002","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"04/08/2002","64","Ozone","Kittanning","42-005-0001","AQS","64","."
"04/09/2002","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"04/10/2002","43","Ozone","Kittanning","42-005-0001","AQS","43","."
"04/11/2002","51","Ozone","Kittanning","42-005-0001","AQS","51","."
"04/12/2002","58","Ozone","Kittanning","42-005-0001","AQS","58","."
"04/13/2002","38","Ozone","Kittanning","42-005-0001","AQS","38","."
"04/14/2002","29","Ozone","Kittanning","42-005-0001","AQS","29","."
"04/15/2002","42","Ozone","Kittanning","42-005-0001","AQS","42","."
"04/16/2002","80","Ozone","Kittanning","42-005-0001","AQS","80","."
"04/17/2002","61","Ozone","Kittanning","42-005-0001","AQS","61","."
"04/18/2002","71","Ozone","Kittanning","42-005-0001","AQS","71","."
"04/19/2002","50","Ozone","Kittanning","42-005-0001","AQS","50","."
"04/20/2002","44","Ozone","Kittanning","42-005-0001","AQS","44","."
"04/21/2002","32","Ozone","Kittanning","42-005-0001","AQS","32","."
"04/22/2002","32","Ozone","Kittanning","42-005-0001","AQS","32","."
"04/23/2002","45","Ozone","Kittanning","42-005-0001","AQS","45","."
"04/24/2002","48","Ozone","Kittanning","42-005-0001","AQS","48","."
"04/25/2002","42","Ozone","Kittanning","42-005-0001","AQS","42","."
"04/26/2002","40","Ozone","Kittanning","42-005-0001","AQS","40","."
"04/27/2002","42","Ozone","Kittanning","42-005-0001","AQS","42","."
"04/28/2002","44","Ozone","Kittanning","42-005-0001","AQS","44","."
