"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2009","116","PM10","Calexico-Ethel Street","06-025-0005","AQS","52","32","116","80","101"
"01/02/2009","49","NO2","Calexico-Ethel Street","06-025-0005","AQS","28","30",".",".","49"
"01/03/2009","34","Ozone","Westmorland","06-025-4003","AQS","20","34",".",".","28"
"01/04/2009","35","Ozone","Westmorland","06-025-4003","AQS","11","35",".","11","23"
"01/05/2009","42","NO2","Calexico-Ethel Street","06-025-0005","AQS","17","31",".",".","42"
"01/06/2009","95","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","38","28",".","95","44"
"01/07/2009","81","PM2.5","Brawley-220 Main Street","06-025-0007","AQS","45","29","71","81","49"
"01/08/2009","102","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","31","28",".","102","89"
"01/09/2009","32","Ozone","Westmorland","06-025-4003","AQS","17","32",".",".","26"
"01/10/2009","34","Ozone","Westmorland","06-025-4003","AQS","10","34",".","13","34"
"01/11/2009","35","Ozone","Calexico-Ethel Street","06-025-0005","AQS","11","35",".",".","33"
"01/12/2009","37","Ozone","Westmorland","06-025-4003","AQS","13","37",".",".","37"
"01/13/2009","66","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","26","32","51","66","42"
"01/14/2009","60","NO2","Calexico-Ethel Street","06-025-0005","AQS","27","31",".",".","60"
"01/15/2009","46","NO2","Calexico-Ethel Street","06-025-0005","AQS","27","28",".",".","46"
"01/16/2009","36","NO2","El Centro-9th Street","06-025-1003","AQS","9","31",".","17","36"
"01/17/2009","38","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","19","33",".",".","38"
"01/18/2009","31","Ozone","Calexico-Ethel Street","06-025-0005","AQS","22","31",".",".","28"
"01/19/2009","37","NO2","El Centro-9th Street","06-025-1003","AQS","10","33","27","14","37"
"01/20/2009","39","NO2","Calexico-Ethel Street","06-025-0005","AQS","13","31",".",".","39"
"01/21/2009","71","Ozone","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","16","71",".","38","41"
"01/22/2009","63","NO2","Calexico-Ethel Street","06-025-0005","AQS","33","31",".","55","63"
"01/23/2009","35","NO2","El Centro-9th Street","06-025-1003","AQS","15","34",".",".","35"
"01/24/2009","33","Ozone","Westmorland","06-025-4003","AQS","16","33",".",".","33"
"01/25/2009","63","PM10","Niland-English Road","06-025-4004","AQS","10","37","63","17","5"
"01/26/2009","40","Ozone","Westmorland","06-025-4003","AQS","10","40",".",".","8"
"01/27/2009","36","Ozone","Niland-English Road","06-025-4004","AQS","25","36",".",".","33"
"01/28/2009","37","NO2","El Centro-9th Street","06-025-1003","AQS","28","36",".","15","37"
"01/29/2009","38","Ozone","Niland-English Road","06-025-4004","AQS","14","38",".",".","24"
"01/30/2009","37","NO2","Calexico-Ethel Street","06-025-0005","AQS","14","36",".",".","37"
"01/31/2009","50","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","34","37","41","50","38"
"02/01/2009","37","Ozone","El Centro-9th Street","06-025-1003","AQS","36","37",".",".","26"
"02/02/2009","41","NO2","Calexico-Ethel Street","06-025-0005","AQS","16","36",".",".","41"
"02/03/2009","37","NO2","Calexico-Ethel Street","06-025-0005","AQS","16","33","27","25","37"
"02/04/2009","86","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","30","35",".",".","86"
"02/05/2009","67","NO2","Calexico-Ethel Street","06-025-0005","AQS","32","39",".",".","67"
"02/06/2009","42","NO2","Calexico-Ethel Street","06-025-0005","AQS","10","39","36","9","42"
"02/07/2009","34","Ozone","Niland-English Road","06-025-4004","AQS","10","34",".",".","26"
"02/08/2009","38","Ozone","El Centro-9th Street","06-025-1003","AQS","11","38",".",".","22"
"02/09/2009","37","Ozone","Calexico-Ethel Street","06-025-0005","AQS","11","37",".","2","25"
"02/10/2009","102","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","16","38",".",".","102"
"02/11/2009","50","NO2","Calexico-Ethel Street","06-025-0005","AQS","23","37",".",".","50"
"02/12/2009","42","Ozone","Westmorland","06-025-4003","AQS","9","42","15","17","27"
"02/13/2009","44","Ozone","Niland-English Road","06-025-4004","AQS","10","44",".",".","23"
"02/14/2009","44","Ozone","Westmorland","06-025-4003","AQS","17","44",".",".","40"
"02/15/2009","39","Ozone","Westmorland","06-025-4003","AQS","17","39",".","27","34"
"02/16/2009","53","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","15","36",".","53","35"
"02/17/2009","44","Ozone","Niland-English Road","06-025-4004","AQS","9","44",".",".","20"
"02/18/2009","47","Ozone","Niland-English Road","06-025-4004","AQS","10","47","16","17","29"
"02/19/2009","45","Ozone","Niland-English Road","06-025-4004","AQS","10","45",".",".","36"
"02/20/2009","44","Ozone","Niland-English Road","06-025-4004","AQS","14","44",".",".","42"
"02/21/2009","42","Ozone","Niland-English Road","06-025-4004","AQS","17","42",".","24","41"
"02/22/2009","42","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","20","36",".",".","42"
"02/23/2009","47","Ozone","Niland-English Road","06-025-4004","AQS","19","47",".",".","39"
"02/24/2009","50","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","25","43","44","46","50"
"02/25/2009","50","Ozone","Niland-English Road","06-025-4004","AQS","27","50",".",".","34"
"02/26/2009","48","Ozone","Niland-English Road","06-025-4004","AQS","9","48",".",".","23"
"02/27/2009","58","Ozone","Niland-English Road","06-025-4004","AQS","10","58",".","48","42"
"02/28/2009","48","Ozone","Niland-English Road","06-025-4004","AQS","10","48",".",".","34"
"03/01/2009","49","Ozone","Calexico-Ethel Street","06-025-0005","AQS","11","49",".",".","45"
"03/02/2009","44","Ozone","Niland-English Road","06-025-4004","AQS","18","44","30","42","41"
"03/03/2009","46","Ozone","Niland-English Road","06-025-4004","AQS","10","46","44",".","44"
"03/04/2009","47","Ozone","Niland-English Road","06-025-4004","AQS","10","47",".",".","14"
"03/05/2009","50","Ozone","Niland-English Road","06-025-4004","AQS","7","50",".","11","36"
"03/06/2009","49","Ozone","Niland-English Road","06-025-4004","AQS","7","49",".",".","7"
"03/07/2009","50","Ozone","Niland-English Road","06-025-4004","AQS","9","50",".",".","31"
"03/08/2009","51","Ozone","Niland-English Road","06-025-4004","AQS","15","51","39","38","39"
"03/09/2009","54","Ozone","Niland-English Road","06-025-4004","AQS","9","54",".",".","17"
"03/10/2009","77","Ozone","Niland-English Road","06-025-4004","AQS","9","77",".",".","48"
"03/11/2009","74","Ozone","Westmorland","06-025-4003","AQS","10","74",".","32","52"
"03/12/2009","77","Ozone","Niland-English Road","06-025-4004","AQS","8","77",".",".","16"
"03/13/2009","54","Ozone","Niland-English Road","06-025-4004","AQS","15","54",".",".","52"
"03/14/2009","54","Ozone","Niland-English Road","06-025-4004","AQS","15","54","28","24","19"
"03/15/2009","71","Ozone","Niland-English Road","06-025-4004","AQS","11","71",".",".","40"
"03/16/2009","74","Ozone","Niland-English Road","06-025-4004","AQS","11","74",".",".","46"
"03/17/2009","84","Ozone","Niland-English Road","06-025-4004","AQS","15","84",".","53","69"
"03/18/2009","61","Ozone","Niland-English Road","06-025-4004","AQS","20","61",".",".","60"
"03/19/2009","71","Ozone","Niland-English Road","06-025-4004","AQS","24","71",".",".","52"
"03/20/2009","61","Ozone","Niland-English Road","06-025-4004","AQS","18","61","52","39","50"
"03/21/2009","50","Ozone","Niland-English Road","06-025-4004","AQS","16","50",".",".","24"
"03/22/2009","71","Ozone","Niland-English Road","06-025-4004","AQS","8","71",".",".","5"
"03/23/2009","61","Ozone","Niland-English Road","06-025-4004","AQS","9","61",".","14","23"
"03/24/2009","50","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","18","49",".",".","50"
"03/25/2009","49","Ozone","Niland-English Road","06-025-4004","AQS","18","49",".",".","45"
"03/26/2009","90","Ozone","Niland-English Road","06-025-4004","AQS","18","90","50","53","34"
"03/27/2009","51","Ozone","Niland-English Road","06-025-4004","AQS","17","51",".",".","46"
"03/28/2009","58","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","34","51",".",".","58"
"03/29/2009","80","Ozone","Niland-English Road","06-025-4004","AQS","48","80",".","30","37"
"03/30/2009","58","Ozone","Niland-English Road","06-025-4004","AQS","17","58",".",".","53"
"03/31/2009","71","Ozone","Westmorland","06-025-4003","AQS","18","71",".",".","44"
"04/01/2009","97","Ozone","Niland-English Road","06-025-4004","AQS","27","97","68","31","73"
"04/02/2009","51","Ozone","Niland-English Road","06-025-4004","AQS","27","51",".",".","27"
"04/03/2009","84","Ozone","Niland-English Road","06-025-4004","AQS","23","84",".",".","28"
"04/04/2009","80","Ozone","Niland-English Road","06-025-4004","AQS","26","80",".","47","41"
"04/05/2009","50","Ozone","Niland-English Road","06-025-4004","AQS","27","50",".","25","35"
"04/06/2009","67","Ozone","Niland-English Road","06-025-4004","AQS","28","67",".",".","46"
"04/07/2009","90","PM10","El Centro-9th Street","06-025-1003","AQS","43","80","90","66","85"
"04/08/2009","50","Ozone","Niland-English Road","06-025-4004","AQS","26","50",".",".","7"
"04/09/2009","61","Ozone","Niland-English Road","06-025-4004","AQS","28","61",".",".","32"
"04/10/2009","64","Ozone","Niland-English Road","06-025-4004","AQS","28","64",".","20","19"
