"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2019","36","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","2","32","17","36","15"
"01/02/2019","69","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","15","34","38","69","33"
"01/03/2019","77","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","18","31","51","77","32"
"01/04/2019","57","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","14","31","51","57","35"
"01/05/2019","68","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","11","20","33","68","38"
"01/06/2019","83","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","3","28","29","83","17"
"01/07/2019","70","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","8","28","31","70","31"
"01/08/2019","37","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","8","35","24","37","33"
"01/09/2019","47","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","9","31","33","47","33"
"01/10/2019","73","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","27","31","62","73","38"
"01/11/2019","144","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","42","29","81","144","40"
"01/12/2019","84","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","8","33","41","84","25"
"01/13/2019","36","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","6","36","16","36","24"
"01/14/2019","38","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","5","26","17","38","22"
"01/15/2019","61","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","8","29","24","61","27"
"01/16/2019","75","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","9","17","31","75","24"
"01/17/2019","88","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","13","21","56","88","29"
"01/18/2019","38","PM2.5","Brawley-220 Main Street","06-025-0007","AQS","11","33","25","38","32"
"01/19/2019","37","Ozone","Calexico-Ethel Street","06-025-0005","AQS","7","37","22","29","27"
"01/20/2019","56","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","11","34","37","56","28"
"01/21/2019","86","PM10","Brawley-220 Main Street","06-025-0007","AQS","13","42","86","30","29"
"01/22/2019","37","Ozone","Calexico-Ethel Street","06-025-0005","AQS","2","37","31","17","21"
"01/23/2019","42","PM10","Calexico-Ethel Street","06-025-0005","AQS","7","37","42","39","32"
"01/24/2019","34","PM10","Calexico-Ethel Street","06-025-0005","AQS","7","32","34","27","33"
"01/25/2019","44","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","3","39","30","44","32"
"01/26/2019","41","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","41","25","38","16"
"01/27/2019","47","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","8","39","29","47","28"
"01/28/2019","52","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","9","35","51","52","38"
"01/29/2019","59","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","8","28","54","59","28"
"01/30/2019","58","PM10","Calexico-Ethel Street","06-025-0005","AQS","10","33","58","57","34"
"01/31/2019","80","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","14","33","64","80","32"
"02/01/2019","55","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","6","38","27","55","38"
"02/02/2019","39","Ozone","Calexico-Ethel Street","06-025-0005","AQS","6","39","25","33","22"
"02/03/2019","43","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","43","19","13","4"
"02/04/2019","38","Ozone","Niland-English Road","06-025-4004","AQS","5","38","23","37","23"
"02/05/2019","43","Ozone","Niland-English Road","06-025-4004","AQS","3","43","38","28","20"
"02/06/2019","42","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","42","13","15","11"
"02/07/2019","52","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","8","38","31","52","28"
"02/08/2019","41","Ozone","Calexico-Ethel Street","06-025-0005","AQS","6","41","34","40","34"
"02/09/2019","68","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","7","37","53","68","35"
"02/10/2019","82","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","11","43","52","82","23"
"02/11/2019","45","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","45","21","25","32"
"02/12/2019","40","Ozone","Westmorland","06-025-4003","AQS","3","40","30","22","32"
"02/13/2019","66","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","13","29","60","66","48"
"02/14/2019","45","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","3","38","17","45","9"
"02/15/2019","45","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","45","14","16","6"
"02/16/2019","44","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","44","11","8","5"
"02/17/2019","43","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","43","17","10","2"
"02/18/2019","43","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","43","7","15","6"
"02/19/2019","40","Ozone","Calexico-Ethel Street","06-025-0005","AQS","6","40","27","31","33"
"02/20/2019","69","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","11","40","52","69","32"
"02/21/2019","43","Ozone","Niland-English Road","06-025-4004","AQS","2","43","14","17","16"
"02/22/2019","42","Ozone","Calexico-Ethel Street","06-025-0005","AQS","2","42","13","15","18"
"02/23/2019","82","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","13","44","53","82","34"
"02/24/2019","45","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","8","45","28","45","32"
"02/25/2019","62","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","7","40","53","62","."
"02/26/2019","72","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","8","39","65","72","."
"02/27/2019","72","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","9","46","59","72","."
"02/28/2019","33","Ozone","Westmorland","06-025-4003","AQS","3","33","22","23","."
"03/01/2019","45","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","6","44","40","45","31"
"03/02/2019","43","PM10","Calexico-Ethel Street","06-025-0005","AQS","6","36","43","36","27"
"03/03/2019","43","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","43","15","15","4"
"03/04/2019","43","Ozone","Calexico-Ethel Street","06-025-0005","AQS","6","43","33","26","37"
"03/05/2019","67","Ozone","Calexico-Ethel Street","06-025-0005","AQS","6","67","38","39","32"
"03/06/2019","39","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","39","21","30","21"
"03/07/2019","42","Ozone","Niland-English Road","06-025-4004","AQS","2","42","37","20","12"
"03/08/2019","46","Ozone","Niland-English Road","06-025-4004","AQS","1","46","22","12","3"
"03/09/2019","46","Ozone","Calexico-Ethel Street","06-025-0005","AQS","2","46","18","29","14"
"03/10/2019","43","Ozone","Calexico-Ethel Street","06-025-0005","AQS","2","43","18","16","7"
"03/11/2019","36","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","36","21","26","26"
"03/12/2019","41","Ozone","Niland-English Road","06-025-4004","AQS","2","41","13","18","7"
"03/13/2019","48","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","48","23","23","26"
"03/14/2019","45","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","45","27","15","29"
"03/15/2019","44","Ozone","Calexico-Ethel Street","06-025-0005","AQS","2","44","15","15","11"
"03/16/2019","47","Ozone","Calexico-Ethel Street","06-025-0005","AQS","2","47","18","26","12"
"03/17/2019","51","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","51","19","27","26"
"03/18/2019","50","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","50","30","30","35"
"03/19/2019","49","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","6","45","34","49","29"
"03/20/2019","54","PM10","Calexico-Ethel Street","06-025-0005","AQS","5","45","54","32","41"
"03/21/2019","46","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","46","14","15","7"
"03/22/2019","64","Ozone","Calexico-Ethel Street","06-025-0005","AQS","8","64","33","37","48"
"03/23/2019","80","Ozone","Calexico-Ethel Street","06-025-0005","AQS","8","80","21","24","14"
"03/24/2019","77","Ozone","Calexico-Ethel Street","06-025-0005","AQS","6","77","32","43","50"
"03/25/2019","101","Ozone","El Centro-9th Street","06-025-1003","AQS","6","101","44","53","48"
"03/26/2019","97","Ozone","Calexico-Ethel Street","06-025-0005","AQS","6","97","52","62","31"
"03/27/2019","67","Ozone","El Centro-9th Street","06-025-1003","AQS","8","67","52","60","45"
"03/28/2019","51","Ozone","El Centro-9th Street","06-025-1003","AQS","1","51","21","16","4"
"03/29/2019","54","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","54","31","33","25"
"03/30/2019","58","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","58","23","38","13"
"03/31/2019","51","Ozone","Calexico-Ethel Street","06-025-0005","AQS","2","51","20","22","24"
"04/01/2019","74","Ozone","El Centro-9th Street","06-025-1003","AQS","3","74","37","26","40"
"04/02/2019","56","PM10","Calexico-Ethel Street","06-025-0005","AQS","3","50","56","52","25"
"04/03/2019","45","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","45","25","19","8"
"04/04/2019","44","Ozone","Calexico-Ethel Street","06-025-0005","AQS","2","44","31","24","22"
"04/05/2019","39","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","39","15","10","11"
"04/06/2019","52","PM10","Niland-English Road","06-025-4004","AQS","2","47","52","20","14"
"04/07/2019","71","Ozone","Calexico-Ethel Street","06-025-0005","AQS","7","71","32","37","45"
"04/08/2019","97","Ozone","Calexico-Ethel Street","06-025-0005","AQS","7","97","41","23","19"
"04/09/2019","73","PM10","Brawley-220 Main Street","06-025-0007","AQS","3","61","73","47","24"
"04/10/2019","61","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","61","35","24","7"
"04/11/2019","61","Ozone","Calexico-Ethel Street","06-025-0005","AQS","2","61","30","22","16"
"04/12/2019","50","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","50","36","38","5"
"04/13/2019","58","Ozone","Calexico-Ethel Street","06-025-0005","AQS","5","58","30","34","38"
"04/14/2019","71","Ozone","Calexico-Ethel Street","06-025-0005","AQS","6","71","38","49","30"
"04/15/2019","90","Ozone","Calexico-Ethel Street","06-025-0005","AQS","5","90","39","33","28"
"04/16/2019","47","Ozone","Niland-English Road","06-025-4004","AQS","1","47","37","25","6"
"04/17/2019","50","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","50","27","29","30"
"04/18/2019","48","Ozone","Calexico-Ethel Street","06-025-0005","AQS","5","48","32","27","35"
"04/19/2019","74","Ozone","Calexico-Ethel Street","06-025-0005","AQS","7","74","33","23","24"
"04/20/2019","71","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","71","38","24","4"
"04/21/2019","80","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","80","36","24","3"
"04/22/2019","48","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","48","25","23","8"
"04/23/2019","54","Ozone","Calexico-Ethel Street","06-025-0005","AQS","1","54","25","28","17"
"04/24/2019","84","Ozone","Calexico-Ethel Street","06-025-0005","AQS","5","84","40","72","40"
"04/25/2019","84","Ozone","Calexico-Ethel Street","06-025-0005","AQS","5","84","44","82","31"
"04/26/2019","115","Ozone","Calexico-Ethel Street","06-025-0005","AQS","6","115","42","60","32"
"04/27/2019","87","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","87","34","44","25"
"04/28/2019","49","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","2","46","33","49","25"
"04/29/2019","95","PM10","Westmorland","06-025-4003","AQS","2","36","95","27","3"
"04/30/2019","44","Ozone","Calexico-Ethel Street","06-025-0005","AQS","2","44","25","33","23"
"05/01/2019","58","Ozone","Calexico-Ethel Street","06-025-0005","AQS","2","58","29","36","20"
