"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","75","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","6","39","40","75","29"
"01/02/2020","55","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","10","33","50","55","35"
"01/03/2020","63","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","18","31","59","63","36"
"01/04/2020","73","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","22","31","53","73","29"
"01/05/2020","61","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","8","34","37","61","25"
"01/06/2020","48","PM10","Calexico-Ethel Street","06-025-0005","AQS","10","36","48","27","37"
"01/07/2020","58","PM10","Calexico-Ethel Street","06-025-0005","AQS","17","32","58","38","33"
"01/08/2020","97","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","38","31","69","97","39"
"01/09/2020","44","PM10","Calexico-Ethel Street","06-025-0005","AQS","5","36","44","26","29"
"01/10/2020","54","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","18","35","54","54","36"
"01/11/2020","124","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","31","29","75","124","35"
"01/12/2020","70","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","8","37","50","70","28"
"01/13/2020","112","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","19","35","72","112","73"
"01/14/2020","76","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","9","38","59","76","35"
"01/15/2020","76","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","10","44","59","76","43"
"01/16/2020","98","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","15","39","73","98","47"
"01/17/2020","36","Ozone","Calexico-Ethel Street","06-025-0005","AQS","6","36","32","34","34"
"01/18/2020","39","Ozone","Calexico-Ethel Street","06-025-0005","AQS","5","39","20","17","25"
"01/19/2020","39","Ozone","Calexico-Ethel Street","06-025-0005","AQS","3","39","22","23","22"
"01/20/2020","77","PM10","Calexico-Ethel Street","06-025-0005","AQS","15","21","77","66","38"
"01/21/2020","59","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","15","35","44","59","24"
"01/22/2020","54","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","5","38","38","54","34"
"01/23/2020","53","PM10","Calexico-Ethel Street","06-025-0005","AQS","14","39","53","49","36"
"01/24/2020","54","PM10","Calexico-Ethel Street","06-025-0005","AQS","15","32","54","48","33"
"01/25/2020","53","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","15","38","51","53","37"
"01/26/2020","85","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","26","42","57","85","33"
"01/27/2020","44","PM10","Calexico-Ethel Street","06-025-0005","AQS","5","37","44","38","39"
"01/28/2020","62","PM10","Calexico-Ethel Street","06-025-0005","AQS","10","36","62","52","41"
"01/29/2020","76","PM10","Westmorland","06-025-4003","AQS","13","36","76","39","25"
"01/30/2020","52","PM10","Calexico-Ethel Street","06-025-0005","AQS","9","39","52","39","41"
"01/31/2020","52","PM10","Calexico-Ethel Street","06-025-0005","AQS","11","38","52","49","36"
"02/01/2020","57","PM10","Calexico-Ethel Street","06-025-0005","AQS","11","36","57","55","38"
"02/02/2020","61","PM10","Westmorland","06-025-4003","AQS","10","38","61","38","22"
"02/03/2020","72","PM10","Brawley-220 Main Street","06-025-0007","AQS","2","36","72","31","7"
"02/04/2020","50","PM10","Westmorland","06-025-4003","AQS","2","38","50","13","14"
"02/05/2020","51","PM10","Calexico-Ethel Street","06-025-0005","AQS","13","37","51","43","37"
"02/06/2020","85","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","18","31","75","85","38"
"02/07/2020","77","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","7","43","65","77","39"
