"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"03/07/2004","46","Ozone","Niland-English Road","06-025-4004","AQS","8","46",".","33","27"
"03/08/2004","42","Ozone","Niland-English Road","06-025-4004","AQS","6","42",".",".","36"
"03/09/2004","53","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","22","41",".",".","53"
"03/10/2004","58","Ozone","Niland-English Road","06-025-4004","AQS","22","58","38","29","28"
"03/11/2004","48","Ozone","Niland-English Road","06-025-4004","AQS","10","48",".",".","38"
"03/12/2004","67","Ozone","Niland-English Road","06-025-4004","AQS","14","67",".",".","29"
"03/13/2004","54","Ozone","Niland-English Road","06-025-4004","AQS","23","54",".","52","45"
"03/14/2004","54","Ozone","Niland-English Road","06-025-4004","AQS","35","54",".",".","46"
"03/15/2004","56","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","18","47",".",".","56"
"03/16/2004","76","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","26","44","65","76","54"
"03/17/2004","52","NO2","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","41","44",".",".","52"
"03/18/2004","50","NO2","Calexico-Ethel Street","06-025-0005","AQS","45","46",".",".","50"
"03/19/2004","77","Ozone","Niland-English Road","06-025-4004","AQS","20","77",".","70","57"
"03/20/2004","58","Ozone","El Centro-9th Street","06-025-1003","AQS","18","58",".",".","42"
"03/21/2004","58","Ozone","El Centro-9th Street","06-025-1003","AQS","7","58",".",".","36"
"03/22/2004","110","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","25","67","100","110","77"
"03/23/2004","43","Ozone","Niland-English Road","06-025-4004","AQS","30","43",".",".","40"
"03/24/2004","58","Ozone","Niland-English Road","06-025-4004","AQS","8","58",".",".","54"
"03/25/2004","100","Ozone","Niland-English Road","06-025-4004","AQS","9","100",".","54","31"
"03/26/2004","46","Ozone","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","2","46",".",".","8"
"03/27/2004","64","Ozone","El Centro-9th Street","06-025-1003","AQS","18","64",".",".","47"
"03/28/2004","74","Ozone","Niland-English Road","06-025-4004","AQS","20","74","33","50","28"
"03/29/2004","51","Ozone","PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96","06-025-0006","AQS","5","51",".",".","43"
"03/30/2004","74","Ozone","El Centro-9th Street","06-025-1003","AQS","5","74",".",".","28"
"03/31/2004","54","Ozone","Niland-English Road","06-025-4004","AQS","7","54",".","41","25"
"04/01/2004","49","Ozone","Niland-English Road","06-025-4004","AQS","7","49",".",".","26"
"04/02/2004","42","Ozone","Niland-English Road","06-025-4004","AQS","5","42",".",".","13"
