"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2012","28","PM2.5","Laramie SLAM site","56-001-0006","AQS",".","12","28"
"01/02/2012","18","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS",".","18","."
"01/03/2012","45","Ozone","Centennial","56-001-9991","AQS","45","25","."
"01/04/2012","44","Ozone","Centennial","56-001-9991","AQS","44","27","12"
"01/05/2012","43","Ozone","Centennial","56-001-9991","AQS","43","29","."
"01/06/2012","42","Ozone","Centennial","56-001-9991","AQS","42","41","."
"01/07/2012","42","Ozone","Centennial","56-001-9991","AQS","42","15","31"
"01/08/2012","42","Ozone","Centennial","56-001-9991","AQS","42","14","."
"01/09/2012","40","Ozone","Centennial","56-001-9991","AQS","40","19","."
"01/10/2012","44","Ozone","Centennial","56-001-9991","AQS","44","41","33"
"01/11/2012","39","Ozone","Centennial","56-001-9991","AQS","39","33","."
"01/12/2012","41","Ozone","Centennial","56-001-9991","AQS","41","19","."
"01/13/2012","72","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","41","72","20"
"01/14/2012","42","Ozone","Centennial","56-001-9991","AQS","42","24","."
"01/15/2012","64","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS","41","64","."
"01/16/2012","38","Ozone","Centennial","56-001-9991","AQS","38","26","13"
"01/17/2012","39","Ozone","Centennial","56-001-9991","AQS","39","37","."
"01/18/2012","108","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS",".","108","."
"01/19/2012","26","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS",".","26","21"
"01/20/2012","34","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS",".","34","."
"01/21/2012","69","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS",".","69","."
"01/22/2012","24","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS",".","24","5"
"01/23/2012","19","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS",".","19","."
"01/24/2012","42","Ozone","Centennial","56-001-9991","AQS","42","9","."
"01/25/2012","43","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","42","43","19"
"01/26/2012","41","Ozone","Centennial","56-001-9991","AQS","41","21","."
"01/27/2012","41","Ozone","Centennial","56-001-9991","AQS","41","16","."
"01/28/2012","59","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","44","59","17"
"01/29/2012","50","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","38","50","."
"01/30/2012","42","Ozone","Centennial","56-001-9991","AQS","42","34","."
"01/31/2012","44","Ozone","Centennial","56-001-9991","AQS","44","19","16"
"02/01/2012","46","Ozone","Centennial","56-001-9991","AQS","46","31","."
"02/02/2012","43","Ozone","Centennial","56-001-9991","AQS","43","27","."
"02/03/2012","44","Ozone","Centennial","56-001-9991","AQS","44","19","19"
"02/04/2012","48","Ozone","Centennial","56-001-9991","AQS","48","11","."
"02/05/2012","47","Ozone","Centennial","56-001-9991","AQS","47","15","."
"02/06/2012","47","Ozone","Centennial","56-001-9991","AQS","47","14","38"
"02/07/2012","48","Ozone","Centennial","56-001-9991","AQS","48","7","."
"02/08/2012","48","Ozone","Centennial","56-001-9991","AQS","48","30","."
"02/09/2012","44","Ozone","Centennial","56-001-9991","AQS","44","16","15"
"02/10/2012","43","Ozone","Centennial","56-001-9991","AQS","43","19","."
"02/11/2012","44","Ozone","Centennial","56-001-9991","AQS","44","19","."
"02/12/2012","45","Ozone","Centennial","56-001-9991","AQS","45","20","36"
"02/13/2012","44","Ozone","Centennial","56-001-9991","AQS","44","6","."
"02/14/2012","43","Ozone","Centennial","56-001-9991","AQS","43","18","."
"02/15/2012","45","Ozone","Centennial","56-001-9991","AQS","45","20","37"
"02/16/2012","47","Ozone","Centennial","56-001-9991","AQS","47","19","."
"02/17/2012","47","Ozone","Centennial","56-001-9991","AQS","47","20","."
"02/18/2012","48","Ozone","Centennial","56-001-9991","AQS","48","14","18"
"02/19/2012","46","Ozone","Centennial","56-001-9991","AQS","46","25","."
"02/20/2012","43","Ozone","Centennial","56-001-9991","AQS","43","31","."
"02/21/2012","51","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS",".","51","8"
"02/22/2012","90","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","41","90","."
"02/23/2012","44","Ozone","Centennial","56-001-9991","AQS","44","5","."
"02/24/2012","44","Ozone","Centennial","56-001-9991","AQS","44","25","10"
"02/25/2012","44","Ozone","Centennial","56-001-9991","AQS","44","33","."
"02/26/2012","67","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","47","67","."
"02/27/2012","49","Ozone","Centennial","56-001-9991","AQS","49","23","19"
"02/28/2012","47","Ozone","Centennial","56-001-9991","AQS","47","24","."
"02/29/2012","48","Ozone","Centennial","56-001-9991","AQS","48","25","."
"03/01/2012","47","Ozone","Centennial","56-001-9991","AQS","47","15","8"
"03/02/2012","44","Ozone","Centennial","56-001-9991","AQS","44","15","."
"03/03/2012","60","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","42","60","."
"03/04/2012","53","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","44","53","19"
"03/05/2012","55","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","44","55","."
"03/06/2012","67","Ozone","Centennial","56-001-9991","AQS","67","39","."
"03/07/2012","48","Ozone","Centennial","56-001-9991","AQS","48","15","15"
"03/08/2012","54","Ozone","Centennial","56-001-9991","AQS","54","17","."
"03/09/2012","54","Ozone","Centennial","56-001-9991","AQS","54","19","."
"03/10/2012","51","Ozone","Centennial","56-001-9991","AQS","51","19","20"
"03/11/2012","64","Ozone","Centennial","56-001-9991","AQS","64","16","."
"03/12/2012","58","Ozone","Centennial","56-001-9991","AQS","58","50","."
"03/13/2012","63","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS","51","63","23"
"03/14/2012","51","Ozone","Centennial","56-001-9991","AQS","51","31","."
"03/15/2012","47","Ozone","Centennial","56-001-9991","AQS","47","28","."
"03/16/2012","51","Ozone","Centennial","56-001-9991","AQS","51","38","18"
"03/17/2012","47","Ozone","Centennial","56-001-9991","AQS","47","23","."
"03/18/2012","55","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS","54","55","."
"03/19/2012","48","Ozone","Centennial","56-001-9991","AQS","48","24","8"
"03/20/2012","50","Ozone","Centennial","56-001-9991","AQS","50","18","."
"03/21/2012","49","Ozone","Centennial","56-001-9991","AQS","49","15","."
"03/22/2012","49","Ozone","Centennial","56-001-9991","AQS","49","19","15"
"03/23/2012","44","Ozone","Centennial","56-001-9991","AQS","44","19","."
"03/24/2012","49","Ozone","Centennial","56-001-9991","AQS","49","22","."
"03/25/2012","50","Ozone","Centennial","56-001-9991","AQS","50","35","23"
"03/26/2012","125","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","71","125","."
"03/27/2012","71","Ozone","Centennial","56-001-9991","AQS","71","35","."
"03/28/2012","54","Ozone","Centennial","56-001-9991","AQS","54","46","26"
"03/29/2012","61","Ozone","Centennial","56-001-9991","AQS","61","39","."
"03/30/2012","49","Ozone","Centennial","56-001-9991","AQS","49","46","."
"03/31/2012","46","Ozone","Centennial","56-001-9991","AQS","46","21","18"
"04/01/2012","51","Ozone","Centennial","56-001-9991","AQS","51","30","."
"04/02/2012","49","Ozone","Centennial","56-001-9991","AQS","49","15","."
"04/03/2012","58","Ozone","Centennial","56-001-9991","AQS","58","10","10"
"04/04/2012","64","Ozone","Centennial","56-001-9991","AQS","64","17","."
"04/05/2012","58","Ozone","Centennial","56-001-9991","AQS","58","31","."
"04/06/2012","93","Ozone","Centennial","56-001-9991","AQS","93","69","31"
"04/07/2012","74","Ozone","Centennial","56-001-9991","AQS","74","30","."
"04/08/2012","87","Ozone","Centennial","56-001-9991","AQS","87","33","."
"04/09/2012","84","Ozone","Centennial","56-001-9991","AQS","84","29","28"
"04/10/2012","29","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS",".","29","."
"04/11/2012","52","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS","50","52","."
"04/12/2012","64","Ozone","Centennial","56-001-9991","AQS","64","39","17"
"04/13/2012","67","Ozone","Centennial","56-001-9991","AQS","67","23","."
"04/14/2012","105","Ozone","Centennial","56-001-9991","AQS","105","12","."
"04/15/2012","58","Ozone","Centennial","56-001-9991","AQS","58","11","6"
"04/16/2012","58","Ozone","Centennial","56-001-9991","AQS","58","39","."
"04/17/2012","24","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS",".","24","."
"04/18/2012","50","Ozone","Centennial","56-001-9991","AQS","50","44","16"
"04/19/2012","61","Ozone","Centennial","56-001-9991","AQS","61","22","."
"04/20/2012","48","Ozone","Centennial","56-001-9991","AQS","48","31","."
"04/21/2012","61","Ozone","Centennial","56-001-9991","AQS","61","23","18"
"04/22/2012","54","Ozone","Centennial","56-001-9991","AQS","54","20","."
"04/23/2012","28","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS",".","28","."
"04/24/2012","42","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS",".","42","23"
"04/25/2012","77","Ozone","Centennial","56-001-9991","AQS","77","27","."
"04/26/2012","54","Ozone","Centennial","56-001-9991","AQS","54","28","."
"04/27/2012","74","Ozone","Centennial","56-001-9991","AQS","74","46","12"
"04/28/2012","58","Ozone","Centennial","56-001-9991","AQS","58","33","."
"04/29/2012","87","Ozone","Centennial","56-001-9991","AQS","87","20","."
"04/30/2012","80","Ozone","Centennial","56-001-9991","AQS","80","36","25"
"05/01/2012","67","Ozone","Centennial","56-001-9991","AQS","67","53","."
"05/02/2012","25","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS",".","25","."
"05/03/2012","51","Ozone","Centennial","56-001-9991","AQS","51","29","24"
"05/04/2012","71","Ozone","Centennial","56-001-9991","AQS","71","38","."
"05/05/2012","90","Ozone","Centennial","56-001-9991","AQS","90","31","."
"05/06/2012","77","Ozone","Centennial","56-001-9991","AQS","77","18","16"
"05/07/2012","8","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS",".","8","."
"05/08/2012","16","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS",".","16","."
"05/09/2012","54","Ozone","Centennial","56-001-9991","AQS","54","20","21"
"05/10/2012","67","Ozone","Centennial","56-001-9991","AQS","67","44","."
"05/11/2012","71","Ozone","Centennial","56-001-9991","AQS","71","21","."
"05/12/2012","74","Ozone","Centennial","56-001-9991","AQS","74","16","."
"05/13/2012","105","Ozone","Centennial","56-001-9991","AQS","105","11","."
"05/14/2012","23","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS",".","23","."
"05/15/2012","31","PM2.5","Laramie SLAM site","56-001-0006","AQS",".","29","31"
"05/16/2012","77","Ozone","Centennial","56-001-9991","AQS","77","34","."
"05/17/2012","87","Ozone","Centennial","56-001-9991","AQS","87","33","."
"05/18/2012","77","Ozone","Centennial","56-001-9991","AQS","77","40","."
"05/19/2012","51","Ozone","Centennial","56-001-9991","AQS","51","7","."
"05/20/2012","58","Ozone","Centennial","56-001-9991","AQS","58","19","."
"05/21/2012","25","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS",".","25","19"
"05/22/2012","84","Ozone","Centennial","56-001-9991","AQS","84","60","."
"05/23/2012","87","Ozone","Centennial","56-001-9991","AQS","87","18","."
"05/24/2012","77","Ozone","Centennial","56-001-9991","AQS","77","31","."
"05/25/2012","84","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS","58","84","."
"05/26/2012","90","Ozone","Centennial","56-001-9991","AQS","90","68","."
"05/27/2012","74","Ozone","Centennial","56-001-9991","AQS","74","56","17"
"05/28/2012","74","Ozone","Centennial","56-001-9991","AQS","74","44","."
"05/29/2012","80","Ozone","Centennial","56-001-9991","AQS","80","19","."
"05/30/2012","74","Ozone","Centennial","56-001-9991","AQS","74","41","."
"05/31/2012","46","Ozone","Centennial","56-001-9991","AQS","46","21","."
"06/01/2012","38","Ozone","Centennial","56-001-9991","AQS","38","18","."
"06/02/2012","44","Ozone","Centennial","56-001-9991","AQS","44","19","12"
"06/03/2012","47","Ozone","Centennial","56-001-9991","AQS","47","26","."
"06/04/2012","58","Ozone","Centennial","56-001-9991","AQS","58","38","."
"06/05/2012","51","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS",".","51","29"
