"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"06/15/2002","87","Ozone","Centennial","56-001-9991","AQS","87",".","."
"06/16/2002","77","Ozone","Centennial","56-001-9991","AQS","77",".","12"
"06/17/2002","108","Ozone","Centennial","56-001-9991","AQS","108",".","."
"06/18/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"06/19/2002","45","Ozone","Centennial","56-001-9991","AQS","45","40","28"
"06/20/2002","93","Ozone","Centennial","56-001-9991","AQS","93",".","."
"06/21/2002","61","Ozone","Centennial","56-001-9991","AQS","61",".","."
"06/22/2002","71","Ozone","Centennial","56-001-9991","AQS","71",".","."
"06/23/2002","100","Ozone","Centennial","56-001-9991","AQS","100",".","."
"06/24/2002","101","Ozone","Centennial","56-001-9991","AQS","101",".","."
"06/25/2002","126","Ozone","Centennial","56-001-9991","AQS","126","56","29"
"06/26/2002","126","Ozone","Centennial","56-001-9991","AQS","126",".","."
"06/27/2002","122","Ozone","Centennial","56-001-9991","AQS","122",".","."
"06/28/2002","71","Ozone","Centennial","56-001-9991","AQS","71",".","."
"06/29/2002","115","Ozone","Centennial","56-001-9991","AQS","115",".","."
"06/30/2002","115","Ozone","Centennial","56-001-9991","AQS","115",".","."
"07/01/2002","97","Ozone","Centennial","56-001-9991","AQS","97","48","."
"07/02/2002","101","Ozone","Centennial","56-001-9991","AQS","101",".","."
"07/03/2002","97","Ozone","Centennial","56-001-9991","AQS","97",".","."
"07/04/2002","80","Ozone","Centennial","56-001-9991","AQS","80",".","."
"07/05/2002","80","Ozone","Centennial","56-001-9991","AQS","80",".","."
"07/06/2002","61","Ozone","Centennial","56-001-9991","AQS","61",".","."
"07/07/2002","119","Ozone","Centennial","56-001-9991","AQS","119","31","18"
"07/08/2002","100","Ozone","Centennial","56-001-9991","AQS","100",".","."
"07/09/2002","71","Ozone","Centennial","56-001-9991","AQS","71",".","."
"07/10/2002","100","Ozone","Centennial","56-001-9991","AQS","100",".","21"
"07/11/2002","71","Ozone","Centennial","56-001-9991","AQS","71",".","."
"07/12/2002","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"07/13/2002","51","Ozone","Centennial","56-001-9991","AQS","51","36","24"
"07/14/2002","101","Ozone","Centennial","56-001-9991","AQS","101",".","."
"07/15/2002","101","Ozone","Centennial","56-001-9991","AQS","101",".","."
"07/16/2002","93","Ozone","Centennial","56-001-9991","AQS","93",".","."
"07/17/2002","100","Ozone","Centennial","56-001-9991","AQS","100",".","."
"07/18/2002","108","Ozone","Centennial","56-001-9991","AQS","108",".","."
"07/19/2002","112","Ozone","Centennial","56-001-9991","AQS","112","51","33"
"07/20/2002","93","Ozone","Centennial","56-001-9991","AQS","93",".","."
"07/21/2002","74","Ozone","Centennial","56-001-9991","AQS","74",".","."
"07/22/2002","84","Ozone","Centennial","56-001-9991","AQS","84",".","."
"07/23/2002","58","Ozone","Centennial","56-001-9991","AQS","58",".","."
"07/24/2002","54","Ozone","Centennial","56-001-9991","AQS","54",".","."
"07/25/2002","45","Ozone","Centennial","56-001-9991","AQS","45","43","15"
"07/26/2002","64","Ozone","Centennial","56-001-9991","AQS","64",".","."
"07/27/2002","84","Ozone","Centennial","56-001-9991","AQS","84",".","."
"07/28/2002","97","Ozone","Centennial","56-001-9991","AQS","97",".","18"
"07/29/2002","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"07/30/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"07/31/2002","64","Ozone","Centennial","56-001-9991","AQS","64","39","."
"08/01/2002","58","Ozone","Centennial","56-001-9991","AQS","58",".","."
"08/02/2002","64","Ozone","Centennial","56-001-9991","AQS","64",".","."
"08/03/2002","51","Ozone","Centennial","56-001-9991","AQS","51",".","23"
"08/04/2002","58","Ozone","Centennial","56-001-9991","AQS","58",".","."
"08/05/2002","64","Ozone","Centennial","56-001-9991","AQS","64",".","."
"08/06/2002","64","Ozone","Centennial","56-001-9991","AQS","64","30","8"
"08/07/2002","51","Ozone","Centennial","56-001-9991","AQS","51",".","."
"08/08/2002","71","Ozone","Centennial","56-001-9991","AQS","71",".","."
"08/09/2002","71","Ozone","Centennial","56-001-9991","AQS","71",".","."
"08/10/2002","84","Ozone","Centennial","56-001-9991","AQS","84",".","."
"08/11/2002","77","Ozone","Centennial","56-001-9991","AQS","77",".","."
"08/12/2002","48","Ozone","Centennial","56-001-9991","AQS","48","19","16"
"08/13/2002","58","Ozone","Centennial","56-001-9991","AQS","58",".","."
"08/14/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"08/15/2002","61","Ozone","Centennial","56-001-9991","AQS","61",".","12"
"08/16/2002","67","Ozone","Centennial","56-001-9991","AQS","67",".","."
"08/17/2002","67","Ozone","Centennial","56-001-9991","AQS","67",".","."
"08/18/2002","100","Ozone","Centennial","56-001-9991","AQS","100","50","."
"08/19/2002","93","Ozone","Centennial","56-001-9991","AQS","93",".","."
"08/20/2002","77","Ozone","Centennial","56-001-9991","AQS","77",".","."
"08/21/2002","50","Ozone","Centennial","56-001-9991","AQS","50",".","15"
"08/22/2002","54","Ozone","Centennial","56-001-9991","AQS","54",".","."
"08/23/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"08/24/2002","74","Ozone","Centennial","56-001-9991","AQS","74","21","13"
"08/25/2002","93","Ozone","Centennial","56-001-9991","AQS","93",".","."
"08/26/2002","105","Ozone","Centennial","56-001-9991","AQS","105",".","."
"08/27/2002","87","Ozone","Centennial","56-001-9991","AQS","87",".","17"
"08/28/2002","80","Ozone","Centennial","56-001-9991","AQS","80",".","."
"08/29/2002","84","Ozone","Centennial","56-001-9991","AQS","84",".","."
"08/30/2002","87","Ozone","Centennial","56-001-9991","AQS","87","32","12"
"08/31/2002","105","Ozone","Centennial","56-001-9991","AQS","105",".","."
"09/01/2002","115","Ozone","Centennial","56-001-9991","AQS","115",".","."
"09/02/2002","93","Ozone","Centennial","56-001-9991","AQS","93",".","15"
"09/03/2002","77","Ozone","Centennial","56-001-9991","AQS","77",".","."
"09/04/2002","77","Ozone","Centennial","56-001-9991","AQS","77",".","."
"09/05/2002","67","Ozone","Centennial","56-001-9991","AQS","67","38","."
"09/06/2002","61","Ozone","Centennial","56-001-9991","AQS","61",".","."
"09/07/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"09/08/2002","36","Ozone","Centennial","56-001-9991","AQS","36",".","5"
"09/09/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"09/10/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"09/11/2002","43","Ozone","Centennial","56-001-9991","AQS","43","18","8"
"09/12/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"09/13/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"09/14/2002","61","Ozone","Centennial","56-001-9991","AQS","61",".","16"
"09/15/2002","54","Ozone","Centennial","56-001-9991","AQS","54",".","."
"09/16/2002","67","Ozone","Centennial","56-001-9991","AQS","67",".","."
"09/17/2002","74","Ozone","Centennial","56-001-9991","AQS","74","54","8"
"09/18/2002","39","Ozone","Centennial","56-001-9991","AQS","39",".","."
"09/19/2002","40","Ozone","Centennial","56-001-9991","AQS","40",".","."
"09/20/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","7"
"09/21/2002","61","Ozone","Centennial","56-001-9991","AQS","61",".","."
"09/22/2002","84","Ozone","Centennial","56-001-9991","AQS","84",".","."
"09/23/2002","48","Ozone","Centennial","56-001-9991","AQS","48","40","7"
"09/24/2002","54","Ozone","Centennial","56-001-9991","AQS","54",".","."
"09/25/2002","64","Ozone","Centennial","56-001-9991","AQS","64",".","."
"09/26/2002","61","Ozone","Centennial","56-001-9991","AQS","61",".","14"
"09/27/2002","58","Ozone","Centennial","56-001-9991","AQS","58",".","."
"09/28/2002","41","Ozone","Centennial","56-001-9991","AQS","41",".","."
"09/29/2002","43","Ozone","Centennial","56-001-9991","AQS","43","22","5"
"09/30/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"10/01/2002","43","Ozone","Centennial","56-001-9991","AQS","43",".","."
